"flow_id","name_it"
"102_974_DF_DCSP_SPA_13","Aziende per titolo di studio del conduttore"
"150_1188_DF_DCCV_OCCUPATIT1_UNT2020_1","Occupati (migliaia) - regolamento precedente (fino al 2020)- Titolo di studio, cittadinanza, età"
"150_1188_DF_DCCV_OCCUPATIT1_UNT2020_25","Occupati (migliaia) - regolamento precedente (fino al 2020)- Titolo di studio"
"150_1188_DF_DCCV_OCCUPATIT1_UNT2020_33","Occupati (migliaia) - regolamento precedente (fino al 2020)- Dal I 1977 - titolo di studio"
"150_1188_DF_DCCV_OCCUPATIT1_UNT2020_36","Occupati (migliaia) - regolamento precedente (fino al 2020)- Dal IV 1992 - titolo di studio, età"
"150_1189_DF_DCCV_TAXOCCU1_UNT2020_1","Titolo di studio, età"
"150_1189_DF_DCCV_TAXOCCU1_UNT2020_2","Titolo di studio, cittadinanza"
"150_1189_DF_DCCV_TAXOCCU1_UNT2020_6","Dal I 1977 - titolo di studio"
"150_1189_DF_DCCV_TAXOCCU1_UNT2020_8","Dal IV 1992 - titolo di studio, età"
"150_1190_DF_DCCV_FORZLV1_UNT2020_1","Titolo di studio, età"
"150_1190_DF_DCCV_FORZLV1_UNT2020_10","Dal IV 1992 - titolo di studio, età"
"150_1190_DF_DCCV_FORZLV1_UNT2020_2","Titolo di studio, cittadinanza"
"150_1190_DF_DCCV_FORZLV1_UNT2020_5","Dati regionali - titolo di studio"
"150_1190_DF_DCCV_FORZLV1_UNT2020_8","Dal I 1977 - titolo di studio"
"150_1191_DF_DCCV_TAXATVT1_UNT2020_1","Titolo di studio, età"
"150_1191_DF_DCCV_TAXATVT1_UNT2020_2","Titolo di studio, cittadinanza"
"150_1191_DF_DCCV_TAXATVT1_UNT2020_6","Dal I 1977 - titolo di studio"
"150_1191_DF_DCCV_TAXATVT1_UNT2020_8","Dal IV 1992 - Titolo di studio, età"
"150_908_DF_DCCV_FORZLV1_2","Titolo di studio, età"
"150_908_DF_DCCV_FORZLV1_3","Cittadinanza, titolo di studio, età"
"150_908_DF_DCCV_FORZLV1_6","Dati regionali - titolo di studio"
"150_915_DF_DCCV_TAXOCCU1_2","Titolo di studio, età"
"150_915_DF_DCCV_TAXOCCU1_3","Titolo di studio, cittadinanza, età"
"150_916_DF_DCCV_TAXATVT1_2","Titolo di studio, età"
"150_916_DF_DCCV_TAXATVT1_3","Titolo di studio, cittadinanza"
"150_938_DF_DCCV_OCCUPATIT1_17","Occupati  (migliaia) - Titolo di studio"
"150_938_DF_DCCV_OCCUPATIT1_2","Occupati  (migliaia) - Titolo di studio, cittadinanza, età"
"151_1192_DF_DCCV_DISOCCUPT1_UNT2020_1","Titolo di studio, età"
"151_1192_DF_DCCV_DISOCCUPT1_UNT2020_10","Dal IV 1992 - titolo di studio, età"
"151_1192_DF_DCCV_DISOCCUPT1_UNT2020_4","Dati regionali - titolo di studio"
"151_1192_DF_DCCV_DISOCCUPT1_UNT2020_8","Dal I 1977 - titolo di studio"
"151_1193_DF_DCCV_TAXDISOCCU1_UNT2020_1","Titolo di studio, età"
"151_1193_DF_DCCV_TAXDISOCCU1_UNT2020_11","Dal IV 1992 - titolo di studio, età"
"151_1193_DF_DCCV_TAXDISOCCU1_UNT2020_2","Titolo di studio, cittadinanza"
"151_1193_DF_DCCV_TAXDISOCCU1_UNT2020_5","Dati regionali - titolo di studio"
"151_1193_DF_DCCV_TAXDISOCCU1_UNT2020_9","Dal I 1977 - titolo di studio"
"151_914_DF_DCCV_TAXDISOCCU1_2","Titolo di studio, età"
"151_914_DF_DCCV_TAXDISOCCU1_3","Titolo di studio, cittadinanza"
"151_914_DF_DCCV_TAXDISOCCU1_6","Dati regionali - titolo di studio"
"151_929_DF_DCCV_DISOCCUPT1_2","Titolo di studio, età"
"151_929_DF_DCCV_DISOCCUPT1_5","Dati regionali - titolo di studio"
"152_1185_DF_DCCV_INATTIV1_UNT2020_1","Titolo di studio, età"
"152_1185_DF_DCCV_INATTIV1_UNT2020_11","Dal I 1977 - titolo di studio"
"152_1185_DF_DCCV_INATTIV1_UNT2020_13","Dal IV 1992 - titolo di studio, età"
"152_1185_DF_DCCV_INATTIV1_UNT2020_2","Titolo di studio, cittadinanza"
"152_1185_DF_DCCV_INATTIV1_UNT2020_7","Dati regionali - titolo di studio"
"152_1196_DF_DCCV_TAXINATT1_UNT2020_1","Titolo di studio, età"
"152_1196_DF_DCCV_TAXINATT1_UNT2020_2","Titolo di studio, cittadinanza"
"152_1196_DF_DCCV_TAXINATT1_UNT2020_6","Dal I 1977 - titolo di studio"
"152_1196_DF_DCCV_TAXINATT1_UNT2020_8","Dal IV 1992 - titolo di studio, età"
"152_913_DF_DCCV_TAXINATT1_2","Titolo di studio, età"
"152_913_DF_DCCV_TAXINATT1_3","Titolo di studio, cittadinanza"
"152_928_DF_DCCV_INATTIV1_2","Titolo di studio, età"
"152_928_DF_DCCV_INATTIV1_8","Dati regionali - titolo di studio"
"158_149_DF_DCIS_INFANZIA_1","Scuole, classi e bambini"
"165_1167_DF_DCIS_PREVFAM_1","Popolazione residente che vive in famiglia per posizione familiare e classi quinquennali di età - Scenario mediano"
"172_1197_DF_DCCV_COMPL1_UNT2020_1","Forze lavoro potenziali - titolo di studio, età"
"172_1197_DF_DCCV_COMPL1_UNT2020_10","Non cercano ma disponibili - titolo di studio, cittadinanza"
"172_1197_DF_DCCV_COMPL1_UNT2020_15","Non cercano ma disponibili (%) - titolo di studio, cittadinanza"
"172_1197_DF_DCCV_COMPL1_UNT2020_19","Cercano lavoro ma non immediatamente disponibili - titolo di studio"
"172_1197_DF_DCCV_COMPL1_UNT2020_23","Cercano lavoro ma non immediatamente disponibili (%) - titolo di studio"
"172_1197_DF_DCCV_COMPL1_UNT2020_26","Sottoccupati e part time involontario - titolo di studio, cittadinanza"
"172_1197_DF_DCCV_COMPL1_UNT2020_30","Sottoccupati e part time involontario (%) - titolo di studio, cittadinanza"
"172_1197_DF_DCCV_COMPL1_UNT2020_33","Tasso di mancata partecipazione - titolo di studio, età"
"172_1197_DF_DCCV_COMPL1_UNT2020_34","Tasso di mancata partecipazione - titolo di studio, cittadinanza"
"172_1197_DF_DCCV_COMPL1_UNT2020_36","Tasso di mancata partecipazione - titolo di studio, reg."
"172_1197_DF_DCCV_COMPL1_UNT2020_5","Forze lavoro potenziali (%) - titolo di studio, età"
"172_1198_DF_DCCV_NEET1_UNT2020_10","Ruolo in famiglia (%)"
"172_1198_DF_DCCV_NEET1_UNT2020_13","Condizione professionale, titolo di studio"
"172_1198_DF_DCCV_NEET1_UNT2020_15","Condizione professionale, ruolo in famiglia"
"172_1198_DF_DCCV_NEET1_UNT2020_2","Condizione professionale europea, titolo di studio"
"172_1198_DF_DCCV_NEET1_UNT2020_4","Condizione professionale europea, ruolo in famiglia"
"172_1198_DF_DCCV_NEET1_UNT2020_5","Cittadinanza, ruolo in famiglia"
"172_1198_DF_DCCV_NEET1_UNT2020_8","Titolo di studio (%)"
"172_926_DF_DCCV_COMPL1_1","Forze lavoro potenziali - titolo di studio, età"
"172_926_DF_DCCV_COMPL1_14","Cercano lavoro ma non immediatamente disponibili - titolo di studio"
"172_926_DF_DCCV_COMPL1_17","Part time involontario - titolo di studio, cittadinanza"
"172_926_DF_DCCV_COMPL1_20","Sottoccupati - titolo di studio, cittadinanza"
"172_926_DF_DCCV_COMPL1_22","Tasso di mancata partecipazione - titolo di studio, età"
"172_926_DF_DCCV_COMPL1_23","Tasso di mancata partecipazione - titolo di studio, cittadinanza"
"172_926_DF_DCCV_COMPL1_25","Tasso di mancata partecipazione -titolo di studio, reg."
"172_926_DF_DCCV_COMPL1_7","Non cercano ma disponibili - titolo di studio"
"172_931_DF_DCCV_NEET1_10","Incidenza dei giovani Neet - Ruolo in famiglia (%)"
"172_931_DF_DCCV_NEET1_2","NEET (giovani non occupati e non in istruzione e formazione) - Condizione professionale europea, titolo di studio"
"172_931_DF_DCCV_NEET1_4","NEET  (giovani non occupati e non in istruzione e formazione) - Condizione professionale europea, ruolo in famiglia"
"172_931_DF_DCCV_NEET1_5","NEET  (giovani non occupati e non in istruzione e formazione) - Cittadinanza, ruolo in famiglia"
"172_931_DF_DCCV_NEET1_8","Incidenza dei giovani Neet - Titolo di studio (%)"
"174_321_DF_DCCV_ATTPRINC_1","Sesso, età, titolo di studio, ampiezza della famiglia"
"174_321_DF_DCCV_ATTPRINC_12","Punti orari - sesso, titolo di studio"
"174_321_DF_DCCV_ATTPRINC_6","Bambini, sesso, età"
"174_321_DF_DCCV_ATTPRINC_7","Bambini, sesso, condizione lavorativa dei genitori - rip. e tipo di comune"
"174_321_DF_DCCV_ATTPRINC_8","Attività - sesso, titolo di studio, ampiezza della famiglia"
"174_65_DF_DCCV_ASIMMETRIA_1","Coppia con o senza figli, età della donna, titolo di studio dell'uomo e della donna, condizione lavorativa della coppia"
"174_65_DF_DCCV_ASIMMETRIA_5","Coppia con donna di 65 anni e più, titolo di studio della donna, titolo di studio dell'uomo"
"174_66_DF_DCCV_CONCHI_1","Sesso, titolo di studio, ampiezza della famiglia"
"174_66_DF_DCCV_CONCHI_6","Bambini, sesso, età"
"174_66_DF_DCCV_CONCHI_7","Bambini, sesso, condizione lavorativa dei genitori - rip. e tipo di comune"
"174_80_DF_DCCV_COPPIE_1","Coppia con o senza figli, età e titolo di studio della donna, condizione lavorativa della coppia"
"174_80_DF_DCCV_COPPIE_6","Coppia con donna di 65 anni e più, titolo di studio della donna"
"174_82_DF_DCCV_LUOGHI_1","Sesso, titolo di studio, ampiezza della famiglia"
"174_82_DF_DCCV_LUOGHI_6","Bambini, sesso, età"
"174_82_DF_DCCV_LUOGHI_7","Bambini, sesso, condizione lavorativa dei genitori - rip. e tipo di comune"
"174_82_DF_DCCV_LUOGHI_8","Punti orari - sesso, titolo di studio"
"183_464_DF_DICA_TISTUDIO_1","Imprese - occupati per titolo di studio - Principali dati"
"24_1149_DF_DCIS_UNIONDEMO_4","Titolo di studio, stato civile e sesso"
"24_1149_DF_DCIS_UNIONDEMO_6","Regime patrimoniale e titolo di studio"
"24_1152_DF_DCIS_UNIONICIT_6","Unioni civili per tipologia di coppia e titolo di studio"
"24_186_DF_DCIS_MATRDEMO_6","Rito, titolo di studio, stato civile"
"24_186_DF_DCIS_MATRDEMO_8","Regime patrimoniale e titolo di studio"
"24_446_DF_DCIS_MATRIMONICIT_7","Tipologia di coppia e titolo di studio"
"24_447_DF_DCIS_SPOSI_4","Rito, classe di età e titolo di studio"
"25_74_DF_DCIS_NATI1_11","Genitori - Età (capoluoghi prov.)"
"25_74_DF_DCIS_NATI1_12","Genitori - Stato civile (capoluoghi prov.)"
"25_74_DF_DCIS_NATI2_8","Cittadinanza dei genitori, classe di età dei genitori - prov."
"25_74_DF_DCIS_NATI2_9","Cittadinanza dei genitori, stato civile dei genitori - prov."
"27_468_DF_DCIS_SEPARAZSOC1_1","Titolo di studio dei coniugi"
"27_468_DF_DCIS_SEPARAZSOC1_2","Titolo di studio del marito"
"27_468_DF_DCIS_SEPARAZSOC1_3","Titolo di studio della moglie"
"27_475_DF_DCIS_DIVSOC1_1","Titolo di studio dei coniugi"
"27_475_DF_DCIS_DIVSOC1_2","Titolo di studio del marito"
"27_475_DF_DCIS_DIVSOC1_3","Titolo di studio della moglie"
"27_748_DF_DCIS_SEPARAZSOC_1","Titolo di studio dei coniugi"
