level,indicator,school_year,min_eur,max_eur,note,source_file
primary,textbook_cover_price_total,2025-2026,187.07,187.07,Official primary textbook total from Ministerial Decree n. 73/2025,ItalyPrimarySchoolBookExpenses.csv
Scuola media (lower secondary),estimated_mean_annual_household_spending,undated-current,800.0,1200.0,Estimated textbooks plus other materials,ItalianMeanSecondarySchoolExpenses.csv
Liceo classico,estimated_mean_annual_household_spending,undated-current,1000.0,1300.0,Estimated textbooks plus other materials,ItalianMeanSecondarySchoolExpenses.csv
Liceo scientifico,estimated_mean_annual_household_spending,undated-current,900.0,1200.0,Estimated textbooks plus other materials,ItalianMeanSecondarySchoolExpenses.csv
Liceo linguistico,estimated_mean_annual_household_spending,undated-current,900.0,1200.0,Estimated textbooks plus other materials,ItalianMeanSecondarySchoolExpenses.csv
Istituto tecnico,estimated_mean_annual_household_spending,undated-current,800.0,1100.0,Estimated textbooks plus other materials,ItalianMeanSecondarySchoolExpenses.csv
Istituto professionale,estimated_mean_annual_household_spending,undated-current,700.0,950.0,Estimated textbooks plus other materials,ItalianMeanSecondarySchoolExpenses.csv
Overall mean across all secondary schools,estimated_mean_annual_household_spending,undated-current,1000.0,1000.0,Estimated textbooks plus other materials,ItalianMeanSecondarySchoolExpenses.csv
Totale Italia,average_university_tuition_all_students,2023-2024,1494.61,1494.61,Average university tuition across all enrolled students,italy_mur_tuition_benchmark_2024.csv
Totale Italia,average_university_tuition_payers,2023-2024,2160.32,2160.32,Average university tuition among payers only,italy_mur_tuition_benchmark_2024.csv
Totale Atenei Statali,average_university_tuition_all_students,2023-2024,943.14,943.14,Average university tuition across all enrolled students,italy_mur_tuition_benchmark_2024.csv
Totale Atenei Statali,average_university_tuition_payers,2023-2024,1492.59,1492.59,Average university tuition among payers only,italy_mur_tuition_benchmark_2024.csv
