year,classe_eta,sex_label,obs_value
2010,Y15-19,female,63.6763125
2010,Y15-19,male,73.77071875
2010,Y15-19,total,137.447
2011,Y15-19,female,62.498281250000005
2011,Y15-19,male,70.791625
2011,Y15-19,total,133.289875
2012,Y15-19,female,59.19559375
2012,Y15-19,male,76.00715625
2012,Y15-19,total,135.2026875
2013,Y15-19,female,56.897999999999996
2013,Y15-19,male,74.0944375
2013,Y15-19,total,130.99234375
2014,Y15-19,female,57.9624375
2014,Y15-19,male,70.6384375
2014,Y15-19,total,128.60090625
2015,Y15-19,female,55.1875625
2015,Y15-19,male,68.67434375
2015,Y15-19,total,123.86184375
2016,Y15-19,female,52.79315625
2016,Y15-19,male,63.37128125
2016,Y15-19,total,116.16434375
2017,Y15-19,female,63.99990625
2017,Y15-19,male,72.52640625
2017,Y15-19,total,136.52625
2018,Y15-19,female,59.60690625
2018,Y15-19,male,68.46546875
2018,Y15-19,total,128.0723125
2019,Y15-19,female,55.51675
2019,Y15-19,male,67.22640625
2019,Y15-19,total,122.74309375
2020,Y15-19,female,60.48225
2020,Y15-19,male,69.113375
2020,Y15-19,total,129.5954375
2010,Y15-24,female,176.12747142857143
2010,Y15-24,male,176.13042857142855
2010,Y15-24,total,280.4819891304348
2011,Y15-24,female,183.09634285714287
2011,Y15-24,male,181.4854
2011,Y15-24,total,290.2895760869565
2012,Y15-24,female,189.0649857142857
2012,Y15-24,male,193.97525714285715
2012,Y15-24,total,305.2169347826087
2013,Y15-24,female,193.96105714285713
2013,Y15-24,male,211.27347142857144
2013,Y15-24,total,322.8917173913043
2014,Y15-24,female,191.5502857142857
2014,Y15-24,male,207.42715714285714
2014,Y15-24,total,318.02872826086957
2015,Y15-24,female,186.87657142857142
2015,Y15-24,male,199.67264285714285
2015,Y15-24,total,308.0155434782609
2016,Y15-24,female,173.41254285714285
2016,Y15-24,male,181.9162142857143
2016,Y15-24,total,283.18977173913044
2017,Y15-24,female,175.84535714285713
2017,Y15-24,male,186.45844285714287
2017,Y15-24,total,288.60601086956524
2018,Y15-24,female,172.01364285714286
2018,Y15-24,male,176.43274285714284
2018,Y15-24,total,277.4876739130435
2019,Y15-24,female,160.23510000000002
2019,Y15-24,male,169.37875714285715
2019,Y15-24,total,262.42552173913043
2020,Y15-24,female,172.2852714285714
2020,Y15-24,male,181.1919
2020,Y15-24,total,281.17625
2010,Y15-29,female,363.50354285714286
2010,Y15-29,male,276.17422857142856
2010,Y15-29,total,509.2269130434783
2011,Y15-29,female,365.37822857142856
2011,Y15-29,male,286.8005
2011,Y15-29,total,519.2157934782609
2012,Y15-29,female,370.19404285714285
2012,Y15-29,male,304.36699999999996
2012,Y15-29,total,537.4411195652174
2013,Y15-29,female,391.9720714285714
2013,Y15-29,male,344.1227285714286
2013,Y15-29,total,586.4471847826087
2014,Y15-29,female,389.13334285714285
2014,Y15-29,male,344.42408571428575
2014,Y15-29,total,584.6334782608695
2015,Y15-29,female,382.21014285714284
2015,Y15-29,male,336.6091714285714
2015,Y15-29,total,572.7002934782608
2016,Y15-29,female,365.9365285714286
2016,Y15-29,male,308.23589999999996
2016,Y15-29,total,537.2571956521739
2017,Y15-29,female,360.6951142857143
2017,Y15-29,male,310.6730857142857
2017,Y15-29,total,534.8792065217392
2018,Y15-29,female,351.43402857142854
2018,Y15-29,male,299.7316
2018,Y15-29,total,518.6873478260869
2019,Y15-29,female,336.50408571428574
2019,Y15-29,male,283.6277285714286
2019,Y15-29,total,493.8208695652174
2020,Y15-29,female,358.3803571428571
2020,Y15-29,male,306.0366
2020,Y15-29,total,528.6176304347827
2010,Y15-34,female,610.8650714285715
2010,Y15-34,male,369.2533714285714
2010,Y15-34,total,780.0606739130434
2011,Y15-34,female,605.8137714285714
2011,Y15-34,male,376.7942142857143
2011,Y15-34,total,782.040206521739
2012,Y15-34,female,597.6865428571429
2012,Y15-34,male,402.85202857142855
2012,Y15-34,total,796.86225
2013,Y15-34,female,626.2362999999999
2013,Y15-34,male,459.24677142857144
2013,Y15-34,total,864.5868804347826
2014,Y15-34,female,615.0030714285714
2014,Y15-34,male,459.70602857142853
2014,Y15-34,total,856.2530217391305
2015,Y15-34,female,607.0936571428571
2015,Y15-34,male,445.7176285714286
2015,Y15-34,total,838.5837826086956
2016,Y15-34,female,587.5173285714286
2016,Y15-34,male,419.0998142857143
2016,Y15-34,total,801.8613260869565
2017,Y15-34,female,572.4125571428572
2017,Y15-34,male,409.1498
2017,Y15-34,total,781.831054347826
2018,Y15-34,female,555.9743857142857
2018,Y15-34,male,395.79852857142856
2018,Y15-34,total,757.9660978260869
2019,Y15-34,female,535.4045714285714
2019,Y15-34,male,377.38971428571426
2019,Y15-34,total,726.781597826087
2020,Y15-34,female,572.1739285714286
2020,Y15-34,male,405.7007
2020,Y15-34,total,777.9392717391304
2010,Y18-29,female,346.1108571428572
2010,Y18-29,male,256.3053142857143
2010,Y18-29,total,479.6480760869565
2011,Y18-29,female,348.05872857142856
2011,Y18-29,male,268.0629714285714
2011,Y18-29,total,490.58709782608696
2012,Y18-29,female,355.09495714285714
2012,Y18-29,male,285.7960857142857
2012,Y18-29,total,510.6709565217392
2013,Y18-29,female,380.7702142857143
2013,Y18-29,male,329.5567142857143
2013,Y18-29,total,565.9638043478261
2014,Y18-29,female,376.72408571428576
2014,Y18-29,male,329.01112857142857
2014,Y18-29,total,562.5225652173913
2015,Y18-29,female,369.1934428571429
2015,Y18-29,male,318.90265714285715
2015,Y18-29,total,548.3046086956522
2016,Y18-29,female,353.18017142857144
2016,Y18-29,male,292.5699714285714
2016,Y18-29,total,514.692804347826
2017,Y18-29,female,342.5763285714286
2017,Y18-29,male,290.92591428571427
2017,Y18-29,total,504.8380652173913
2018,Y18-29,female,335.7229142857143
2018,Y18-29,male,281.9278142857143
2018,Y18-29,total,492.09303260869564
2019,Y18-29,female,321.5202571428572
2019,Y18-29,male,264.15965714285716
2019,Y18-29,total,466.4960652173913
2020,Y18-29,female,343.562
2020,Y18-29,male,290.6000142857143
2020,Y18-29,total,504.65156521739135
2010,Y20-24,female,154.09496875
2010,Y20-24,male,150.29121874999998
2010,Y20-24,total,304.38584375
2011,Y20-24,female,164.4256875
2011,Y20-24,male,158.48859375
2011,Y20-24,total,322.91428125
2012,Y20-24,female,178.46809375
2012,Y20-24,male,175.15828125
2012,Y20-24,total,353.62646875
2013,Y20-24,female,189.08903125
2013,Y20-24,male,199.59690625000002
2013,Y20-24,total,388.68596875000003
2014,Y20-24,female,186.7155625
2014,Y20-24,male,200.11759375
2014,Y20-24,total,386.83296875
2015,Y20-24,female,181.2663125
2015,Y20-24,male,190.98346875
2015,Y20-24,total,372.24965625
2016,Y20-24,female,167.6685625
2016,Y20-24,male,172.90209375
2016,Y20-24,total,340.57059375
2017,Y20-24,female,157.01621875
2017,Y20-24,male,166.64134375
2017,Y20-24,total,323.6575
2018,Y20-24,female,156.062875
2018,Y20-24,male,157.0744375
2018,Y20-24,total,313.1373125
2019,Y20-24,female,144.12534375
2019,Y20-24,male,147.3324375
2019,Y20-24,total,291.45778125
2020,Y20-24,female,151.727125
2020,Y20-24,male,159.423375
2020,Y20-24,total,311.1505625
2010,Y25-29,female,227.70953125
2010,Y25-29,male,127.98709375
2010,Y25-29,total,355.69659375
2011,Y25-29,female,222.02428125
2011,Y25-29,male,133.0798125
2011,Y25-29,total,355.1043125
2012,Y25-29,female,222.8184375
2012,Y25-29,male,143.59603125
2012,Y25-29,total,366.41446874999997
2013,Y25-29,female,246.5570625
2013,Y25-29,male,173.5345
2013,Y25-29,total,420.09153125
2014,Y25-29,female,247.64309375
2014,Y25-29,male,179.02790625
2014,Y25-29,total,426.6710625
2015,Y25-29,female,243.66415625
2015,Y25-29,male,178.13053125
2015,Y25-29,total,421.79471875
2016,Y25-29,female,240.81878125
2016,Y25-29,male,164.66896875
2016,Y25-29,total,405.48765625
2017,Y25-29,female,230.2665
2017,Y25-29,male,162.255
2017,Y25-29,total,392.52140625
2018,Y25-29,female,222.04240625
2018,Y25-29,male,159.01878125
2018,Y25-29,total,381.0610625
2019,Y25-29,female,216.64734375
2019,Y25-29,male,146.52678125
2019,Y25-29,total,363.174125
2020,Y25-29,female,226.76353125
2020,Y25-29,male,158.45746875
2020,Y25-29,total,385.2210625
2010,Y25-34,female,523.52675
2010,Y25-34,male,247.16171875
2010,Y25-34,total,770.68853125
2011,Y25-34,female,508.68165625
2011,Y25-34,male,248.10590625
2011,Y25-34,total,756.7875625
2012,Y25-34,female,498.28521875
2012,Y25-34,male,272.56615625
2012,Y25-34,total,770.8514375
2013,Y25-34,female,531.273125
2013,Y25-34,male,323.89475
2013,Y25-34,total,855.16784375
2014,Y25-34,female,522.5198125000001
2014,Y25-34,male,329.65559375
2014,Y25-34,total,852.1753125
2015,Y25-34,female,516.85534375
2015,Y25-34,male,319.7055625
2015,Y25-34,total,836.561
2016,Y25-34,female,509.391875
2016,Y25-34,male,308.7850625
2016,Y25-34,total,818.17684375
2017,Y25-34,female,487.67368749999997
2017,Y25-34,male,290.29003125
2017,Y25-34,total,777.9635
2018,Y25-34,female,469.79209375
2018,Y25-34,male,283.49415625
2018,Y25-34,total,753.286375
2019,Y25-34,female,457.14015625
2019,Y25-34,male,267.62734375
2019,Y25-34,total,724.7675
2020,Y25-34,female,483.35415625
2020,Y25-34,male,284.51359375
2020,Y25-34,total,767.8675000000001
2010,Y30-34,female,295.8173125
2010,Y30-34,male,119.174625
2010,Y30-34,total,414.9919375
2011,Y30-34,female,286.65734375
2011,Y30-34,male,115.026
2011,Y30-34,total,401.6835
2012,Y30-34,female,275.4668125
2012,Y30-34,male,128.97015625
2012,Y30-34,total,404.4369375
2013,Y30-34,female,284.7160625
2013,Y30-34,male,150.3601875
2013,Y30-34,total,435.07628124999997
2014,Y30-34,female,274.8766875
2014,Y30-34,male,150.62765625
2014,Y30-34,total,425.50446875
2015,Y30-34,female,273.19115625
2015,Y30-34,male,141.575125
2015,Y30-34,total,414.766375
2016,Y30-34,female,268.5730625
2016,Y30-34,male,144.11621875
2016,Y30-34,total,412.68925
2017,Y30-34,female,257.407125
2017,Y30-34,male,128.035
2017,Y30-34,total,385.442125
2018,Y30-34,female,247.74993750000002
2018,Y30-34,male,124.47546875
2018,Y30-34,total,372.22515625
2019,Y30-34,female,240.49275
2019,Y30-34,male,121.10071875
2019,Y30-34,total,361.593375
2020,Y30-34,female,256.59059375
2020,Y30-34,male,126.05596874999999
2020,Y30-34,total,382.6465625
