REF_AREA,REF_AREA_LABEL,TIME_PERIOD,lower_disability_per_1000_t_minus_1,lower_class_size_t_minus_1,lower_exam_success_t_minus_1,lower_foreign_share_t_minus_1,lower_median_grade_t_minus_1,lower_public_share_t_minus_1,lower_exam_failure_t_minus_1,upper_repeaters_all_t,upper_repeaters_fir_t,upper_lic_t,upper_tec_t,upper_voc_t,upper_voc_minus_lic_t,upper_tec_minus_lic_t,transition_jump_all_t,transition_jump_fir_t
ITC2,Valle d'Aosta / Vallée d'Aoste,2024,53.0,19.4,99.6,7.2,7.0,96.9,0.4000000000000057,7.7,14.3,5.9,11.7,8.1,2.1999999999999993,5.799999999999999,7.2999999999999945,13.899999999999995
ITD1,Provincia Autonoma Bolzano / Bozen,2024,,19.2,100.0,14.5,8.0,93.7,0.0,5.4,11.4,3.5,6.7,10.1,6.6,3.2,5.4,11.4
ITD5,Emilia-Romagna,2024,43.1,22.2,99.9,18.4,8.0,95.1,0.09999999999999432,6.6,11.1,3.2,7.7,12.3,9.100000000000001,4.5,6.500000000000005,11.000000000000005
ITG2,Sardegna,2024,58.6,17.2,99.8,3.2,8.0,98.6,0.20000000000000284,9.3,11.1,4.9,12.7,16.8,11.9,7.799999999999999,9.099999999999998,10.899999999999997
ITE1,Toscana,2024,45.0,21.4,99.9,15.9,8.0,97.9,0.09999999999999432,6.9,10.7,3.5,8.1,13.9,10.4,4.6,6.800000000000006,10.600000000000005
ITC3,Liguria,2024,55.2,21.1,99.8,16.1,8.0,95.8,0.20000000000000284,6.5,10.2,3.2,8.3,12.4,9.2,5.1000000000000005,6.299999999999997,9.999999999999996
ITC4,Lombardia,2024,61.7,21.3,99.9,17.8,8.0,90.6,0.09999999999999432,5.9,9.7,3.4,7.4,10.1,6.699999999999999,4.0,5.800000000000006,9.600000000000005
ITC1,Piemonte,2024,46.3,20.6,99.9,15.4,8.0,94.1,0.09999999999999432,5.6,9.2,3.2,7.0,9.7,6.499999999999999,3.8,5.500000000000005,9.100000000000005
ITD4,Friuli-Venezia Giulia,2024,41.2,19.8,99.8,14.8,8.0,95.2,0.20000000000000284,5.9,9.3,2.8,8.1,10.4,7.6000000000000005,5.3,5.6999999999999975,9.099999999999998
ITD3,Veneto,2024,42.8,20.8,99.9,15.9,8.0,94.7,0.09999999999999432,5.5,9.0,2.8,6.5,9.8,7.000000000000001,3.7,5.400000000000006,8.900000000000006
ITDA,Trentino Alto Adige / Südtirol,2024,27.6,19.8,100.0,13.7,8.0,93.1,0.0,5.2,8.9,3.3,6.9,10.4,7.1000000000000005,3.6000000000000005,5.2,8.9
ITF1,Abruzzo,2024,55.9,19.4,99.9,9.1,8.0,99.5,0.09999999999999432,5.4,8.6,2.2,8.2,14.3,12.100000000000001,5.999999999999999,5.300000000000006,8.500000000000005
ITF3,Campania,2024,48.3,18.2,99.9,3.7,8.0,98.9,0.09999999999999432,5.6,8.0,1.9,7.6,12.6,10.7,5.699999999999999,5.500000000000005,7.900000000000006
ITE3,Marche,2024,42.8,20.9,99.9,12.6,8.0,99.3,0.09999999999999432,5.0,7.8,2.3,5.5,12.3,10.0,3.2,4.900000000000006,7.7000000000000055
ITF2,Molise,2024,47.1,16.3,100.0,3.8,8.0,99.8,0.0,3.9,7.3,1.8,6.1,8.3,6.500000000000001,4.3,3.9,7.3
