System-level indicators for monitoring education and training systems in Europe – 2025,Unnamed: 1,Unnamed: 2,Unnamed: 4
System-level indicators on early leaving from education and training (ELET),,,
"Indicator 1: Early warning systems for preventing ELET, ISCED 1-34, 2024/2025",,,
,"Yes, an early warning system for preventing ELET exists","No, an early warning system for preventing ELET does not exist",
BEfr,,1,Explanatory note:
BEde,,1,"Early warning systems are data-driven tools designed to identify and respond to early signs of student disengagement that may lead to early leaving from education and training (ELET). These signs may include poor school attendance or absenteeism, problematic behaviour, low academic performance, grade repetition, social-emotional difficulties, or contact with social services or law enforcement. In addition to these indicators, early warning systems may also capture students’ sense of well-being and belonging at school, as well as experiences of bullying or discrimination."
BEnl,,1,"Early warning systems support the monitoring of student progress and the sharing of information across educational authorities, institutions, teachers, and parents. At the student level, they provide a comprehensive overview of each learner’s needs in one centralised place, enabling schools - together with relevant pedagogical support services - to plan and implement targeted, preventative interventions."
BG,1,,Country-specific notes:
CZ,,1,"Bulgaria: The early warning system covers students of compulsory preschool and school age, from 4 to 16 years, i.e. not until the end of ISCED 34."
DK,,1,France: Measures only apply to ISCED 24-34.
DE,,1,"Latvia: A Education quality monitoring system, which includes early warning data to decrease early leaving risks is currently being developed (https://www.izm.gov.lv/lv/izglitibas-kvalitates-monitoringa-sistema)."
EE,,1,"Lithuania: NEMIS system collects data on children and young people up to 16 years, i.e.  ISCED 1-24. Other registers cover ISCED 1-34."
IE,,1,"Netherlands: A new law on school absenteeism will be implemented in August 2025, which will ensure better monitoring of attendance and faster targeted actions to prevent ELET (https://wetgevingskalender.overheid.nl/Regeling/WGK014222)."
EL,,1,"Portugal: An interactive platform is under development, that will allow school heads and school departments to identify students at risk of early school leaving, and to define strategies to address the issue at school level."
ES,,1,"Slovakia: A national project has been launched to develop and test an early warning system that identifies school students at risk of ELET and provides targeted support, with full national implementation by 2028/29 (https://www.minedu.sk/ministerstvo-skolstva-spusta-projekt-prevencie-predcasneho-ukoncenia-skolskej-dochadzky/)."
FR,1,,
HR,,1,
IT,1,,
CY,,1,
LV,,1,
LT,1,,
LU,,1,
HU,1,,
MT,1,,
NL,,1,
AT,,1,
PL,1,,
PT,,1,
RO,1,,
SI,,1,
SK,,1,
FI,,1,
SE,,1,
AL,,1,
BA,,1,
IS,,1,
LI,,1,
ME,1,,
NO,,1,
RS,,1,
TR,1,,
Source: Eurydice,,,
