Title: ,"Start of the academic year in Europe, 2025/2026",Unnamed: 2,Unnamed: 3
Source: ,Eurydice,,
URL:,https://eurydice.eacea.ec.europa.eu/data-and-visuals/european-academic-year,,
Copyright: ,"European Commission, 2025",,
Last update: ,2025-09-09 00:00:00,,
Country,StartofYear_Period,StartofYear_DecisionLevel,StartofYear_Note
Albania,October,Top-level authority,
Austria,September/October,Top-level authority,Information on the decision-making level refers to universities (Universitäten) and university colleges of teacher education (Pädagogische Hochschulen). Universities of applied sciences (Fachhochschulen/Hochschulen für Angewandte Wissenschaften) and private higher education institutions have institutional autonomy to decide on the start of the academic year (generally in September or October).
Belgium (Flemish Community),September,Institutional autonomy,"The Higher Education Code specifies that the academic year should start between 1 September and 1 October.
No information is available regarding the independent private sector."
Belgium (French Community),September,Top-level authority,No information is available regarding the independent private sector.
Belgium (German-speaking Community),September,Top-level authority,
Bosnia and Herzegovina,October,Top-level authority,
Bulgaria,October,Institutional autonomy,Some private universities start the academic year in September.
Croatia,September/October,Institutional autonomy,"The Act on Higher Education and Scientific Activity specifies that the academic year spans between 1 October and 30 September of the following year. Under specific circumstances, some courses may start as early as 1 September."
Cyprus,September,Institutional autonomy,Some private higher education institutions start the academic year in October.
Czechia,September/October,Institutional autonomy,
Denmark,September,Institutional autonomy,
Estonia,August/September,Institutional autonomy,
Finland,August/September,Institutional autonomy,"The official start of the academic year is in August, as defined by the top-level authority. "
France,September/October,Institutional autonomy,
Georgia,September/October,Institutional autonomy,
Germany,October,Top-level authority,"The decision on the start of the academic year is made by the Länder. For universities of applied sciences (Hochschulen für angewandte Wissenschaften/Fachhochschulen), the academic year typically starts in September. "
Greece,September,Institutional autonomy,"At ISCED 6, the top-level authority sets the official start of the academic year at 1 September, while institutional higher education institutions determine the start of teaching activities. At ISCED 7, the academic year may start in October or March."
Hungary,September,Institutional autonomy,
Iceland,August/September,Institutional autonomy,
Ireland,September,Institutional autonomy,
Italy,October,Institutional autonomy,
Latvia,August/September,Institutional autonomy,
Liechtenstein,September,Institutional autonomy,In the private sector the academic year usually starts in October.
Lithuania,September,Institutional autonomy,No information is available regarding the independent private sector.
Luxembourg,September,Top-level authority,
Malta,September/October,Institutional autonomy,"For private institutions, the start of the academic year happens at different times of the year."
Moldavia,September,Institutional autonomy,
Montenegro,September,Top-level authority,
Netherelands,September,Institutional autonomy,
North Macedonia,September/October,Institutional autonomy,
Norway,August,Institutional autonomy,
Poland,October,Top-level authority,
Portugal,September,Institutional autonomy,
Romania,October,Institutional autonomy,
Serbia,October,Institutional autonomy, Some higher education institutions will exceptionally start the academic year in November to adjust to the prolongation of the previous academic year (due to socio-political circumstances).
Slovakia,September,Top-level authority,"The top-level authority determines the start of the academic year, as well as the dates of autumn and spring semesters. However, the Institutes decide independently on the periods when teaching activities start."
Slovenia,October,Top-level authority,
Spain,September,Institutional autonomy,"In some autonomous communities, some non-university tertiary programmes start in October. For those, the autonomous community usually decides on the start of the academic year. However, the decision may be delegated to the provincial directorates or the municipalities."
Sweden,August/September,Institutional autonomy,
Switzerland,September,Institutional autonomy,No information is available regarding the independent private sector.
Türkiye,September/October,Institutional autonomy,
Ukraine,September/October,Institutional autonomy,
