Title: ,The structure of European education systems,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Source: ,Eurydice,,,,,,,,,,,,,,,
URL:,https://eurydice.eacea.ec.europa.eu/data-and-visuals/european-education-structures,,,,,,,,,,,,,,,
Copyright: ,"European Commission, 2025",,,,,,,,,,,,,,,
Last update: ,2025-09-22 00:00:00,,,,,,,,,,,,,,,
Education system,Reference year,Name of the institution in English,Name of the programme in English,Name of the institution in national language,Name of the programme in national language,ISCED category,Compulsory education/training,Compulsory education/training in national language,Starting age - year,Starting age - month,Duration - year,Duration - month,VET programmes: work-based learning,Centre-based / home-based ECEC,Optional transition year,Group Program
AL,2025/2026,AL01.Nursery,AL01.Nursery,Çerdhe,Çerdhe,Non-ISCED centre-based,,,0,6,2,6,Not applicable (general education),centre-based,na,
AL,2025/2026,AL02.Kindergarten,AL02.Early childhood education,Kopshte,Arsimi Parashkollor,ISCED 0 centre-based,,,3,0,3,0,Not applicable (general education),centre-based,na,
AL,2025/2026,AL03.Primary and lower secondary school,"AL03.Basic education, 1st stage",Shkollë 9 vjeçare,Arsimi fillor,ISCED 1,,,6,0,5,0,Not applicable (general education),na,na,AL_GroupA
AL,2025/2026,AL03.Primary and lower secondary school,"AL04.Basic education, 2nd stage",Shkollë 9 vjeçare,Cikli i lartë i arsimit bazë,ISCED 2 general,,,11,0,4,0,Not applicable (general education),na,na,AL_GroupA
AL,2025/2026,AL04.General upper secondary school,AL05.Upper secondary general education - gymnasium,Gijmnaz,Arsimi i mesëm i lartë - gjimnazi,ISCED 3 general,,,15,0,3,0,Not applicable (general education),na,na,
AL,2025/2026,AL05.Oriented upper secondary school,AL06.Oriented socio-cultural upper secondary education,Shkollë e mesme e orientuar,Arsimi i mesëm i lartë i orientuar,ISCED 3 general,,,15,0,3,0,Not applicable (general education),na,na,
AL,2025/2026,AL06.Vocational upper secondary school,AL07.Upper secondary vocational education,Shkollë e mesme profesionale,Arsimi i mesëm profesional ,ISCED 3 vocational,,,15,0,2,0,Combined school- and work-based programme,na,na,
AL,2025/2026,AL06.Vocational upper secondary school,AL08.Upper secondary vocational education,Shkollë e mesme profesionale,Arsimi i mesëm profesional  ,ISCED 3 vocational,,,15,0,4,0,Combined school- and work-based programme,na,na,
AL,2025/2026,AL06.Vocational upper secondary school,AL09.Upper secondary vocational education 1 year,Shkollë e mesme profesionale,Arsimi i mesëm profesional 1 vjeçar,ISCED 3 vocational,,,17,0,1,0,Combined school- and work-based programme,na,na,
AL,2025/2026,AL06.Vocational upper secondary school,AL10.Upper secondary vocational education 2 years,Shkollë e mesme profesionale,Arsimi i mesëm profesional 2 vjeçar,ISCED 3 vocational,,,17,0,2,0,Combined school- and work-based programme,na,na,
AL,2025/2026,AL06.Vocational upper secondary school,AL11.Upper secondary vocational education 1 year,Shkollë e mesme profesionale,Arsimi i mesëm profesional 1 vjeçar,ISCED 3 vocational,,,18,0,1,0,Combined school- and work-based programme,na,na,
AL,2025/2026,,,,,,Full-time compulsory education/training,Arsimi i Detyrueshem,6,0,9,0,,,,
AL,2025/2026,,,,,,Part-time,,0,0,0,0,,,,
AT,2025/2026,AT01.Childminder,AT01.Home-based family daycare ,Tageseltern/Tagesmutter,Tageseltern/Tagesmütter,Non-ISCED home-based,,,0,0,5,0,Not applicable (general education),home-based,na,
AT,2025/2026,AT02.Crèche,AT02.Crèche,Kinderkrippe,Kinderkrippe,ISCED 0 centre-based,,,0,0,3,0,Not applicable (general education),centre-based,na,
AT,2025/2026,AT03.Mixed-age groups ,AT03.Mixed-age groups ,Alterserweiterte Bildungseinrichtung,Alterserweiterte Bildungseinrichtung,ISCED 0 centre-based,,,0,0,6,0,Not applicable (general education),centre-based,na,
AT,2025/2026,AT04.Kindergarten,AT04.Kindergarten,Kindergarten,Kindergarten,ISCED 0 centre-based,,,3,0,3,0,Not applicable (general education),centre-based,na,
AT,2025/2026,AT05.Primary school,AT05.Pre-primary stage,Volksschule,Vorschulstufe,ISCED 0 centre-based,,,6,0,1,0,Not applicable (general education),centre-based,na,
AT,2025/2026,AT05.Primary school,"AT06.Primary school, grades 1-4",Volksschule,"Volksschule, 1.-4. Schulstufe",ISCED 1,,,6,0,4,0,Not applicable (general education),na,na,
AT,2025/2026,AT06.Compulsory secondary school,AT07.Compulsory secondary school,Mittelschule,Mittelschule,ISCED 2 general,,,10,0,4,0,Not applicable (general education),na,na,
