iso3,education_spending_pct_gdp_year,education_spending_pct_gdp,tertiary_enrollment_gross_pct_year,tertiary_enrollment_gross_pct,learning_poverty_pct_year,learning_poverty_pct,access_minus_learning_gap_year,access_minus_learning_gap,cost_intensity_x_access_year,cost_intensity_x_access,country,oecd_funding_year,state_pct_gdp_oecd,private_pct_gdp_oecd,total_pct_gdp_oecd,oecd_funding_year_usd,state_usd_ppp_oecd,private_usd_ppp_oecd,total_usd_ppp_oecd,state_share_pct_oecd,private_share_pct_oecd,per_student_usd_ppp_oecd_year,per_student_usd_ppp_oecd,education_spending_pct_gdp_rank,education_spending_pct_gdp_n,education_spending_pct_gdp_pct_better,tertiary_enrollment_gross_pct_rank,tertiary_enrollment_gross_pct_n,tertiary_enrollment_gross_pct_pct_better,learning_poverty_pct_rank,learning_poverty_pct_n,learning_poverty_pct_pct_better,access_minus_learning_gap_rank,access_minus_learning_gap_n,access_minus_learning_gap_pct_better,cost_intensity_x_access_rank,cost_intensity_x_access_n,cost_intensity_x_access_pct_better,state_pct_gdp_oecd_rank,state_pct_gdp_oecd_n,state_pct_gdp_oecd_pct_better,private_pct_gdp_oecd_rank,private_pct_gdp_oecd_n,private_pct_gdp_oecd_pct_better,state_share_pct_oecd_rank,state_share_pct_oecd_n,state_share_pct_oecd_pct_better,private_share_pct_oecd_rank,private_share_pct_oecd_n,private_share_pct_oecd_pct_better,per_student_usd_ppp_oecd_rank,per_student_usd_ppp_oecd_n,per_student_usd_ppp_oecd_pct_better
ABW,2021.0,3.61855755636695,2024.0,14.0655418559377,,,,,2016.0,1718.306221803586,Aruba,,,,,,,,,,,,,143.0,244.0,41.56378600823045,185.0,245.0,24.590163934426236,,,,,,,50.0,194.0,74.61139896373057,,,,,,,,,,,,,,,
AFE,2023.0,3.96229304413263,2021.0,8.66186046600342,2019.0,90.3115941872706,2019.0,-81.63886374140878,,,Africa Eastern and Southern,,,,,,,,,,,,,122.0,244.0,50.20576131687242,214.0,245.0,12.704918032786882,140.0,155.0,9.740259740259738,129.0,137.0,5.882352941176472,,,,,,,,,,,,,,,,,,
AFG,2017.0,4.34319019317627,2020.0,10.85435962677,2013.0,93.2679977416992,,,2014.0,488.9151488156889,Afghanistan,,,,,,,,,,,,,99.0,244.0,59.67078189300412,197.0,245.0,19.672131147540984,146.0,155.0,5.844155844155841,,,,163.0,194.0,16.06217616580311,,,,,,,,,,,,,,,
AFW,2023.0,3.21562023947166,2021.0,10.1902599334717,2019.0,79.5644835996227,2019.0,-69.82572360511587,2013.0,829.3286561769103,Africa Western and Central,,,,,,,,,,,,,178.0,244.0,27.160493827160494,202.0,245.0,17.622950819672134,125.0,155.0,19.480519480519476,119.0,137.0,13.235294117647056,126.0,194.0,35.23316062176166,,,,,,,,,,,,,,,
AGO,2023.0,2.51273663315785,2024.0,9.9549065722902,,,,,2006.0,210.27676946162248,Angola,,,,,,,,,,,,,211.0,244.0,13.580246913580252,204.0,245.0,16.803278688524593,,,,,,,188.0,194.0,3.1088082901554404,,,,,,,,,,,,,,,
ALB,2023.0,3.09153008460998,2024.0,84.1496200561523,2021.0,10.2368154525756,2021.0,49.73305355998061,2017.0,799.8093783487534,Albania,,,,,,,,,,,,,187.0,244.0,23.456790123456795,23.0,245.0,90.98360655737704,35.0,155.0,77.92207792207793,44.0,137.0,68.38235294117648,129.0,194.0,33.67875647668394,,,,,,,,,,,,,,,
AND,2023.0,1.89867997169495,2024.0,67.6767676767677,,,,,2018.0,350.17638346240346,Andorra,,,,,,,,,,,,,228.0,244.0,6.584362139917699,67.0,245.0,72.95081967213115,,,,,,,175.0,194.0,9.84455958549223,,,,,,,,,,,,,,,
ARB,2020.0,3.76860740670194,2024.0,35.0803985595703,,,,,,,Arab World,,,,,,,,,,,,,133.0,244.0,45.67901234567901,133.0,245.0,45.90163934426229,,,,,,,,,,,,,,,,,,,,,,,,
ARE,2021.0,3.89404010772705,2024.0,63.7384451086316,2021.0,25.9162464141845,2021.0,30.535787029430104,,,United Arab Emirates,,,,,,,,,,,,,126.0,244.0,48.559670781893004,71.0,245.0,71.31147540983606,59.0,155.0,62.33766233766234,54.0,137.0,61.029411764705884,,,,,,,,,,,,,,,,,,
ARG,2023.0,5.00324010848999,2023.0,107.822574129434,2019.0,59.1471900939941,2019.0,36.04563397006871,2017.0,1510.7900313306188,Argentina,2022.0,4.11993710024896,,,2022.0,48417.3573849907,,,,,,,69.0,244.0,72.01646090534979,9.0,245.0,96.72131147540983,100.0,155.0,35.71428571428571,52.0,137.0,62.5,66.0,194.0,66.32124352331607,19.0,47.0,60.86956521739131,,,,,,,,,,,,
ARM,2023.0,2.43869996070862,2024.0,52.7748065090859,2019.0,27.2411460876464,2019.0,26.353271390907004,2017.0,548.473561413633,Armenia,,,,,,,,,,,,,213.0,244.0,12.757201646090532,99.0,245.0,59.83606557377049,61.0,155.0,61.038961038961034,57.0,137.0,58.82352941176471,154.0,194.0,20.725388601036265,,,,,,,,,,,,,,,
ASM,2006.0,14.7170495986938,1989.0,19.6201190948486,,,,,,,American Samoa,,,,,,,,,,,,,2.0,244.0,99.58847736625515,170.0,245.0,30.737704918032783,,,,,,,,,,,,,,,,,,,,,,,,
ATG,2023.0,3.10505161832136,2012.0,25.1156271899089,,,,,2009.0,230.595177843904,Antigua and Barbuda,,,,,,,,,,,,,185.0,244.0,24.279835390946502,151.0,245.0,38.52459016393443,,,,,,,187.0,194.0,3.626943005181349,,,,,,,,,,,,,,,
AUS,2022.0,5.05915021896362,2024.0,108.421989440918,2021.0,9.0636396408081,2021.0,103.62465381622287,2016.0,2133.8888670497104,Australia,2022.0,3.81611709810157,1.59529815974709,5.41141525784866,2022.0,57202.2588971608,23912.9607415386,81115.2196386995,70.51976084383305,29.48023915616681,2022.0,17529.3937922474,64.0,244.0,74.07407407407408,8.0,245.0,97.1311475409836,30.0,155.0,81.16883116883116,2.0,137.0,99.26470588235294,25.0,194.0,87.56476683937824,25.0,47.0,47.82608695652174,37.0,40.0,7.692307692307687,39.0,41.0,5.000000000000004,38.0,40.0,5.128205128205132,13.0,40.0,69.23076923076923
AUT,2022.0,5.27749013900757,2024.0,92.6126708984375,2021.0,14.969030380249,2021.0,78.97104072570801,2016.0,3002.1845681991563,Austria,2022.0,4.33752904081804,0.350866436613208,4.68839547743125,2022.0,24972.4115578153,2020.03974485821,26992.4513026735,92.5162790062786,7.4837209937214295,2022.0,20941.6847281036,51.0,244.0,79.42386831275721,16.0,245.0,93.85245901639344,45.0,155.0,71.42857142857143,15.0,137.0,89.70588235294117,8.0,194.0,96.37305699481865,14.0,47.0,71.73913043478262,9.0,40.0,79.48717948717949,7.0,41.0,85.0,9.0,40.0,79.48717948717949,3.0,40.0,94.87179487179486
AZE,2023.0,3.66036009788513,2024.0,41.3413783372226,2021.0,37.5467720031738,2021.0,1.4628257193050018,2017.0,552.0086788157925,Azerbaijan,,,,,,,,,,,,,141.0,244.0,42.38683127572016,120.0,245.0,51.22950819672132,72.0,155.0,53.896103896103895,76.0,137.0,44.85294117647059,152.0,194.0,21.761658031088082,,,,,,,,,,,,,,,
BDI,2025.0,4.5040397644043,2025.0,6.38454008102417,2019.0,95.8188552856445,2014.0,-88.68683350893241,2013.0,1143.6092527982971,Burundi,,,,,,,,,,,,,89.0,244.0,63.78600823045267,221.0,245.0,9.836065573770492,151.0,155.0,2.5974025974025983,134.0,137.0,2.2058823529411797,92.0,194.0,52.84974093264248,,,,,,,,,,,,,,,
BEL,2022.0,6.27611017227173,2023.0,82.1475601196289,2021.0,8.52700424194335,2021.0,74.16119766235356,2016.0,2487.7816423568725,Belgium,2022.0,5.15964530577141,0.342195750313825,5.58071599868869,2022.0,36985.6723023401,2452.94766099591,40004.0159561059,92.45489838550796,6.131753531163942,2022.0,19023.5755042028,25.0,244.0,90.12345679012346,27.0,245.0,89.34426229508196,27.0,155.0,83.11688311688312,20.0,137.0,86.02941176470588,14.0,194.0,93.26424870466322,5.0,47.0,91.30434782608697,8.0,40.0,82.05128205128204,8.0,41.0,82.5,7.0,40.0,84.61538461538461,8.0,40.0,82.05128205128204
BEN,2023.0,3.22974322056608,2022.0,10.2350101470947,2019.0,55.7761039733886,2019.0,-45.3854236602783,2015.0,970.3722783124964,Benin,,,,,,,,,,,,,176.0,244.0,27.9835390946502,201.0,245.0,18.032786885245898,94.0,155.0,39.6103896103896,105.0,137.0,23.529411764705888,107.0,194.0,45.07772020725389,,,,,,,,,,,,,,,
BFA,2023.0,5.32757840997187,2024.0,10.0419678526515,2019.0,73.8611907958984,2019.0,-66.9558648466368,2016.0,1899.841360392361,Burkina Faso,,,,,,,,,,,,,46.0,244.0,81.4814814814815,203.0,245.0,17.213114754098356,114.0,155.0,26.623376623376625,114.0,137.0,16.911764705882348,39.0,194.0,80.31088082901555,,,,,,,,,,,,,,,
BGD,2024.0,2.0343847791384,2024.0,23.7295608009814,2022.0,51.2200012207031,2022.0,-27.7194952318378,2016.0,520.283276419491,Bangladesh,,,,,,,,,,,,,223.0,244.0,8.64197530864198,155.0,245.0,36.885245901639344,87.0,155.0,44.15584415584416,93.0,137.0,32.35294117647059,158.0,194.0,18.65284974093264,,,,,,,,,,,,,,,
BGR,2022.0,4.50109004974365,2024.0,69.5460433959961,2021.0,18.1856994628906,2021.0,67.1160507202149,2013.0,1132.2486334698488,Bulgaria,2022.0,2.89287778887523,0.416137955972009,3.32673253871363,2022.0,5817.46215233606,836.836875144631,6689.92679515717,86.95853228987967,12.508909301525037,2022.0,8702.89163372246,90.0,244.0,63.37448559670782,62.0,245.0,75.0,51.0,155.0,67.53246753246754,25.0,137.0,82.35294117647058,93.0,194.0,52.33160621761659,42.0,47.0,10.869565217391308,12.0,40.0,71.7948717948718,15.0,41.0,65.0,18.0,40.0,56.41025641025641,32.0,40.0,20.512820512820518
