school_year_code,school_year,region,order,students_total
202425,2024/25,ABRUZZO,SCUOLA PRIMARIA,49500
202425,2024/25,ABRUZZO,SCUOLA SECONDARIA I GRADO,33024
202425,2024/25,ABRUZZO,SCUOLA SECONDARIA II GRADO,55584
202425,2024/25,BASILICATA,SCUOLA PRIMARIA,19435
202425,2024/25,BASILICATA,SCUOLA SECONDARIA I GRADO,12764
202425,2024/25,BASILICATA,SCUOLA SECONDARIA II GRADO,25746
202425,2024/25,CALABRIA,SCUOLA PRIMARIA,76503
202425,2024/25,CALABRIA,SCUOLA SECONDARIA I GRADO,48988
202425,2024/25,CALABRIA,SCUOLA SECONDARIA II GRADO,89802
202425,2024/25,CAMPANIA,SCUOLA PRIMARIA,249810
202425,2024/25,CAMPANIA,SCUOLA SECONDARIA I GRADO,162995
202425,2024/25,CAMPANIA,SCUOLA SECONDARIA II GRADO,318489
202425,2024/25,EMILIA ROMAGNA,SCUOLA PRIMARIA,178246
202425,2024/25,EMILIA ROMAGNA,SCUOLA SECONDARIA I GRADO,120957
202425,2024/25,EMILIA ROMAGNA,SCUOLA SECONDARIA II GRADO,203331
202425,2024/25,FRIULI-VENEZIA G.,SCUOLA PRIMARIA,43200
202425,2024/25,FRIULI-VENEZIA G.,SCUOLA SECONDARIA I GRADO,29952
202425,2024/25,FRIULI-VENEZIA G.,SCUOLA SECONDARIA II GRADO,48946
202425,2024/25,LAZIO,SCUOLA PRIMARIA,229262
202425,2024/25,LAZIO,SCUOLA SECONDARIA I GRADO,156009
202425,2024/25,LAZIO,SCUOLA SECONDARIA II GRADO,260122
202425,2024/25,LIGURIA,SCUOLA PRIMARIA,52870
202425,2024/25,LIGURIA,SCUOLA SECONDARIA I GRADO,36451
202425,2024/25,LIGURIA,SCUOLA SECONDARIA II GRADO,61260
202425,2024/25,LOMBARDIA,SCUOLA PRIMARIA,416284
202425,2024/25,LOMBARDIA,SCUOLA SECONDARIA I GRADO,280223
202425,2024/25,LOMBARDIA,SCUOLA SECONDARIA II GRADO,410907
202425,2024/25,MARCHE,SCUOLA PRIMARIA,57253
202425,2024/25,MARCHE,SCUOLA SECONDARIA I GRADO,39860
202425,2024/25,MARCHE,SCUOLA SECONDARIA II GRADO,72408
202425,2024/25,MOLISE,SCUOLA PRIMARIA,10132
202425,2024/25,MOLISE,SCUOLA SECONDARIA I GRADO,6638
202425,2024/25,MOLISE,SCUOLA SECONDARIA II GRADO,12574
202425,2024/25,PIEMONTE,SCUOLA PRIMARIA,161771
202425,2024/25,PIEMONTE,SCUOLA SECONDARIA I GRADO,112142
202425,2024/25,PIEMONTE,SCUOLA SECONDARIA II GRADO,177428
202425,2024/25,PUGLIA,SCUOLA PRIMARIA,154069
202425,2024/25,PUGLIA,SCUOLA SECONDARIA I GRADO,103814
202425,2024/25,PUGLIA,SCUOLA SECONDARIA II GRADO,188345
202425,2024/25,SARDEGNA,SCUOLA PRIMARIA,52044
202425,2024/25,SARDEGNA,SCUOLA SECONDARIA I GRADO,36968
202425,2024/25,SARDEGNA,SCUOLA SECONDARIA II GRADO,67379
202425,2024/25,SICILIA,SCUOLA PRIMARIA,206728
202425,2024/25,SICILIA,SCUOLA SECONDARIA I GRADO,133594
202425,2024/25,SICILIA,SCUOLA SECONDARIA II GRADO,226738
202425,2024/25,TOSCANA,SCUOLA PRIMARIA,136694
202425,2024/25,TOSCANA,SCUOLA SECONDARIA I GRADO,95455
202425,2024/25,TOSCANA,SCUOLA SECONDARIA II GRADO,166263
202425,2024/25,UMBRIA,SCUOLA PRIMARIA,31976
202425,2024/25,UMBRIA,SCUOLA SECONDARIA I GRADO,22577
202425,2024/25,UMBRIA,SCUOLA SECONDARIA II GRADO,39585
202425,2024/25,VENETO,SCUOLA PRIMARIA,192315
202425,2024/25,VENETO,SCUOLA SECONDARIA I GRADO,132475
202425,2024/25,VENETO,SCUOLA SECONDARIA II GRADO,207753
