System-level indicators for monitoring education and training systems in Europe – 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 11
System-level indicators on early leaving from education and training (ELET),,,,,,,,,,
"Indicator 5: Top-level policies and measures for monitoring and reaching out to non-enrolled youth, 2024/2025",,,,,,,,,,
,Community-based outreach,Home visits and counselling,Financial and material assistance,Youth mentorship programmes,Youth and community centres,Awareness campaigns,Regular monitoring and reporting,Other,No top-level policy/measure for monitoring and reaching out to non-enrolled youth,
BEfr,1,,,,,,,,,Explanatory note:
BEde,,,,,,,,,1,"Policies and measures to monitor and reach out to non-enrolled youth aim to identify, support, and reintegrate out-of-school young people into education and training pathways. Effective strategies typically combine targeted outreach, individual support, community engagement, and systematic monitoring. Key measures include:"
BEnl,,,,,,,1,,,"1. Community-based outreach: Collaborating with local community organisations, NGOs, social workers, and other stakeholders to identify and engage out-of-school youth, particularly in remote or marginalised areas."
BG,,,1,1,1,,,,,2. Home visits and counselling: Carrying out home visits to understand the reasons for school dropout and to provide personalised support and guidance for re-enrolment.
CZ,1,1,1,1,1,1,1,1,,"3. Financial and material support: Removing economic barriers by providing scholarships, school supplies, transportation, and meals to facilitate a return to education."
DK,,,,,,,,1,,"4. Youth mentorship programmes: Linking out-of-school youth with mentors who can offer guidance on educational pathways, vocational options, and life skills."
DE,1,,,1,,1,,1,,"5. Youth and community centres: Establishing accessible spaces where young people can receive academic support, career counselling, tutoring, and referral to social services."
EE,,,,1,1,,1,,,6. Awareness campaigns: Raising awareness among families and communities about the value of education and the resources available to support re-enrolment.
IE,,,,,,,,,1,"7. Regular monitoring and reporting: Defining clear benchmarks and implementing consistent data collection and reporting mechanisms to assess progress and refine outreach strategies.
"
EL,,,,,,,,,1,Country-specific notes:
ES,1,1,1,1,1,1,1,,,"Czechia: The category 'Other' refers to regular assessments of the child's and family's situation, the preparation of an individual child protection plan, and the organisation of case conferences, as mandated by the Act on Social and Legal Protection of Children."
FR,1,1,1,1,,1,1,,,Germany: The category 'Other' refers to Training guarantee and youth employment agencies.
HR,1,,,,,,,,,"Denmark: The category 'Other' refers to the municipal Kommunale Ungeindsats (KUI), responsible for supporting and guiding young people under 25 who have not completed secondary education or started in a full time job."
IT,,,,1,1,,,,,Netherlands: The category 'Other' refers to money at the disposal of schools and municipalities to address the needs of non-enrolled youth.
CY,,,,,,,1,,,Finland: The category 'Other' refers to workshop activities.
LV,,,,1,1,,,,,"Montenegro: The category 'Other' refers to the Employment Agency of Montenegro (EAM) services for all unemployed persons and other job seekers, including those who have dropped out of education."
LT,1,1,1,1,1,,1,,,Norway: The category 'Other' refers to the county authority's obligation to provide follow-up services for young people who are entitled to education and training.
LU,1,1,1,1,1,1,1,,,"Serbia: The category 'Other' refers to measures such as integrating financial or material assistance, or youth mentorship programmes, with awareness campaigns, typically implemented as project-oriented efforts at the local or district level rather than as top-level policies."
HU,,,,,,,,,1,
MT,1,,,,1,,,,,
NL,,,,,,,,1,,
AT,,,,1,,,,,,
PL,,,,1,1,,,,,
PT,,,,,,,,,1,
RO,,,,,,,1,,,
SI,,,,1,,,,,,
SK,,,,,,,,,1,
FI,1,,,1,1,,1,1,,
SE,1,,,,,,1,,,
AL,,,,,,,,,1,
BA,,,,,,,,,1,
IS,1,,,,1,,,,,
LI,,,,,,,,,1,
ME,,,,1,,,,1,,
NO,,,,,,,,1,,
RS,1,,,,,,1,1,,
TR,1,1,1,1,,,1,,,
Source: Eurydice,,,,,,,,,,
