Title: ,"School year in Europe: Recommended compulsory instruction time and holidays, 2024/2025",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,:,not available
Source: ,Eurydice,,,,,,,,,,,,-,not applicable
URL:,https://eurydice.eacea.ec.europa.eu/data-and-visuals/school-year-eu-time-holidays,,,,,,,,,,,,,
Copyright: ,"European Commission, 2026",,,,,,,,,,,,,
Last update: ,2026-01-06 00:00:00,,,,,,,,,,,,,
Country,ISCED,SchoolYear,Break1,Break2,Break3,Break4,Break5,Break6,Break7,Break8,BreaksNr_1week,Breaks >= Nr_2weeks,BreaksCumulatedDuration,SummerHolidays
BE_fr,ISCED 1,2024/2025,14,14,14,14,-,-,-,-,4,4,56,49
BE_fr,ISCED 24,2024/2025,14,14,14,14,-,-,-,-,4,4,56,49
BE_fr,ISCED 34,2024/2025,14,14,14,14,-,-,-,-,4,4,56,49
BE_de,ISCED 1,2024/2025,7,14,7,14,-,-,-,-,4,2,42,62
BE_de,ISCED 24,2024/2025,7,14,7,14,-,-,-,-,4,2,42,62
BE_de,ISCED 34,2024/2025,7,14,7,14,-,-,-,-,4,2,42,62
BE_nl,ISCED 1,2024/2025,7,14,7,15,4,-,-,-,4,2,47,62
BE_nl,ISCED 24,2024/2025,7,14,7,15,4,-,-,-,4,2,47,62
BE_nl,ISCED 34,2024/2025,7,14,7,15,4,-,-,-,4,2,47,62
BG,ISCED 1,2024/2025,4,11,7,4,2,-,-,-,2,0,28,77
BG,ISCED 24,2024/2025,4,11,7,4,2,-,-,-,2,0,28,77
BG,ISCED 34,2024/2025,4,11,3,4,-,-,-,-,1,0,22,76
CZ,ISCED 1,2024/2025,3,14,7,5,-,-,-,-,2,1,29,63
CZ,ISCED 24,2024/2025,3,14,7,5,-,-,-,-,2,1,29,63
CZ,ISCED 34,2024/2025,3,14,7,5,-,-,-,-,2,1,29,63
DK,ISCED 1,2024/2025,7,14,7,8,4,-,-,-,4,1,40,42
DK,ISCED 24,2024/2025,7,14,7,8,4,-,-,-,4,1,40,42
DK,ISCED 34,2024/2025,7,14,7,8,4,-,-,-,4,1,40,42
DE,ISCED 1,2024/2025,14,15,14,2,-,-,-,-,3,3,45,44
DE,ISCED 24,2024/2025,14,15,14,2,-,-,-,-,3,3,45,44
DE,ISCED 34,2024/2025,14,15,14,2,-,-,-,-,3,3,45,44
EE,ISCED 1,2024/2025,7,14,7,7,-,-,-,-,4,1,35,83
EE,ISCED 24,2024/2025,7,14,7,7,-,-,-,-,4,1,35,83
EE,ISCED 34,2024/2025,7,14,7,7,-,-,-,-,4,1,35,83
IE,ISCED 1,2024/2025,7,14,4,14,-,-,-,-,3,2,39,69
IE,ISCED 24,2024/2025,7,14,7,14,-,-,-,-,4,2,42,95
IE,ISCED 34,2024/2025,7,14,7,14,-,-,-,-,4,2,42,95
EL,ISCED 1,2024/2025,15,14,-,-,-,-,-,-,2,2,29,87
EL,ISCED 24,2024/2025,15,14,-,-,-,-,-,-,2,2,29,87
EL,ISCED 34,2024/2025,15,14,-,-,-,-,-,-,2,2,29,87
ES,ISCED 1,2024/2025,16,4,11,-,-,-,-,-,2,1,31,77
ES,ISCED 24,2024/2025,16,4,11,-,-,-,-,-,2,1,31,78
ES,ISCED 34,2024/2025,16,4,11,-,-,-,-,-,2,1,31,78
FR,ISCED 1,2024/2025,14,14,14,14,4,-,-,-,4,4,60,56
FR,ISCED 24,2024/2025,14,14,14,14,4,-,-,-,4,4,60,56
FR,ISCED 34,2024/2025,14,14,14,14,4,-,-,-,4,4,60,56
HR,ISCED 1,2024/2025,15,7,5,-,-,-,-,-,2,1,27,77
HR,ISCED 24,2024/2025,15,7,5,-,-,-,-,-,2,1,27,77
HR,ISCED 34,2024/2025,15,7,5,-,-,-,-,-,2,1,27,77
IT,ISCED 1,2024/2025,15,6,-,-,-,-,-,-,1,1,21,99
IT,ISCED 24,2024/2025,15,6,-,-,-,-,-,-,1,1,21,99
IT,ISCED 34,2024/2025,15,6,-,-,-,-,-,-,1,1,21,99
CY,ISCED 1,2024/2025,15,14,-,-,-,-,-,-,2,2,29,81
CY,ISCED 24,2024/2025,14,14,-,-,-,-,-,-,2,2,28,67
CY,ISCED 34,2024/2025,14,14,-,-,-,-,-,-,2,2,28,67
LV,ISCED 1,2024/2025,7,14,7,-,-,-,-,-,3,1,28,91
LV,ISCED 24,2024/2025,7,14,7,-,-,-,-,-,3,1,28,91
LV,ISCED 34,2024/2025,7,14,7,-,-,-,-,-,3,1,28,91
LT,ISCED 1,2024/2025,7,16,7,7,-,-,-,-,4,1,37,82
LT,ISCED 24,2024/2025,7,16,7,7,1,-,-,-,4,1,38,67
