Indicator 1,"Teachers’ annual gross statutory salaries (in national currency) at different stages of the career, by ISCED level, and qualification",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
Category,Year,ISCED level,Qualification,Salary progression,BE-FR,BE-DE,BE-NL,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,AL,BA,CH,IS,LI,ME,MK,NO,RS,TR
Teachers,2020/2021,ISCED 02,Minimum,Starting salary,32736.61,34750.09,33988,15120,354000,356828,:,a,a,13104,30992.36885282224,26839.498521066667,:,24297.490766666666,24189,9480,15781,69075.52,2890800.0000000005,17509,38412.835012649,:,36102,22374.1,39504,19777.37,8862,30001.8784,397200,518424,11970,74500,6854066,82804,9983.27,449372,411400,781428,87567.13999999998
Teachers,2020/2021,ISCED 1,Minimum,Starting salary,32736.61,34750.09,33987.93193245793,15120,379200,411355.17658205057,54128.94536287058,15780,37692,13104,30992.36885282224,26839.498521066667,14158,24297.490766666666,24189,9480,15781,69075.52,2890800.0000000005,25762.520000000004,38412.835012649,39171.71012585585,36102,22374.1,39504,19777.37,10980,34196.572799999994,402000,611196,12768,80500,6854066,84333,9983.27,462090,451600,913032,87567.13999999998
Teachers,2020/2021,ISCED 24,Minimum,Starting salary,32736.61,34750.09,33987.93193245793,15120,379200,413442.15316842304,60162.82409294328,15780,37692,13104,34619.35540557267,29381.99807452821,14158,26114.216443333335,24189,9480,15781,78285.59,2890800.0000000005,25762.520000000004,40723.340078036,39055.39465374035,36102,22374.1,43397,19777.37,10980,36734.1312,414000,635208,13566,89600,6854066,91971,9983.27,462090,451600,913032,90446.41999999998
Teachers,2020/2021,ISCED 34,Minimum,Starting salary,38277.27,43541.29,33987.93193245793,15120,379200,384928.934544,62926.14224436363,15780,37692,13104,34619.35540557267,29381.99807452821,15184,26114.216443333335,24189,9480,15781,78285.59,2890800.0000000005,25762.520000000004,40723.340078036,39105.65685509928,37941,22374.1,43397,19777.37,10980,38823.865600000005,416400,671232,15960,100900,6433240,99601,9983.27,482417,451600,913032,90446.41999999998
Teachers,2020/2021,ISCED 02,Minimum,After 10 years,40907.5,43470.85,42620,15600,368400,404768,:,a,a,15936,33648.650335654835,30960.70687626667,:,26639.460174166667,37385,a,16291,89337.68,3255714.000000001,20503,50882.040906315495,:,42087,27226.3,50266,23493.53,10110,32713.586640000005,416298,548443,12568,92700,7511510,a,10461.23,472352,501400,906456,90163.94
Teachers,2020/2021,ISCED 1,Minimum,After 10 years,40907.5,43470.85,42620.08744407995,15600,403200,456644.6408563503,62293.422738734786,a,52410,15936,33648.650335654835,30960.70687626667,14791.999774831827,26639.460174166667,37385,a,16291,89337.68,3255714.000000001,28955.010000000002,50882.040906315495,42216.48715588147,42087,27226.3,50266,24355.01,12342,39454.90122537601,447300,649404,13406,100100,7511510,a,10461.23,485721,521600,1059108,90163.94
Teachers,2020/2021,ISCED 24,Minimum,After 10 years,40907.5,43470.85,42620.08744407995,15600,404400,462287.07625153015,68440.13383439842,a,55828,15936,37597.00915308765,33503.206429728205,14791.999774831827,28843.1777125,37385,a,16291,97856.99,3617460.000000001,28955.010000000002,61922.08208522,44145.005619490104,42087,27226.3,50897,24355.01,12342,42382.654065024006,458400,673416,14244,114300,7511510,a,10461.23,485721,521600,1059108,93043.22
Teachers,2020/2021,ISCED 34,Minimum,After 10 years,46544.33,55864.4,42620.08744407995,15600,404400,500239.089504,71102.71366373966,a,55828,15936,37597.00915308765,33503.206429728205,15863.41024702825,29530.1933925,37385,a,16291,97856.99,3617460.000000001,28955.010000000002,61922.08208522,47751.31198239293,50744,27226.3,50897,24355.01,12342,46617.98060304002,462000,709440,16758,130300,7055299,a,10461.23,507088,521600,1059108,93043.22
Teachers,2020/2021,ISCED 02,Minimum,After 15 years,46043.08,47360.35,47983,16200,378000,404768,:,a,a,17352,35861.82731972296,32947.962228799996,:,29161.896674166666,44805,a,18118,100850.26,3496878.0000000005,21844,59732.882915816,:,47516,28886.3,52861,29644.01,10350,33025.144608,420144,566448,12868,:,7870490,a,10802.61,484280,501400,:,:
