covid_period,classe_eta,sex_label,mean_neet_obs_value,pre_covid_mean_neet_obs_value,delta_vs_pre_covid_pp,pct_change_vs_pre_covid
covid_shock,Y15-19,female,60.48225,58.733490625,1.7487593749999988,2.9774483968021417
pre_covid,Y15-19,female,58.733490625,58.733490625,0.0,0.0
covid_shock,Y15-19,male,69.113375,70.556628125,-1.4432531249999982,-2.045524514639635
pre_covid,Y15-19,male,70.556628125,70.556628125,0.0,0.0
covid_shock,Y15-19,total,129.5954375,129.290065625,0.30537187499999163,0.23619129089601434
pre_covid,Y15-19,total,129.290065625,129.290065625,0.0,0.0
covid_shock,Y15-24,female,172.2852714285714,180.21833571428573,-7.933064285714323,-4.401918514157868
pre_covid,Y15-24,female,180.21833571428573,180.21833571428573,0.0,0.0
covid_shock,Y15-24,male,181.1919,188.41505142857142,-7.223151428571413,-3.8336382225332604
pre_covid,Y15-24,male,188.41505142857142,188.41505142857142,0.0,0.0
covid_shock,Y15-24,total,281.17625,293.6633467391304,-12.487096739130436,-4.2521808995874055
pre_covid,Y15-24,total,293.6633467391304,293.6633467391304,0.0,0.0
covid_shock,Y15-29,female,358.3803571428571,367.69611285714285,-9.315755714285729,-2.5335475107143934
pre_covid,Y15-29,female,367.69611285714285,367.69611285714285,0.0,0.0
covid_shock,Y15-29,male,306.0366,309.4766028571429,-3.440002857142872,-1.1115550659998705
pre_covid,Y15-29,male,309.4766028571429,309.4766028571429,0.0,0.0
covid_shock,Y15-29,total,528.6176304347827,539.4309402173914,-10.813309782608712,-2.0045772269293516
pre_covid,Y15-29,total,539.4309402173914,539.4309402173914,0.0,0.0
covid_shock,Y15-34,female,572.1739285714286,591.4007257142857,-19.226797142857095,-3.251060796321349
pre_covid,Y15-34,female,591.4007257142857,591.4007257142857,0.0,0.0
covid_shock,Y15-34,male,405.7007,411.50078999999994,-5.800089999999955,-1.409496686506958
pre_covid,Y15-34,male,411.50078999999994,411.50078999999994,0.0,0.0
covid_shock,Y15-34,total,777.9392717391304,798.6826891304347,-20.74341739130432,-2.59720382995764
pre_covid,Y15-34,total,798.6826891304347,798.6826891304347,0.0,0.0
covid_shock,Y18-29,female,343.562,352.8951957142857,-9.333195714285694,-2.644750007263381
pre_covid,Y18-29,female,352.8951957142857,352.8951957142857,0.0,0.0
covid_shock,Y18-29,male,290.6000142857143,291.72182285714285,-1.1218085714285735,-0.3845473610583898
pre_covid,Y18-29,male,291.72182285714285,291.72182285714285,0.0,0.0
covid_shock,Y18-29,total,504.65156521739135,513.5817076086956,-8.930142391304287,-1.7387968183065186
pre_covid,Y18-29,total,513.5817076086956,513.5817076086956,0.0,0.0
covid_shock,Y20-24,female,151.727125,167.893265625,-16.166140624999997,-9.628820170255114
pre_covid,Y20-24,female,167.893265625,167.893265625,0.0,0.0
covid_shock,Y20-24,male,159.423375,171.8586375,-12.435262499999993,-7.235750661644803
pre_covid,Y20-24,male,171.8586375,171.8586375,0.0,0.0
covid_shock,Y20-24,total,311.1505625,339.7518375,-28.601275000000044,-8.418284124806254
pre_covid,Y20-24,total,339.7518375,339.7518375,0.0,0.0
covid_shock,Y25-29,female,226.76353125,232.019159375,-5.255628124999987,-2.2651698847445614
pre_covid,Y25-29,female,232.019159375,232.019159375,0.0,0.0
covid_shock,Y25-29,male,158.45746875,156.782540625,1.674928125000008,1.068312911835114
pre_covid,Y25-29,male,156.782540625,156.782540625,0.0,0.0
covid_shock,Y25-29,total,385.2210625,388.80169375,-3.5806312500000104,-0.9209402396025468
pre_covid,Y25-29,total,388.80169375,388.80169375,0.0,0.0
covid_shock,Y25-34,female,483.35415625,502.513971875,-19.159815624999965,-3.812792618185342
pre_covid,Y25-34,female,502.513971875,502.513971875,0.0,0.0
covid_shock,Y25-34,male,284.51359375,289.128628125,-4.615034374999993,-1.596187276551791
pre_covid,Y25-34,male,289.128628125,289.128628125,0.0,0.0
covid_shock,Y25-34,total,767.8675000000001,791.642590625,-23.77509062499996,-3.003260676794762
pre_covid,Y25-34,total,791.642590625,791.642590625,0.0,0.0
covid_shock,Y30-34,female,256.59059375,270.494825,-13.90423125000001,-5.140294735768054
pre_covid,Y30-34,female,270.494825,270.494825,0.0,0.0
covid_shock,Y30-34,male,126.05596874999999,132.34611562499998,-6.290146874999991,-4.752800522550276
pre_covid,Y30-34,male,132.34611562499998,132.34611562499998,0.0,0.0
covid_shock,Y30-34,total,382.6465625,402.840940625,-20.194378124999957,-5.0129905102666
pre_covid,Y30-34,total,402.840940625,402.840940625,0.0,0.0
