Indicator 2,"Average annual gross actual salaries of school heads (in national currency), by ISCED level",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Category,Year,ISCED level,Age range,BE-FR,BE-DE,BE-NL,BG,CZ*,DK,DE,EE,IE,EL,ES,FR*,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI*,SK,FI,SE,AL,BA,CH,IS,LI,ME,MK,NO,RS,TR
Heads,2020/2021,ISCED 02,25-64 years,65359.78217510595,:,71132,:,647100,523222,:,21999,:,24093,:,46582,:,a,59722,18677.512571039995,:,:,6198797.05,44618.245174465024,77173,:,:,44185,:,45100,:,44376,597490,:,19152,:,10482000,:,14083.17,:,660570,:,:
Heads,2020/2021,ISCED 1,25-64 years,66985.31495619369,:,71132,:,874400,702003,:,24584,88291,24093,:,46582,:,75137.992,59722,20541.852643680002,:,:,6699360.82,44618.245174465024,77173,74023.33392214,:,44185,:,42564,:,64114,658936,:,22344,:,11894000,:,14083.17,413490,775296,:,:
Heads,2020/2021,ISCED 24,25-64 years,68170.59950203063,:,75824.38092562715,:,874400,702003,:,24584,107725,26903,:,62278,:,75137.992,65347,19601.3109996,:,:,6699360.82,45517.900244447555,91996,78939.66125935505,:,44185,:,42564,:,74834,658936,:,22344,:,11894000,:,14083.17,413490,775296,:,:
Heads,2020/2021,ISCED 34,25-64 years,80976.77792165038,:,85339.0309052337,:,935300,959250.0794858292,:,24584,107725,26903,:,62278,:,75137.992,65347,23909.2343304,:,:,7131374,45517.900244447555,91996,98928.55548533266,:,44185,:,44162,:,77533,672741,:,24738,:,14455000,:,14083.17,446141,955990,:,:
Heads,2020/2021,ISCED 02,25-34 years,47717.51833333333,:,57838.35153428003,:,550900,466753,:,:,:,17356,:,37211,:,a,:,18678.455158679997,:,:,4645741.06,a,65267,:,:,a,:,:,:,39706,537128,:,:,:,:,:,13039.78,:,625431,:,:
Heads,2020/2021,ISCED 1,25-34 years,48937.791143077506,:,57838.35153428003,:,755000,:,:,:,73683,17356,:,37211,:,70417.68,:,19848.7960956,:,:,5047653.72,a,65267,48684.1585652957,:,a,:,:,:,:,607625,:,:,:,:,:,13039.78,367786,692143,:,:
Heads,2020/2021,ISCED 24,25-34 years,45488.43,:,58017.405327634406,:,755000,:,:,:,93840,a,:,43199,:,70417.68,:,23681.8220328,:,:,5047653.72,a,75972,49729.86126224159,:,a,:,:,:,:,607625,:,:,:,:,:,13039.78,367786,692143,:,:
Heads,2020/2021,ISCED 34,25-34 years,56971,:,66490.63196572127,:,855600,:,:,:,93840,a,:,43199,:,70417.68,:,24544.00977636,:,:,5168828,a,75972,48183.54366197184,:,a,:,:,:,:,:,:,:,:,:,:,13039.78,397043,a,:,:
Heads,2020/2021,ISCED 02,35-44 years,57406.827699038695,:,65513.33019130604,:,602700,493163,:,:,:,19953,:,42608,:,a,:,18497.9622828,:,:,5333080.09,45189.52346117308,72509,:,:,34063,:,:,:,42338,575108,:,:,:,9536000,:,13563.02,:,647816,:,:
Heads,2020/2021,ISCED 1,35-44 years,59743.90658667162,:,65513.33019130604,:,811800,663039,:,:,83468,19953,:,42608,:,70979.664,:,19439.5969116,:,:,5612268.49,45189.52346117308,72509,58605.871990481406,:,34063,:,:,:,57783,634405,:,:,:,11139000,:,13563.02,384546,758464,:,:
Heads,2020/2021,ISCED 24,35-44 years,62078.58229036925,:,68943.51293208469,:,811800,663039,:,:,101389,22980,:,52196,:,70979.664,:,19441.897540199996,:,:,5612268.49,45677.694273230765,87192,61009.66983349659,:,34063,:,:,:,67637,634405,:,:,:,11139000,:,13563.02,384546,758464,:,:
