provincia,macro_area,edifici_totali,pct_superamento_barriere,pct_rampe_esterne,pct_ascensori_disabili,pct_bagni_disabili
Roma,Centro,2910,74.4,61.3,39.6,58.1
Napoli,Sud,2793,57.1,48.8,24.4,44.1
Torino,Nord,2060,96.6,83.6,55.3,89.2
Milano,Nord,1785,88.3,67.7,51.8,79.3
Brescia,Nord,1200,93.4,79.0,49.2,85.2
Catania,Sud,1191,75.0,65.2,30.5,62.5
Bari,Sud,1085,89.3,79.4,46.6,76.2
Palermo,Sud,1078,80.3,73.4,42.7,68.9
Cagliari,Sud,976,92.8,87.9,33.6,78.0
Padova,Nord,906,93.4,83.9,30.9,81.7
Bologna,Nord,795,85.3,68.2,44.5,72.2
Firenze,Centro,777,93.4,86.2,56.9,85.7
Verona,Nord,711,88.0,69.9,44.7,75.1
Venezia,Nord,693,97.4,91.6,43.1,90.2
Genova,Nord,663,78.1,59.3,38.3,63.2
