Indicator 1b,Number of years to reach the top of the career by ISCED level and salary range (qualification),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Category,Year,Range (qualification),ISCED,BE-FR,BE-DE,BE-NL,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,AL,BA,CH,IS,LI,ME,MK,NO,RS,TR
Teachers,2020/2021,Minimum,ISCED 02,27,24,36,:,32,10,:,a,a,36,39,35,:,35,24,a,25,30,42,14,:,a,20,34,40,25,40,10,a,20,:,26,20,a,40,40,16,40,25
Teachers,2020/2021,Minimum,ISCED 1,27,24,36,:,32,12,:,a,:,36,39,35,40,35,24,a,25,30,42,19,:,34,20,34,40,25,40,20,a,20,:,25,20,a,40,40,16,40,25
Teachers,2020/2021,Minimum,ISCED 24,27,24,36,:,32,12,:,a,:,36,39,35,40,35,24,a,25,30,42,19,:,34,20,34,40,25,40,20,a,20,:,25,20,a,40,40,16,40,25
Teachers,2020/2021,Minimum,ISCED 34,27,24,36,:,32,7,:,a,:,36,39,35,40,35,24,a,25,30,42,19,:,34,20,34,40,25,40,20,a,20,:,25,:,a,40,40,16,40,25
Teachers,2020/2021,Higher (if most common),ISCED 02,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,9,a,a,20,a,40,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Teachers,2020/2021,Higher (if most common),ISCED 1,a,a,a,a,a,a,a,a,a,a,a,a,40,a,a,a,a,a,a,a,a,a,20,a,40,a,a,a,a,a,a,a,a,a,a,a,16,a,a
Teachers,2020/2021,Higher (if most common),ISCED 24,a,a,a,a,a,a,a,a,a,a,a,a,40,a,a,a,a,a,a,a,a,a,20,a,a,a,a,a,a,a,a,a,a,a,a,a,16,a,a
Teachers,2020/2021,Higher (if most common),ISCED 34,25,a,36,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,16,a,a
Teachers,2020/2021,Other (if different from minimum and most common),ISCED 02,25,a,36,a,32,10,a,a,a,36,39,35,0,35,0,a,25,30,42,0,a,:,20,34,a,25,40,10,a,a,a,26,20,a,20 years ,a,16,a,25
