FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EURO_LABOUR_STATUS,Condizione lavorativa europea,CITIZENSHIP,Cittadinanza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_SEX,Sesso (NOTE_SEX),NOTE_AGE,Età (NOTE_AGE),NOTE_EURO_LABOUR_STATUS,Condizione lavorativa europea (NOTE_EURO_LABOUR_STATUS),NOTE_CITIZENSHIP,Cittadinanza (NOTE_CITIZENSHIP),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,ITL,Italiano-a,2023,151.537,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,ITL,Italiano-a,2024,131.94,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,FRG,Straniero-a,2023,18.586,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,FRG,Straniero-a,2024,18.677,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,TOTAL,Totale,2023,170.123,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,TOTAL,Totale,2024,150.617,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2023,203.457,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,ITL,Italiano-a,2024,203.482,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2023,16.899,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,FRG,Straniero-a,2024,16.673,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,TOTAL,Totale,2023,220.356,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,TOTAL,Totale,2024,220.154,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,ITL,Italiano-a,2023,354.993,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,ITL,Italiano-a,2024,335.422,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,FRG,Straniero-a,2023,35.485,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,FRG,Straniero-a,2024,35.349,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOT,Totale,TOTAL,Totale,2023,390.478,,,,,,,,,,,CONDIZIONE_PROF_EU__TOT_N1,La variabile armonizzata a livello europeo prevede una diversa classificazione degli inattivi rispetto alla variabile "condizione professionale" ed estende la classe di età a 15–74 anni anziché 15–64 anni,,,,,,,,,,
