"Figure 1: The percentage of young people who are not in education, employment or training (NEET) increased over the quarter (January to March 2025)",""
"People aged 16 to 24 years NEET as a percentage of all people aged 16 to 24 years by age, seasonally adjusted, UK, January to March 2019 to April to June 2025",""
"",""
"Notes","1. Increased volatility of Labour Force Survey (LFS) estimates, resulting from smaller achieved sample sizes, means that estimates of change should be treated with additional caution.
2. [r] Data have been revised because of a seasonal adjustment review."
"Unit","%"
"",""
"Quarter","Percentage of all 16 to 24 year olds who are NEET"
"Jan-Mar 2019 [r]","11.2"
"Apr-Jun 2019 [r]","11.5"
"Jul-Sep 2019 [r]","11.5"
"Oct-Dec 2019 [r]","10.7"
"Jan-Mar 2020 [r]","11.5"
"Apr-Jun 2020 [r]","11.6"
"Jul-Sep 2020 [r]","11.2"
"Oct-Dec 2020 [r]","11.7"
"Jan-Mar 2021 [r]","10.7"
"Apr-Jun 2021 [r]","9.7"
"Jul-Sep 2021 [r]","10.3"
"Oct-Dec 2021 [r]","10.3"
"Jan-Mar 2022 [r]","10.6"
"Apr-Jun 2022 [r]","10.5"
"Jul-Sep 2022 [r]","10.5"
"Oct-Dec 2022 [r]","11.7"
"Jan-Mar 2023 [r]","11.6"
"Apr-Jun 2023 [r]","11.7"
"Jul-Sep 2023 [r]","12.0"
"Oct-Dec 2023 [r]","12.0"
"Jan-Mar 2024 [r]","12.9"
"Apr-Jun 2024 [r]","12.6"
"Jul-Sep 2024 [r]","13.0"
"Oct-Dec 2024 [r]","13.2"
"Jan-Mar 2025","12.5"
"Apr-Jun 2025","12.8"
