STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,expend,Expenditure and investment,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2013,,2055.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2014,,2105.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2015,,2275.4,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2016,,2399.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2017,,2417.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2018,,2479.3,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2019,,,,d,definition differs (see metadata),,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2020,,2772.6,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2021,,2917.9,,,,,
dataflow,ESTAT:EDUC_UOE_FINI01$DEFAULTVIEW(1.0),"Expenditure of the educational institutions by education level, programme orientation, type of institution and expenditure category",A,Annual,MIO_EUR,Million euro,PRIV,Private institutions,TOTAL,Total,ED02-8,Pre-primary to tertiary education,AT,Austria,2022,,3225.2,,,,,
