FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EURO_LABOUR_STATUS,Condizione lavorativa europea,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_SEX,Sesso (NOTE_SEX),NOTE_AGE,Età (NOTE_AGE),NOTE_EURO_LABOUR_STATUS,Condizione lavorativa europea (NOTE_EURO_LABOUR_STATUS),NOTE_EDU_LEV_HIGHEST,Titolo di studio (NOTE_EDU_LEV_HIGHEST),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,56.34,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,49.575,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,7,Diploma,2023,108.519,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,7,Diploma,2024,95.938,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,11,Laurea e post-laurea,2023,5.264,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,11,Laurea e post-laurea,2024,5.103,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,99,Totale,2023,170.123,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,UNEM,Disoccupati,99,Totale,2024,150.617,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,91.302,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,82.995,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,7,Diploma,2023,122.638,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,7,Diploma,2024,128.374,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,11,Laurea e post-laurea,2023,6.415,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,11,Laurea e post-laurea,2024,8.785,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,99,Totale,2023,220.356,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,TOTIN,Totale inattivi,99,Totale,2024,220.154,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,LFP,Forze lavoro potenziali,13,'Nessun titolo di studio, licenza di scuola elementare e media',2023,49.471,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,LFP,Forze lavoro potenziali,13,'Nessun titolo di studio, licenza di scuola elementare e media',2024,43.297,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,LFP,Forze lavoro potenziali,7,Diploma,2023,77.111,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,LFP,Forze lavoro potenziali,7,Diploma,2024,78.97,,,,,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),1,Maschi,Y15-24,15-24 anni,LFP,Forze lavoro potenziali,11,Laurea e post-laurea,2023,2.708,,,,,,,,,,,,,,,,,,,,,,
