1. Popolazione analizzata
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Numero di laureati,132.020,23.947,44.193,26.044,37.836
Numero di intervistati,79.945,13.891,26.223,15.821,24.010
Tasso di risposta sul totale dei laureati,"60,6","58,0","59,3","60,7","63,5"
Tasso di risposta sui laureati contattabili,"67,0","64,7","66,0","65,1","70,9"
Genere (%),,,,,
Uomini,"40,7","18,9","37,6","40,9","57,9"
Donne,"59,3","81,1","62,4","59,1","42,1"
"Età alla laurea (medie, in anni)","27,2","27,9","27,1","27,4","26,8"
"Voto di laurea (medie, in 110-mi)","107,2","108,3","105,9","107,6","107,8"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)","3,9","3,4","3,8","5,5","3,2"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)","1,8","1,6","2,1","1,8","1,8"
Indice di ritardo (sui laureati in atenei non telematici),"0,36","0,40","0,35","0,27","0,43"
Indice di ritardo (sui laureati in atenei telematici),"-0,20","-0,18","-0,28","-0,11","-0,08"

2b. Formazione post-laurea
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Hanno partecipato ad almeno un'attività di formazione post-laurea (%),"59,5","47,4","66,8","67,6","53,1"
Attività di formazione post-laurea: conclusa/in corso (% per attività),,,,,
Collaborazione volontaria,"5,6","5,0","6,0","5,6","5,6"
Tirocinio/praticantato,"13,0","2,2","30,6","7,4","3,7"
Scuola di specializzazione,"13,3","11,3","8,0","41,4","1,8"
Master universitario di primo livello,"6,1","9,8","7,6","5,0","3,1"
Altro tipo di master,"6,7","9,5","8,5","4,9","4,4"
Stage in azienda,"19,3","13,5","26,9","8,9","21,0"
Corso di formazione professionale,"3,0","4,3","2,8","3,7","2,0"
Attività sostenuta da borsa di studio,"4,6","2,7","2,8","4,4","7,8"

3. Condizione occupazionale
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Condizione occupazionale (%),,,,,
Lavorano,-,-,-,-,-
Non lavorano e non cercano,-,-,-,-,-
Non lavorano ma cercano,-,-,-,-,-
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)",-,-,-,-,-
Esperienze di lavoro post-laurea (%),,,,,
Non lavorano ma hanno lavorato dopo la laurea,"11,8","14,3","8,7","20,1","8,4"
Non hanno mai lavorato dopo la laurea,"12,9","7,6","10,0","20,5","14,0"
Tasso di occupazione,,,,,
Uomini,"91,8","81,6","88,3","94,4","95,0"
Donne,"87,5","83,2","84,3","93,2","92,2"
Totale,"89,3","82,9","85,8","93,7","93,8"
Tasso di disoccupazione,"4,5","7,9","6,3","2,3","2,3"

4. Ingresso nel mercato del lavoro
,Collettivo selezionato,"Artistica, Letteraria ed Educazione","Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Numero di occupati,0,0,0,0,0
Occupati: condizione occupazionale alla laurea (%),,,,,
Proseguono il lavoro iniziato prima della laurea,-,-,-,-,-
Non proseguono il lavoro iniziato prima della laurea,-,-,-,-,-
Hanno iniziato a lavorare dopo la laurea,-,-,-,-,-
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,-,-,-,-,-
Tempo dall'inizio della ricerca al reperimento del primo lavoro,-,-,-,-,-
Tempo dalla laurea al reperimento del primo lavoro,-,-,-,-,-

5. Caratteristiche dell'attuale lavoro
