1. Popolazione analizzata
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Numero di laureati,123.118,21.002,42.803,24.396,34.917
Numero di intervistati,61.063,9.772,21.041,13.329,16.921
Tasso di risposta sul totale dei laureati,"49,6","46,5","49,2","54,6","48,5"
Tasso di risposta sui laureati contattabili,"65,2","64,9","63,8","63,4","68,7"
Genere (%),,,,,
Uomini,"41,3","19,7","38,7","40,6","57,9"
Donne,"58,7","80,3","61,3","59,4","42,1"
"Età alla laurea (medie, in anni)","27,3","27,8","27,2","27,4","27,0"
"Voto di laurea (medie, in 110-mi)","107,1","108,6","105,6","107,5","107,6"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)","4,0","3,4","4,0","5,7","3,3"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)","2,2","1,8","2,3","1,8","2,0"
Indice di ritardo (sui laureati in atenei non telematici),"0,38","0,41","0,36","0,28","0,45"
Indice di ritardo (sui laureati in atenei telematici),"-0,19","-0,12","-0,26","-0,09","0,00"

2b. Formazione post-laurea
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Hanno partecipato ad almeno un'attività di formazione post-laurea (%),"63,4","50,2","70,8","71,7","55,2"
Attività di formazione post-laurea: conclusa/in corso (% per attività),,,,,
Collaborazione volontaria,"6,6","5,2","7,0","6,8","6,7"
Tirocinio/praticantato,"19,2","2,2","36,2","22,9","5,0"
Scuola di specializzazione,"16,1","12,5","10,1","45,5","2,5"
Master universitario di primo livello,"7,4","12,6","8,9","5,6","3,8"
Altro tipo di master,"9,0","11,6","10,8","6,8","6,9"
Stage in azienda,"19,5","13,2","26,0","9,4","23,2"
Corso di formazione professionale,"3,6","5,1","3,4","4,2","2,4"
Attività sostenuta da borsa di studio,"4,9","2,8","3,3","4,6","8,2"

3. Condizione occupazionale
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Condizione occupazionale (%),,,,,
Lavorano,-,-,-,-,-
Non lavorano e non cercano,-,-,-,-,-
Non lavorano ma cercano,-,-,-,-,-
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)",-,-,-,-,-
Esperienze di lavoro post-laurea (%),,,,,
Non lavorano ma hanno lavorato dopo la laurea,"11,4","13,1","8,0","21,5","6,5"
Non hanno mai lavorato dopo la laurea,"7,6","4,9","6,1","15,4","5,1"
Tasso di occupazione,,,,,
Uomini,"92,1","83,0","89,9","93,7","94,9"
Donne,"88,3","84,3","86,3","92,9","91,0"
Totale,"89,9","84,1","87,7","93,2","93,3"
Tasso di disoccupazione,"3,9","6,9","5,0","2,3","2,4"

4. Ingresso nel mercato del lavoro
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Numero di occupati,0,0,0,0,0
Occupati: condizione occupazionale alla laurea (%),,,,,
Proseguono il lavoro iniziato prima della laurea,-,-,-,-,-
Non proseguono il lavoro iniziato prima della laurea,-,-,-,-,-
Hanno iniziato a lavorare dopo la laurea,-,-,-,-,-
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,-,-,-,-,-
Tempo dall'inizio della ricerca al reperimento del primo lavoro,-,-,-,-,-
Tempo dalla laurea al reperimento del primo lavoro,-,-,-,-,-

5. Caratteristiche dell'attuale lavoro
,"Artistica, Letteraria ed Educazione",(1),"Economica, Giuridica e Sociale",Sanitaria e Agro-Veterinaria,STEM
Professione svolta (%),,,,,
"Imprenditori, legislatori e alta dirigenza",-,-,-,-,-
"Professioni intellettuali, scientifiche e di elevata specializzazione",-,-,-,-,-
Professioni tecniche,-,-,-,-,-
Professioni esecutive nel lavoro d'ufficio,-,-,-,-,-
Altre professioni,-,-,-,-,-
Tipologia dell'attività lavorativa (%),,,,,
Attività in proprio,-,-,-,-,-
Tempo indeterminato,-,-,-,-,-
Tempo determinato,-,-,-,-,-
Assegno di ricerca,-,-,-,-,-
Contratti formativi,-,-,-,-,-
Altre forme contrattuali,-,-,-,-,-
Senza contratto,-,-,-,-,-
Diffusione dello smart working (%),-,-,-,-,-
