comune,macro_area,neet_rate_15_29_pct,early_school_leavers_pct,nursery_coverage_pct,escs_context_index,poverty_risk_pct
Catania,Sud,25.4,18.2,12.1,-0.42,38.5
Palermo,Sud,24.1,17.5,13.8,-0.38,36.8
Napoli,Sud,23.5,16.9,11.5,-0.45,39.2
Bari,Sud,19.8,14.2,18.4,-0.22,31.0
Genova,Nord-Ovest,14.5,11.0,31.2,0.08,18.5
Roma,Centro,14.2,10.1,33.5,0.12,19.8
Torino,Nord-Ovest,13.5,10.5,34.1,0.15,17.9
Milano,Nord-Ovest,11.8,8.8,42.6,0.35,15.2
Firenze,Centro,10.4,7.9,44.8,0.28,14.1
Bologna,Nord-Est,8.9,7.2,46.5,0.38,12.5
