freq,tipologia_fam,titolo_studio_pe_pers_rif,tipo_dato,gruppo_spesa,condizione_pers_rif,abit_spesa,itter107,coicop,quant_spesa_toteq,num_comp_fam,time_period,obs_value,year
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2010,348.4,2010
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2011,354.68,2011
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2012,348.02,2012
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2013,351.03,2013
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2014,372.81,2014
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2015,371.49,2015
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2016,386.04,2016
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2017,389.63,2017
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2018,386.44,2018
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2019,391.71,2019
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2020,387.57,2020
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,01,ALL,TOT,2021,387.43,2021
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2010,27.86,2010
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2011,26.65,2011
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2012,26.24,2012
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2013,27.78,2013
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2014,30.15,2014
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2015,28.77,2015
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2016,30.22,2016
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2017,31.3,2017
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2018,33.44,2018
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2019,30.09,2019
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2020,31.4,2020
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,02,ALL,TOT,2021,31.22,2021
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,03,ALL,TOT,2010,77.16,2010
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,03,ALL,TOT,2011,72.19,2011
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,03,ALL,TOT,2012,72.32,2012
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,03,ALL,TOT,2013,68.71,2013
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,03,ALL,TOT,2014,66.81,2014
A,1ELD,99,SPESA_MEDIA,ALL,ALL,ALL,IT,03,ALL,TOT,2015,69.67,2015
