freq,unit_ist_aggr,itter107,fase_stato_patr,time_period,obs_value,year
A,2I,IT,1,2016,21901452908,2016
A,2I,IT,1,2017,23287959962,2017
A,2I,IT,1,2018,24515112223,2018
A,2I,IT,1,2019,25809772097,2019
A,2I,IT,1,2020,27396304262,2020
A,2I,IT,1,2021,28976573124,2021
A,2I,IT,1,2022,32117670635,2022
A,2I,IT,1,2023,36792351587,2023
A,2I,IT,11,2016,1013009297,2016
A,2I,IT,11,2017,1055359064,2017
A,2I,IT,11,2018,774993365,2018
A,2I,IT,11,2019,853174950,2019
A,2I,IT,11,2020,912384972,2020
A,2I,IT,11,2021,1001743281,2021
A,2I,IT,11,2022,1084991162,2022
A,2I,IT,11,2023,1200068633,2023
A,2I,IT,12,2016,9389736430,2016
A,2I,IT,12,2017,9530712074,2017
A,2I,IT,12,2018,9644182290,2018
A,2I,IT,12,2019,9703440011,2019
A,2I,IT,12,2020,9814600015,2020
A,2I,IT,12,2021,9826157333,2021
A,2I,IT,12,2022,10099052492,2022
A,2I,IT,12,2023,10606627822,2023
A,2I,IT,13,2016,163867202,2016
A,2I,IT,13,2017,170923649,2017
A,2I,IT,13,2018,122118490,2018
A,2I,IT,13,2019,112904574,2019
A,2I,IT,13,2020,114305287,2020
A,2I,IT,13,2021,110262983,2021
A,2I,IT,13,2022,116779595,2022
A,2I,IT,13,2023,122335819,2023
A,2I,IT,14,2016,42563488,2016
A,2I,IT,14,2017,14711382,2017
A,2I,IT,14,2018,14230682,2018
A,2I,IT,14,2019,14881038,2019
A,2I,IT,14,2020,23245456,2020
A,2I,IT,14,2021,24122536,2021
A,2I,IT,14,2022,26193883,2022
A,2I,IT,14,2023,21200927,2023
A,2I,IT,16,2016,6913146544,2016
A,2I,IT,16,2017,7999588363,2017
A,2I,IT,16,2018,8827127034,2018
A,2I,IT,16,2019,10209425943,2019
A,2I,IT,16,2020,11560094802,2020
A,2I,IT,16,2021,12083761399,2021
A,2I,IT,16,2022,12306307685,2022
A,2I,IT,16,2023,13745871669,2023
A,2I,IT,17,2016,81286843,2016
A,2I,IT,17,2017,91008659,2017
A,2I,IT,17,2018,106959701,2018
A,2I,IT,17,2019,124854756,2019
A,2I,IT,17,2020,123870075,2020
A,2I,IT,17,2021,127957886,2021
A,2I,IT,17,2022,134463527,2022
A,2I,IT,17,2023,147494840,2023
A,2I,IT,2,2016,21901452908,2016
A,2I,IT,2,2017,23287959962,2017
A,2I,IT,2,2018,24515112223,2018
A,2I,IT,2,2019,25809772097,2019
A,2I,IT,2,2020,27396304262,2020
A,2I,IT,2,2021,28976573124,2021
A,2I,IT,2,2022,32117670635,2022
A,2I,IT,2,2023,36792351587,2023
A,2I,IT,28,2016,1356616635,2016
A,2I,IT,28,2017,1268049077,2017
A,2I,IT,28,2018,1319124180,2018
A,2I,IT,28,2019,1360305800,2019
A,2I,IT,28,2020,1267936686,2020
A,2I,IT,28,2021,1270078821,2021
A,2I,IT,28,2022,1232599829,2022
A,2I,IT,28,2023,1336187070,2023
A,2I,IT,30,2016,10566612929,2016
A,2I,IT,30,2017,10756994787,2017
A,2I,IT,30,2018,10541294145,2018
A,2I,IT,30,2019,10669519535,2019
A,2I,IT,30,2020,10841290274,2020
A,2I,IT,30,2021,10938163597,2021
A,2I,IT,30,2022,11300823249,2022
A,2I,IT,30,2023,11929032274,2023
A,2I,IT,31,2016,10941598778,2016
A,2I,IT,31,2017,12100482513,2017
A,2I,IT,31,2018,13441346378,2018
A,2I,IT,31,2019,14517965203,2019
A,2I,IT,31,2020,16093181966,2020
A,2I,IT,31,2021,17516362493,2021
A,2I,IT,31,2022,20186439131,2022
A,2I,IT,31,2023,24114732107,2023
A,2I,IT,32,2016,3981019740,2016
A,2I,IT,32,2017,4081067912,2017
A,2I,IT,32,2018,4594979677,2018
A,2I,IT,32,2019,4287249111,2019
A,2I,IT,32,2020,4504874278,2020
A,2I,IT,32,2021,5403719081,2021
A,2I,IT,32,2022,7849500987,2022
A,2I,IT,32,2023,10344318081,2023
A,2I,IT,33,2016,4869006,2016
A,2I,IT,33,2017,5114856,2017
A,2I,IT,33,2018,5008985,2018
A,2I,IT,33,2019,6409111,2019
A,2I,IT,33,2020,4967430,2020
A,2I,IT,33,2021,4759477,2021
A,2I,IT,33,2022,4436576,2022
A,2I,IT,33,2023,3341430,2023
A,2I,IT,34,2016,311954358,2016
A,2I,IT,34,2017,339474003,2017
A,2I,IT,34,2018,425511999,2018
A,2I,IT,34,2019,497432603,2019
A,2I,IT,34,2020,337961947,2020
A,2I,IT,34,2021,394089148,2021
A,2I,IT,34,2022,495944728,2022
A,2I,IT,34,2023,601092366,2023
A,2I,IT,35,2016,10008961803,2016
A,2I,IT,35,2017,10954300919,2017
A,2I,IT,35,2018,11067433029,2018
A,2I,IT,35,2019,11508573905,2019
A,2I,IT,35,2020,12399217642,2020
A,2I,IT,35,2021,13335243816,2021
A,2I,IT,35,2022,14101760500,2022
A,2I,IT,35,2023,15103600629,2023
A,2I,IT,36,2016,3410639905,2016
A,2I,IT,36,2017,3312143110,2017
A,2I,IT,36,2018,3091493972,2018
A,2I,IT,36,2019,3100961808,2019
A,2I,IT,36,2020,3096740080,2020
A,2I,IT,36,2021,3095713510,2021
A,2I,IT,36,2022,3095784185,2022
A,2I,IT,36,2023,3119586219,2023
A,2I,IT,37,2016,4516051886,2016
A,2I,IT,37,2017,5189132765,2017
A,2I,IT,37,2018,5447420777,2018
A,2I,IT,37,2019,5933484490,2019
A,2I,IT,37,2020,6259893376,2020
A,2I,IT,37,2021,6878398393,2021
A,2I,IT,37,2022,7933649750,2022
A,2I,IT,37,2023,8443097434,2023
A,2I,IT,38,2016,2082270012,2016
A,2I,IT,38,2017,2453025044,2017
A,2I,IT,38,2018,2528518280,2018
A,2I,IT,38,2019,2474127607,2019
A,2I,IT,38,2020,3042584186,2020
A,2I,IT,38,2021,3361131913,2021
A,2I,IT,38,2022,3072326565,2022
A,2I,IT,38,2023,3540916976,2023
A,2I,IT,39,2016,34368044,2016
A,2I,IT,39,2017,37394113,2017
A,2I,IT,39,2018,38327301,2018
A,2I,IT,39,2019,38859653,2019
A,2I,IT,39,2020,36908761,2020
A,2I,IT,39,2021,34196611,2021
A,2I,IT,39,2022,33386783,2022
A,2I,IT,39,2023,32103121,2023
A,2I,IT,40,2016,2227201153,2016
A,2I,IT,40,2017,2219928605,2017
A,2I,IT,40,2018,2279309537,2018
A,2I,IT,40,2019,2379046020,2019
A,2I,IT,40,2020,2386718182,2020
A,2I,IT,40,2021,2333466637,2021
A,2I,IT,40,2022,2686613238,2022
A,2I,IT,40,2023,2868869152,2023
A,2I,IT,41,2016,5885655435,2016
A,2I,IT,41,2017,6173294356,2017
A,2I,IT,41,2018,6232090509,2018
A,2I,IT,41,2019,6464080062,2019
A,2I,IT,41,2020,6776769210,2020
A,2I,IT,41,2021,6769927285,2021
A,2I,IT,41,2022,7201301181,2022
A,2I,IT,41,2023,7978122145,2023
A,2I,IT,42,2016,2388649838,2016
A,2I,IT,42,2017,2634992892,2017
A,2I,IT,42,2018,3578827667,2018
A,2I,IT,42,2019,4058906657,2019
A,2I,IT,42,2020,4528753781,2020
A,2I,IT,42,2021,5233659954,2021
A,2I,IT,42,2022,6862009104,2022
A,2I,IT,42,2023,9473469470,2023
