DATAFLOW,FREQ,REF_AREA,IND_TYPE,MEASURE,NUM_COMPONENTI,TIPOLOGIA_FAM,FAM_MINORI,FAM_ANZIANI,CLASSE_ETA_PERS_RIF,TITOLO_STUDIO_PERS_RIF,COND_PROF_PERS_RIF,TIME_PERIOD,OBS_VALUE,COMMENT,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,DECIMALS,NOTA_IT,NOTA_EN,BREAK,COLLECTION,TIME_FORMAT,TITLE,METADATA_EN,METADATA_IT
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,1,99,9,9,TOTAL,99,99,2010,5.9,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,1,99,9,9,TOTAL,99,99,2011,6.7,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,1,99,9,9,TOTAL,99,99,2012,6.8,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,1,99,9,9,TOTAL,99,99,2013,5.6,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,2,99,9,9,TOTAL,99,99,2010,9.5,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,2,99,9,9,TOTAL,99,99,2011,9.4,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,2,99,9,9,TOTAL,99,99,2012,10.8,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,2,99,9,9,TOTAL,99,99,2013,10.3,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,3,99,9,9,TOTAL,99,99,2010,11.3,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,3,99,9,9,TOTAL,99,99,2011,11.7,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,3,99,9,9,TOTAL,99,99,2012,15.9,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,3,99,9,9,TOTAL,99,99,2013,14.1,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,4,99,9,9,TOTAL,99,99,2010,16.3,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,4,99,9,9,TOTAL,99,99,2011,15.6,,,,,,,,,,,Incidenza di povertà relativa familiare,,
IT1:34_198(1.0),A,IT,INCID_POVREL_FAM,1,4,99,9,9,TOTAL,99,99,2012,18.1,,,,,,,,,,,Incidenza di povertà relativa familiare,,
