freq,territorio,ind_type,measure,ordinescol,gest_scuola,time_period,obs_value,year
A,IT,SCH,9,3,1,2010,7248.0,2010
A,IT,SCH,9,3,1,2011,7247.0,2011
A,IT,SCH,9,3,1,2012,7233.0,2012
A,IT,SCH,9,3,1,2013,7442.0,2013
A,IT,SCH,9,3,1,2014,7359.0,2014
A,IT,SCH,9,3,1A,2010,7072.0,2010
A,IT,SCH,9,3,1A,2011,7071.0,2011
A,IT,SCH,9,3,1A,2012,7055.0,2012
A,IT,SCH,9,3,1A,2013,7264.0,2013
A,IT,SCH,9,3,1A,2014,7263.0,2014
A,IT,SCH,9,3,1B,2010,176.0,2010
A,IT,SCH,9,3,1B,2011,176.0,2011
A,IT,SCH,9,3,1B,2012,178.0,2012
A,IT,SCH,9,3,1B,2013,178.0,2013
A,IT,SCH,9,3,1B,2014,96.0,2014
A,IT,SCH,9,3,2,2010,676.0,2010
A,IT,SCH,9,3,2,2011,690.0,2011
A,IT,SCH,9,3,2,2012,698.0,2012
A,IT,SCH,9,3,2,2013,708.0,2013
A,IT,SCH,9,3,2,2014,686.0,2014
A,IT,SCH,9,3,9,2010,7924.0,2010
A,IT,SCH,9,3,9,2011,7937.0,2011
A,IT,SCH,9,3,9,2012,7931.0,2012
A,IT,SCH,9,3,9,2013,8150.0,2013
A,IT,SCH,9,3,9,2014,8045.0,2014
A,IT,CLSS,9,3,1,2010,79394.0,2010
A,IT,CLSS,9,3,1,2011,79323.0,2011
A,IT,CLSS,9,3,1,2012,79355.0,2012
A,IT,CLSS,9,3,1,2013,79296.0,2013
A,IT,CLSS,9,3,1,2014,78317.0,2014
A,IT,CLSS,9,3,1A,2010,77659.0,2010
A,IT,CLSS,9,3,1A,2011,77574.0,2011
A,IT,CLSS,9,3,1A,2012,77602.0,2012
A,IT,CLSS,9,3,1A,2013,77535.0,2013
A,IT,CLSS,9,3,1A,2014,77416.0,2014
A,IT,CLSS,9,3,1B,2010,1735.0,2010
A,IT,CLSS,9,3,1B,2011,1749.0,2011
A,IT,CLSS,9,3,1B,2012,1753.0,2012
A,IT,CLSS,9,3,1B,2013,1761.0,2013
A,IT,CLSS,9,3,1B,2014,901.0,2014
A,IT,CLSS,9,3,2,2010,3288.0,2010
A,IT,CLSS,9,3,2,2011,3331.0,2011
A,IT,CLSS,9,3,2,2012,3332.0,2012
A,IT,CLSS,9,3,2,2013,3269.0,2013
A,IT,CLSS,9,3,2,2014,3126.0,2014
A,IT,CLSS,9,3,9,2010,82682.0,2010
A,IT,CLSS,9,3,9,2011,82654.0,2011
A,IT,CLSS,9,3,9,2012,82687.0,2012
A,IT,CLSS,9,3,9,2013,82565.0,2013
A,IT,CLSS,9,3,9,2014,81443.0,2014
A,IT,ENR,9,3,1,2010,1704274.0,2010
A,IT,ENR,9,3,1,2011,1713640.0,2011
A,IT,ENR,9,3,1,2012,1718909.0,2012
A,IT,ENR,9,3,1,2013,1709406.0,2013
A,IT,ENR,9,3,1,2014,1677868.0,2014
A,IT,ENR,9,3,1A,2010,1668969.0,2010
A,IT,ENR,9,3,1A,2011,1678024.0,2011
A,IT,ENR,9,3,1A,2012,1683075.0,2012
A,IT,ENR,9,3,1A,2013,1673564.0,2013
A,IT,ENR,9,3,1A,2014,1658775.0,2014
A,IT,ENR,9,3,1B,2010,35305.0,2010
A,IT,ENR,9,3,1B,2011,35616.0,2011
A,IT,ENR,9,3,1B,2012,35834.0,2012
A,IT,ENR,9,3,1B,2013,35842.0,2013
A,IT,ENR,9,3,1B,2014,19093.0,2014
A,IT,ENR,9,3,2,2010,73560.0,2010
A,IT,ENR,9,3,2,2011,73827.0,2011
A,IT,ENR,9,3,2,2012,73470.0,2012
A,IT,ENR,9,3,2,2013,70352.0,2013
A,IT,ENR,9,3,2,2014,65719.0,2014
A,IT,ENR,9,3,9,2010,1777834.0,2010
A,IT,ENR,9,3,9,2011,1787467.0,2011
A,IT,ENR,9,3,9,2012,1792379.0,2012
A,IT,ENR,9,3,9,2013,1779758.0,2013
A,IT,ENR,9,3,9,2014,1743587.0,2014
A,IT,ENR_F,9,3,1,2010,816885.0,2010
A,IT,ENR_F,9,3,1,2011,821174.0,2011
A,IT,ENR_F,9,3,1,2012,823185.0,2012
A,IT,ENR_F,9,3,1,2013,820157.0,2013
A,IT,ENR_F,9,3,1,2014,805547.0,2014
A,IT,ENR_F,9,3,1A,2010,799935.0,2010
A,IT,ENR_F,9,3,1A,2011,804077.0,2011
A,IT,ENR_F,9,3,1A,2012,805785.0,2012
A,IT,ENR_F,9,3,1A,2013,803006.0,2013
A,IT,ENR_F,9,3,1A,2014,796435.0,2014
A,IT,ENR_F,9,3,1B,2010,16950.0,2010
A,IT,ENR_F,9,3,1B,2011,17097.0,2011
A,IT,ENR_F,9,3,1B,2012,17400.0,2012
A,IT,ENR_F,9,3,1B,2013,17151.0,2013
A,IT,ENR_F,9,3,1B,2014,9112.0,2014
A,IT,ENR_F,9,3,2,2010,34381.0,2010
A,IT,ENR_F,9,3,2,2011,34652.0,2011
A,IT,ENR_F,9,3,2,2012,34542.0,2012
A,IT,ENR_F,9,3,2,2013,33207.0,2013
A,IT,ENR_F,9,3,2,2014,30933.0,2014
A,IT,ENR_F,9,3,9,2010,851266.0,2010
A,IT,ENR_F,9,3,9,2011,855826.0,2011
A,IT,ENR_F,9,3,9,2012,857727.0,2012
A,IT,ENR_F,9,3,9,2013,853364.0,2013
A,IT,ENR_F,9,3,9,2014,836480.0,2014
A,IT,REP,9,3,1,2010,77378.0,2010
A,IT,REP,9,3,1,2011,74971.0,2011
A,IT,REP,9,3,1,2012,68639.0,2012
A,IT,REP,9,3,1,2013,62516.0,2013
A,IT,REP,9,3,1,2014,59136.0,2014
A,IT,REP,9,3,1A,2010,76072.0,2010
A,IT,REP,9,3,1A,2011,73827.0,2011
A,IT,REP,9,3,1A,2012,67594.0,2012
A,IT,REP,9,3,1A,2013,61548.0,2013
A,IT,REP,9,3,1A,2014,58601.0,2014
A,IT,REP,9,3,1B,2010,1306.0,2010
A,IT,REP,9,3,1B,2011,1144.0,2011
A,IT,REP,9,3,1B,2012,1045.0,2012
A,IT,REP,9,3,1B,2013,968.0,2013
A,IT,REP,9,3,1B,2014,535.0,2014
A,IT,REP,9,3,2,2010,1347.0,2010
A,IT,REP,9,3,2,2011,1382.0,2011
A,IT,REP,9,3,2,2012,1046.0,2012
A,IT,REP,9,3,2,2013,771.0,2013
A,IT,REP,9,3,2,2014,680.0,2014
A,IT,REP,9,3,9,2010,78725.0,2010
A,IT,REP,9,3,9,2011,76353.0,2011
A,IT,REP,9,3,9,2012,69685.0,2012
A,IT,REP,9,3,9,2013,63287.0,2013
A,IT,REP,9,3,9,2014,59816.0,2014
A,IT,REP_F,9,3,1,2010,25506.0,2010
A,IT,REP_F,9,3,1,2011,25222.0,2011
A,IT,REP_F,9,3,1,2012,22734.0,2012
