freq,voci_spesa,cond_prof_prev_pperc,classe_eta_pperc,itter107,misura1,num_componenti,sesso_pperc,tipologia_fam,fam_anziani,fam_minori,tipo_dato,titolo_studio_pperc,time_period,obs_value,year
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2010,3.4,2010
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2011,8.4,2011
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2012,9.7,2012
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2013,8.6,2013
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2014,8.4,2014
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2015,7.7,2015
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2016,8.5,2016
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2017,8.6,2017
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2018,6.1,2018
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2019,5.4,2019
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2020,5.2,2020
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2021,4.0,2021
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2022,4.8,2022
A,1,1A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2023,6.3,2023
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2010,5.1,2010
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2011,9.4,2011
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2012,14.3,2012
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2013,11.1,2013
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2014,9.8,2014
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2015,9.9,2015
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2016,10.6,2016
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2017,11.1,2017
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2018,8.6,2018
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2019,7.9,2019
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2020,8.1,2020
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2021,6.8,2021
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2022,6.3,2022
A,1,1B,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2023,7.3,2023
A,1,2A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2010,6.7,2010
A,1,2A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2011,14.4,2011
A,1,2A,TOTAL,IT,10,99,9,99,9,9,FAM_NO_PERMETTERSI,99,2012,16.6,2012
