freq,ref_area,ind_type,measure,num_componenti,tipologia_fam,fam_minori,fam_anziani,classe_eta_pers_rif,titolo_studio_pers_rif,cond_prof_pers_rif,time_period,obs_value,year
A,IT,INCID_POVASS_FAM,1,1,99,9,9,TOTAL,99,99,2010,4.3,2010
A,IT,INCID_POVASS_FAM,1,1,99,9,9,TOTAL,99,99,2011,5.1,2011
A,IT,INCID_POVASS_FAM,1,1,99,9,9,TOTAL,99,99,2012,5.5,2012
A,IT,INCID_POVASS_FAM,1,1,99,9,9,TOTAL,99,99,2013,5.1,2013
A,IT,INCID_POVASS_FAM,1,2,99,9,9,TOTAL,99,99,2010,3.6,2010
A,IT,INCID_POVASS_FAM,1,2,99,9,9,TOTAL,99,99,2011,4.1,2011
A,IT,INCID_POVASS_FAM,1,2,99,9,9,TOTAL,99,99,2012,5.5,2012
A,IT,INCID_POVASS_FAM,1,2,99,9,9,TOTAL,99,99,2013,6.0,2013
A,IT,INCID_POVASS_FAM,1,3,99,9,9,TOTAL,99,99,2010,4.1,2010
A,IT,INCID_POVASS_FAM,1,3,99,9,9,TOTAL,99,99,2011,4.7,2011
A,IT,INCID_POVASS_FAM,1,3,99,9,9,TOTAL,99,99,2012,6.6,2012
A,IT,INCID_POVASS_FAM,1,3,99,9,9,TOTAL,99,99,2013,8.3,2013
A,IT,INCID_POVASS_FAM,1,4,99,9,9,TOTAL,99,99,2010,5.7,2010
A,IT,INCID_POVASS_FAM,1,4,99,9,9,TOTAL,99,99,2011,5.2,2011
A,IT,INCID_POVASS_FAM,1,4,99,9,9,TOTAL,99,99,2012,8.3,2012
A,IT,INCID_POVASS_FAM,1,4,99,9,9,TOTAL,99,99,2013,11.8,2013
A,IT,INCID_POVASS_FAM,1,7,99,9,9,TOTAL,99,99,2010,10.7,2010
A,IT,INCID_POVASS_FAM,1,7,99,9,9,TOTAL,99,99,2011,12.3,2011
A,IT,INCID_POVASS_FAM,1,7,99,9,9,TOTAL,99,99,2012,17.2,2012
