freq,areadidattica,att_eco,condizione_dich3_occ,att_ricerca_lav,itter107,tipo_occ,isco3d,settore_impiego,sesso,anno_conseguimento_titolo,requisito_si_no,terr_resid_sposo,tipo_dato,time_period,obs_value,year
A,17,0010,A1_P,9,IT,9,99,9,9,2008,9,ITTOT,01,2014,310.0,2014
A,17,0010,A1_P,9,IT,9,99,9,9,2008,9,ITTOT,31,2014,97.5,2014
A,17,0010,A1_P,9,IT,9,99,9,9,2010,9,ITTOT,01,2014,329.0,2014
A,17,0010,A1_P,9,IT,9,99,9,9,2010,9,ITTOT,31,2014,95.8,2014
A,17,0010,A1_P,9,IT,9,99,9,9,2012,9,ITTOT,01,2018,335.0,2018
A,17,0010,A1_P,9,IT,9,99,9,9,2012,9,ITTOT,31,2018,95.2,2018
A,17,0010,A1_P,9,IT,9,99,9,9,2014,9,ITTOT,01,2018,344.0,2018
A,17,0010,A1_P,9,IT,9,99,9,9,2014,9,ITTOT,31,2018,97.7,2018
A,17,0010,A1A1_P,9,IT,9,99,9,9,2008,9,ITTOT,01,2014,81.0,2014
A,17,0010,A1A1_P,9,IT,9,99,9,9,2008,9,ITTOT,31,2014,25.5,2014
A,17,0010,A1A1_P,9,IT,9,99,9,9,2010,9,ITTOT,01,2014,77.0,2014
A,17,0010,A1A1_P,9,IT,9,99,9,9,2010,9,ITTOT,31,2014,22.3,2014
A,17,0010,A1A1_P,9,IT,9,99,9,9,2012,9,ITTOT,01,2018,25.0,2018
A,17,0010,A1A1_P,9,IT,9,99,9,9,2012,9,ITTOT,31,2018,7.1,2018
A,17,0010,A1A1_P,9,IT,9,99,9,9,2014,9,ITTOT,01,2018,89.0,2018
A,17,0010,A1A1_P,9,IT,9,99,9,9,2014,9,ITTOT,31,2018,25.3,2018
A,17,0010,A1A2_P,9,IT,9,99,9,9,2008,9,ITTOT,01,2014,229.0,2014
A,17,0010,A1A2_P,9,IT,9,99,9,9,2008,9,ITTOT,31,2014,72.0,2014
A,17,0010,A1A2_P,9,IT,9,99,9,9,2010,9,ITTOT,01,2014,252.0,2014
A,17,0010,A1A2_P,9,IT,9,99,9,9,2010,9,ITTOT,31,2014,73.5,2014
A,17,0010,A1A2_P,9,IT,9,99,9,9,2012,9,ITTOT,01,2018,310.0,2018
A,17,0010,A1A2_P,9,IT,9,99,9,9,2012,9,ITTOT,31,2018,88.1,2018
A,17,0010,A1A2_P,9,IT,9,99,9,9,2014,9,ITTOT,01,2018,255.0,2018
A,17,0010,A1A2_P,9,IT,9,99,9,9,2014,9,ITTOT,31,2018,72.4,2018
A,17,0010,A2_P,9,IT,9,99,9,9,2008,9,ITTOT,01,2014,8.0,2014
A,17,0010,A2_P,9,IT,9,99,9,9,2008,9,ITTOT,31,2014,2.5,2014
A,17,0010,A2_P,9,IT,9,99,9,9,2010,9,ITTOT,01,2014,14.0,2014
A,17,0010,A2_P,9,IT,9,99,9,9,2010,9,ITTOT,31,2014,4.2,2014
A,17,0010,A2_P,9,IT,9,99,9,9,2012,9,ITTOT,01,2018,17.0,2018
A,17,0010,A2_P,9,IT,9,99,9,9,2012,9,ITTOT,31,2018,4.8,2018
A,17,0010,A2_P,9,IT,9,99,9,9,2014,9,ITTOT,01,2018,8.0,2018
