freq,ref_area,ind_type,measure,num_componenti,tipologia_fam,fam_minori,fam_anziani,classe_eta_pers_rif,titolo_studio_pers_rif,cond_prof_pers_rif,time_period,obs_value,year
A,IT,INCID_POVREL_FAM,1,1,99,9,9,TOTAL,99,99,2010,5.9,2010
A,IT,INCID_POVREL_FAM,1,1,99,9,9,TOTAL,99,99,2011,6.7,2011
A,IT,INCID_POVREL_FAM,1,1,99,9,9,TOTAL,99,99,2012,6.8,2012
A,IT,INCID_POVREL_FAM,1,1,99,9,9,TOTAL,99,99,2013,5.6,2013
A,IT,INCID_POVREL_FAM,1,2,99,9,9,TOTAL,99,99,2010,9.5,2010
A,IT,INCID_POVREL_FAM,1,2,99,9,9,TOTAL,99,99,2011,9.4,2011
A,IT,INCID_POVREL_FAM,1,2,99,9,9,TOTAL,99,99,2012,10.8,2012
A,IT,INCID_POVREL_FAM,1,2,99,9,9,TOTAL,99,99,2013,10.3,2013
A,IT,INCID_POVREL_FAM,1,3,99,9,9,TOTAL,99,99,2010,11.3,2010
A,IT,INCID_POVREL_FAM,1,3,99,9,9,TOTAL,99,99,2011,11.7,2011
A,IT,INCID_POVREL_FAM,1,3,99,9,9,TOTAL,99,99,2012,15.9,2012
A,IT,INCID_POVREL_FAM,1,3,99,9,9,TOTAL,99,99,2013,14.1,2013
A,IT,INCID_POVREL_FAM,1,4,99,9,9,TOTAL,99,99,2010,16.3,2010
A,IT,INCID_POVREL_FAM,1,4,99,9,9,TOTAL,99,99,2011,15.6,2011
A,IT,INCID_POVREL_FAM,1,4,99,9,9,TOTAL,99,99,2012,18.1,2012
A,IT,INCID_POVREL_FAM,1,4,99,9,9,TOTAL,99,99,2013,21.7,2013
A,IT,INCID_POVREL_FAM,1,7,99,9,9,TOTAL,99,99,2010,29.9,2010
A,IT,INCID_POVREL_FAM,1,7,99,9,9,TOTAL,99,99,2011,28.5,2011
A,IT,INCID_POVREL_FAM,1,7,99,9,9,TOTAL,99,99,2012,30.2,2012
A,IT,INCID_POVREL_FAM,1,7,99,9,9,TOTAL,99,99,2013,34.6,2013
A,IT,INCID_POVREL_FAM,1,99,10,9,9,TOTAL,99,99,2010,11.5,2010
A,IT,INCID_POVREL_FAM,1,99,10,9,9,TOTAL,99,99,2011,11.3,2011
A,IT,INCID_POVREL_FAM,1,99,10,9,9,TOTAL,99,99,2012,11.9,2012
A,IT,INCID_POVREL_FAM,1,99,10,9,9,TOTAL,99,99,2013,11.8,2013
A,IT,INCID_POVREL_FAM,1,99,12,9,9,TOTAL,99,99,2010,9.8,2010
A,IT,INCID_POVREL_FAM,1,99,12,9,9,TOTAL,99,99,2011,10.4,2011
A,IT,INCID_POVREL_FAM,1,99,12,9,9,TOTAL,99,99,2012,15.4,2012
A,IT,INCID_POVREL_FAM,1,99,12,9,9,TOTAL,99,99,2013,13.2,2013
A,IT,INCID_POVREL_FAM,1,99,13,9,9,TOTAL,99,99,2010,15.6,2010
A,IT,INCID_POVREL_FAM,1,99,13,9,9,TOTAL,99,99,2011,14.8,2011
A,IT,INCID_POVREL_FAM,1,99,13,9,9,TOTAL,99,99,2012,17.4,2012
A,IT,INCID_POVREL_FAM,1,99,13,9,9,TOTAL,99,99,2013,20.4,2013
A,IT,INCID_POVREL_FAM,1,99,14,9,9,TOTAL,99,99,2010,27.4,2010
A,IT,INCID_POVREL_FAM,1,99,14,9,9,TOTAL,99,99,2011,27.2,2011
A,IT,INCID_POVREL_FAM,1,99,14,9,9,TOTAL,99,99,2012,29.8,2012
A,IT,INCID_POVREL_FAM,1,99,14,9,9,TOTAL,99,99,2013,32.9,2013
A,IT,INCID_POVREL_FAM,1,99,15,9,9,TOTAL,99,99,2010,14.1,2010
A,IT,INCID_POVREL_FAM,1,99,15,9,9,TOTAL,99,99,2011,13.2,2011
A,IT,INCID_POVREL_FAM,1,99,15,9,9,TOTAL,99,99,2012,14.8,2012
A,IT,INCID_POVREL_FAM,1,99,15,9,9,TOTAL,99,99,2013,15.6,2013
A,IT,INCID_POVREL_FAM,1,99,2,9,9,TOTAL,99,99,2010,2.9,2010
A,IT,INCID_POVREL_FAM,1,99,2,9,9,TOTAL,99,99,2011,3.6,2011
A,IT,INCID_POVREL_FAM,1,99,2,9,9,TOTAL,99,99,2012,4.9,2012
A,IT,INCID_POVREL_FAM,1,99,2,9,9,TOTAL,99,99,2013,3.6,2013
A,IT,INCID_POVREL_FAM,1,99,23,9,9,TOTAL,99,99,2010,23.0,2010
A,IT,INCID_POVREL_FAM,1,99,23,9,9,TOTAL,99,99,2011,22.0,2011
A,IT,INCID_POVREL_FAM,1,99,23,9,9,TOTAL,99,99,2012,22.3,2012
A,IT,INCID_POVREL_FAM,1,99,23,9,9,TOTAL,99,99,2013,24.0,2013
A,IT,INCID_POVREL_FAM,1,99,5,9,9,TOTAL,99,99,2010,8.9,2010
