AnnoA;Area_Disc;GruppoCOD;Nome Gruppo Disciplinare;SESSO;Imm
2024/2025;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;30487
2024/2025;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3358
2024/2025;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10559
2024/2025;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;12208
2024/2025;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1358
2024/2025;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;11558
2024/2025;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;11639
2024/2025;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;20257
2024/2025;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;17719
2024/2025;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;34303
2024/2025;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;30263
2024/2025;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;2871
2024/2025;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;8620
2024/2025;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;9865
2024/2025;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;19963
2024/2025;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3594
2024/2025;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;12009
2024/2025;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;19087
2024/2025;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;14075
2024/2025;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;12158
2024/2025;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6150
2024/2025;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2987
2024/2025;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3517
2024/2025;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1519
2024/2025;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;4263
2024/2025;STEM;9;Scientifico                                                                                                                                                                                                                                               ;9;1
2024/2025;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;10541
2024/2025;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;23539
2024/2025;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;6340
2024/2025;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;8547
2024/2025;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;7257
2023/2024;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;11543
2023/2024;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10251
2023/2024;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5939
2023/2024;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;20121
2023/2024;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1301
2023/2024;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;29074
2023/2024;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;8524
2023/2024;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3513
2023/2024;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;11706
2023/2024;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10073
2023/2024;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;10411
2023/2024;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1673
2023/2024;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3329
2023/2024;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;4188
2023/2024;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;22820
2023/2024;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;13918
2023/2024;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;11834
2023/2024;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;6638
2023/2024;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;10148
2023/2024;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3454
2023/2024;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;19405
2023/2024;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3851
2023/2024;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2852
2023/2024;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;19146
2023/2024;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;27924
