AnnoA;AteneoNOME;AteneoCOD;Diploma_Paese;Continente;Imm_D
2024/2025;Basilicata;7601;Algeria;Africa;1
2024/2025;Brescia;1701;Algeria;Africa;4
2024/2025;Genova;1001;Algeria;Africa;2
2024/2025;Macerata;4301;Algeria;Africa;2
2024/2025;Marche;4201;Algeria;Africa;4
2024/2025;Messina;8301;Algeria;Africa;3
2024/2025;Milano;1501;Algeria;Africa;1
2024/2025;Modena e Reggio Emilia;3601;Algeria;Africa;1
2024/2025;Napoli L'Orientale;6303;Algeria;Africa;1
2024/2025;Napoli Vanvitelli;6306;Algeria;Africa;1
2024/2025;Padova;2801;Algeria;Africa;1
2024/2025;Parma;3401;Algeria;Africa;1
2024/2025;Pavia;1801;Algeria;Africa;1
2024/2025;Perugia;5401;Algeria;Africa;4
2024/2025;Perugia Stranieri;5403;Algeria;Africa;1
2024/2025;Roma La Sapienza;5801;Algeria;Africa;1
2024/2025;Roma Saint Camillus;5818;Algeria;Africa;1
2024/2025;Roma Tor Vergata;5802;Algeria;Africa;1
2024/2025;Roma Tre;5807;Algeria;Africa;1
2024/2025;Siena Stranieri;5202;Algeria;Africa;1
2024/2025;Verona;2301;Algeria;Africa;2
2024/2025;Bari;7201;Angola;Africa;2
2024/2025;Basilicata;7601;Angola;Africa;1
2024/2025;Bergamo;1601;Angola;Africa;1
2024/2025;Bologna;3701;Angola;Africa;1
2024/2025;Cassino;6001;Angola;Africa;1
2024/2025;Firenze;4801;Angola;Africa;1
2024/2025;Genova;1001;Angola;Africa;1
2024/2025;Napoli Pegaso - telematica;6307;Angola;Africa;1
2024/2025;Novedrate e-Campus - telematica;1301;Angola;Africa;1
2024/2025;Perugia;5401;Angola;Africa;2
2024/2025;Pisa;5001;Angola;Africa;1
2024/2025;Roma Tre;5807;Angola;Africa;1
2024/2025;Sassari;9001;Angola;Africa;2
2024/2025;Tuscia;5601;Angola;Africa;2
2024/2025;Milano;1501;Benin;Africa;1
2024/2025;Milano Bocconi;1503;Benin;Africa;1
2024/2025;Napoli Parthenope;6302;Benin;Africa;1
2024/2025;Pavia;1801;Benin;Africa;1
2024/2025;Roma LUMSA;5803;Benin;Africa;1
2024/2025;Roma Tor Vergata;5802;Benin;Africa;1
2024/2025;Marche;4201;Botswana;Africa;1
2024/2025;Bologna;3701;Burkina Faso;Africa;1
2024/2025;Calabria;7801;Burkina Faso;Africa;1
2024/2025;Firenze;4801;Burkina Faso;Africa;1
2024/2025;Milano Cattolica;1504;Burkina Faso;Africa;1
2024/2025;Modena e Reggio Emilia;3601;Burkina Faso;Africa;1
2024/2025;Napoli Federico II;6301;Burkina Faso;Africa;1
2024/2025;Perugia;5401;Burkina Faso;Africa;1
2024/2025;Roma LUMSA;5803;Burkina Faso;Africa;1
2024/2025;Roma Tor Vergata;5802;Burkina Faso;Africa;1
2024/2025;Siena;5201;Burkina Faso;Africa;1
2024/2025;Cassino;6001;Burundi;Africa;1
2024/2025;Marche;4201;Burundi;Africa;1
2024/2025;Messina;8301;Burundi;Africa;2
2024/2025;Milano Cattolica;1504;Burundi;Africa;1
2024/2025;Napoli Benincasa;6304;Burundi;Africa;1
2024/2025;Napoli Federico II;6301;Burundi;Africa;1
2024/2025;Palermo;8201;Burundi;Africa;1
2024/2025;Roma La Sapienza;5801;Burundi;Africa;1
2024/2025;Roma UNINETTUNO - telematica;5813;Burundi;Africa;1
2024/2025;Aosta;701;Camerun;Africa;3
2024/2025;Bari;7201;Camerun;Africa;3
2024/2025;Benevento Giustino Fortunato - telematica;6202;Camerun;Africa;1
2024/2025;Bergamo;1601;Camerun;Africa;9
2024/2025;Bologna;3701;Camerun;Africa;66
2024/2025;Brescia;1701;Camerun;Africa;19
2024/2025;Calabria;7801;Camerun;Africa;19
