ANNO_ACCADEMICO;CODICE_REGIONE;NOME_REGIONE;CODICE_ENTE;NOME_ENTE;CODICE_ISTITUTO;NOME_ISTITUTO;TIPO_ISTITUTO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;1;Borse di studio - N° domande;14152;2988;13;157
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;2;Borse di studio - N° idonei (beneficiari e non beneficiari);9833;1692;2;137
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;3;Borse di studio - N° borse concesse - incluse borse concesse con FSE e altri fondi europei (PON, PNRR) (*);9833;1692;2;137
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;4;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;5;Prestiti di onore e altri prestiti agevolati - N° prestiti concessi;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;6;Mobilità internazionale - N° domande contributi;317;48;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;7;Mobilità internazionale - N° contributi concessi;292;44;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;8;Mobilità internazionale - N° complessivo di mesi in mobilità;1927;262;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;9;Interventi a favore di studenti in situazione di disabilità - N° domande;41;N;N;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;10;Interventi a favore di studenti in situazione di disabilità - N° interventi concessi;29;N;N;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;11;Attività di collaborazione a tempo parziale - N° collaborazioni;39;1;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;12;Attività di collaborazione a tempo parziale - Retribuzione oraria (euro);9;9;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;13;Posti alloggio e contributi-alloggio - N° domande posti alloggio;3369;1308;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;14;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati;1218;467;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;15;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a borsisti;1126;420;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;16;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a idonei non borsisti;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;17;Posti alloggio e contributi-alloggio - N° posti alloggio assegnati - di cui posti a studenti non idonei alla borsa;92;47;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;18;Posti alloggio e contributi-alloggio - N° domande contributi-alloggio;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;19;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;20;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a borsisti (non beneficiari di alloggio);0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;21;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a idonei non borsisti  (non beneficiari di alloggio);0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;22;Posti alloggio e contributi-alloggio - N° contributi-alloggio assegnati - di cui contributi a studenti non idonei alla borsa;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;23;Altri interventi di tipo finanziario - N° premi per il conseguimento del titolo;792;51;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;24;Altri interventi di tipo finanziario - N° contributi finanziari per il trasporto;0;0;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;25;Altri interventi di tipo finanziario - N° contributi straordinari;8;2;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;26;Altri interventi di tipo finanziario - N° altri sussidi concessi;373;129;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;27;(*) Borse di studio - precisazioni - N° borse concesse a studenti in sede;1311;74;2;26
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;28;(*) Borse di studio - precisazioni - N° borse concesse a studenti pendolari;3751;281;0;50
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;29;(*) Borse di studio - precisazioni - N° borse concesse a studenti fuori sede;4771;1337;0;61
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00101;Università degli studi di Torino;Ateneo;30;(*) Borse di studio - precisazioni - N° borse concesse tramite FSE e altri fondi europei (PON, PNRR);3556;505;0;0
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;1;Borse di studio - N° domande;9734;4915;32;8
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;2;Borse di studio - N° idonei (beneficiari e non beneficiari);6997;3546;10;3
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;3;Borse di studio - N° borse concesse - incluse borse concesse con FSE e altri fondi europei (PON, PNRR) (*);6997;3546;10;3
2024-2025 ;01;Piemonte;0101;EDISU del Piemonte;00102;Politecnico di Torino;Ateneo;4;Prestiti di onore e altri prestiti agevolati - N° domande;0;0;0;0
