Ripartizione_geografica;WLE_200_mean;ES;WLE_200_sd;ES_SD;Percentile5;Percentile25;Percentile75;Percentile95;GRADO;MATERIA;Ordinatore;FASCIA_1;FASCIA_2;FASCIA_3;FASCIA_4;FASCIA_5;FASCIA_6;LIVELLO_1;LIVELLO_2;LIVELLO_3;LIVELLO_4;LIVELLO_5;Significatività;Perc._Devianza_tra_scuole_su_Devianza_Totale;Perc._Devianza_tra_classi_su_Devianza_Totale;Perc._Devianza_dentro_le_classi_su_Devianza_Totale;Anno_new
Abruzzo;223,405506238429;4,61667421021648;52,1510988656326;2,23056058501711;141,364045189515;187,014125050916;249,410550728964;315,075462573345;5;Inglese L;18; ; ; ; ; ; ;9,48642218005417;90,513577819946; ; ; ;NS; ; ; ;2024-2025
Abruzzo;218,61862001137;4,50155931573422;51,0122452817613;2,17448603269317;136,976183139446;180,342335580834;254,882747871428;306,327157581469;5;Inglese R;18; ; ; ; ; ; ;7,84780674151958;92,1521932584805; ; ; ;NS; ; ; ;2024-2025
Abruzzo;198,542399351919;4,90909442375097;36,1753125296939;2,09546735074974;134,094849703815;176,477415510769;222,287969542234;256,371063515469;10;Italiano;18; ; ; ; ; ; ;11,053339066736;24,3481146300241;32,2148813368338;22,8573400324546;9,52632493395147;NS; ; ; ;2024-2025
Abruzzo;190,870743853247;2,21360878973634;32,2026194836464;,909236345545462;133,004512322185;170,143767673844;210,951775759341;240,699145773765;10 Altri licei;Italiano;18; ; ; ; ; ; ;10,3811369509044;32,5500645994832;36,2112403100775;17,2900516795865;3,56750645994832;NS; ; ; ;2024-2025
Abruzzo;166,16793967079;8,34712801849565;30,8030671946257;3,59385406942452;117,14132832973;138,61667494043;186,889501947804;215,535854600417;10 Istituti professionali;Italiano;18; ; ; ; ; ; ;36,4057971014492;38,0869565217391;21,159420289855;4,34782608695652;0;NS; ; ; ;2024-2025
Abruzzo;185,854195263609;3,63752075002158;32,4466688583003;1,51986268758031;133,553516053266;161,151297078615;204,857030981696;242,293886932483;10 Istituti tecnici;Italiano;18; ; ; ; ; ; ;15,5509768009768;35,6024877899877;31,0458638583638;14,3273046398046;3,47336691086691;NS; ; ; ;2024-2025
Abruzzo;219,220964660231;4,39770294470998;29,490169502647;1,61295957331887;173,898372513359;200,648708033835;239,643031606215;267,004527920465;10 Licei scientifici classici e linguistici;Italiano;18; ; ; ; ; ; ;1,71920239635311;9,18201956874423;34,0645491848809;36,1163887769977;18,9178400730243;NS; ; ; ;2024-2025
Abruzzo;201,370848150946;2,55691761361812;45,8857131549899;1,220554505447;134,596176628637;168,620048719555;225,537728092785;285,391976404244;2;Italiano;18;8,16051751788815;19,9121995476908;19,043714504703;28,8906807868667;18,5483717900945;5,44451585275717; ; ; ; ; ;NS; ; ; ;2024-2025
Abruzzo;202,86073797437;3,21213508919485;41,3852311600424;1,45083322877178;133,817561995727;174,439929862026;227,606965890005;267,762169496922;5;Italiano;18;4,05703158808659;15,9930995970917;27,9106953134772;30,0077555651098;14,1047203277035;7,92669760853065; ; ; ; ; ;NS; ; ; ;2024-2025
Abruzzo;198,401258129111;6,23767984964332;36,2064326179708;2,66467187445568;147,755901271773;171,489309688896;223,40897313916;263,945502984127;10;Matematica;18; ; ; ; ; ; ;17,0955555373289;27,5497492111525;23,5615534858777;15,4838300719725;16,3093116936685;NS; ; ; ;2024-2025
Abruzzo;188,152144911567;4,42805077518149;30,3106943880098;1,77728038674927;142,511299995481;166,826355479656;207,663898449401;239,388678273547;10 Altri licei;Matematica;18; ; ; ; ; ; ;22,2401103359414;30,1475147654643;27,4886352453476;14,7214155993888;5,40232405385781;NS; ; ; ;2024-2025
Abruzzo;164,484929456917;3,62686546228582;21,0522403821636;1,29753042315885;123,087709092895;153,712678716081;181,576695243682;194,305159363674;10 Istituti professionali;Matematica;18; ; ; ; ; ; ;49,2461430575035;41,972494935328;7,39247311827957;1,38888888888889;0;NS; ; ; ;2024-2025
