GRADO;MATERIA;Anno_scolastico;Cod_Reg;WLE_MEDIO
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;99;205,054354437563
G13 - Altri licei;ITALIANO;2024-2025;99;182,96723496984
G13 - Istituti tecnici;ITALIANO;2024-2025;99;173,160074645061
G13 - Istituti professionali;ITALIANO;2024-2025;99;154,671993178068
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;1;225,420917530822
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;2;212,234729415168
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;3;206,034580318925
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;4;216,79162564787
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;6;219,843201582146
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;7;218,422682497871
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;8;215,021927952191
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;9;203,353524625399
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;10;209,313916929333
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;11;210,523771217279
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;12;197,001424373116
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;13;205,102466900183
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;14;203,27841701996
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;15;195,414732230226
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;16;202,311597496068
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;17;204,409248448051
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;18;193,31715702543
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;19;195,686801738231
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;20;195,324787980951
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;51;204,949012882659
G13 - Licei scientifici classici e linguistici;ITALIANO;2024-2025;54;218,00679417412
G13 - Altri licei;ITALIANO;2024-2025;1;193,133972634521
G13 - Altri licei;ITALIANO;2024-2025;2;190,055724832672
G13 - Altri licei;ITALIANO;2024-2025;3;184,589496633785
G13 - Altri licei;ITALIANO;2024-2025;4;195,946987162871
G13 - Altri licei;ITALIANO;2024-2025;6;198,734360390183
G13 - Altri licei;ITALIANO;2024-2025;7;197,057311251512
G13 - Altri licei;ITALIANO;2024-2025;8;191,83333416334
G13 - Altri licei;ITALIANO;2024-2025;9;181,456366666365
G13 - Altri licei;ITALIANO;2024-2025;10;186,634382334986
G13 - Altri licei;ITALIANO;2024-2025;11;181,692844563577
G13 - Altri licei;ITALIANO;2024-2025;12;172,467662417012
G13 - Altri licei;ITALIANO;2024-2025;13;178,143519807026
G13 - Altri licei;ITALIANO;2024-2025;14;181,183181471615
G13 - Altri licei;ITALIANO;2024-2025;15;169,478554169732
G13 - Altri licei;ITALIANO;2024-2025;16;178,943543718916
G13 - Altri licei;ITALIANO;2024-2025;17;179,62574929344
G13 - Altri licei;ITALIANO;2024-2025;18;174,433712213709
G13 - Altri licei;ITALIANO;2024-2025;19;170,948745214056
G13 - Altri licei;ITALIANO;2024-2025;20;172,162216552951
G13 - Altri licei;ITALIANO;2024-2025;51;184,137157997654
G13 - Altri licei;ITALIANO;2024-2025;54;191,957577673956
G13 - Istituti tecnici;ITALIANO;2024-2025;1;187,765104051645
G13 - Istituti tecnici;ITALIANO;2024-2025;2;178,683012150526
G13 - Istituti tecnici;ITALIANO;2024-2025;3;174,993161241597
G13 - Istituti tecnici;ITALIANO;2024-2025;4;184,507960281681
G13 - Istituti tecnici;ITALIANO;2024-2025;6;188,462277300014
G13 - Istituti tecnici;ITALIANO;2024-2025;7;188,173608110933
G13 - Istituti tecnici;ITALIANO;2024-2025;8;183,357288155218
G13 - Istituti tecnici;ITALIANO;2024-2025;9;174,118228898658
G13 - Istituti tecnici;ITALIANO;2024-2025;10;173,303613391353
G13 - Istituti tecnici;ITALIANO;2024-2025;11;177,413975956056
G13 - Istituti tecnici;ITALIANO;2024-2025;12;164,918114786868
G13 - Istituti tecnici;ITALIANO;2024-2025;13;167,621048493118
G13 - Istituti tecnici;ITALIANO;2024-2025;14;167,686002441443
G13 - Istituti tecnici;ITALIANO;2024-2025;15;156,55721961148
G13 - Istituti tecnici;ITALIANO;2024-2025;16;171,865963659631
G13 - Istituti tecnici;ITALIANO;2024-2025;17;172,023182685294
G13 - Istituti tecnici;ITALIANO;2024-2025;18;163,485153045408
G13 - Istituti tecnici;ITALIANO;2024-2025;19;165,053941491285
