Ripartizione_geografica;Ordinatore;Significatività_18vs19;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Anno_new;VALORI;LIVELLO_SUFF
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;2,17;NON raggiungono il traguardo
Valle d'Aosta;2,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;2,24;NON raggiungono il traguardo
Veneto;9,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;2,44;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;2,45;NON raggiungono il traguardo
Valle d'Aosta;2,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;2,85;NON raggiungono il traguardo
Umbria;14,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;3,47;NON raggiungono il traguardo
Molise;19,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2023-2024;3,51;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;3,57;NON raggiungono il traguardo
Umbria;14,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2023-2024;3,79;NON raggiungono il traguardo
Abruzzo;18,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;3,79;NON raggiungono il traguardo
Veneto;9,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;3,80;NON raggiungono il traguardo
Marche;15,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2023-2024;3,94;NON raggiungono il traguardo
Marche;15,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;4,05;NON raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;4,12;NON raggiungono il traguardo
Prov. Aut. Trento;8,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;4,13;NON raggiungono il traguardo
Lombardia;5,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;4,30;NON raggiungono il traguardo
Emilia-Romagna;11,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;4,33;NON raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;4,58;NON raggiungono il traguardo
Liguria;4,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;4,64;NON raggiungono il traguardo
