GRADO;MATERIA;Anno_scolastico;WLE_MASCHI;WLE_FEMMINE;WLE_NATIVO;WLE_ST_PRIMA_GEN;WLE_ST_SECONDA_GEN;WLE_ESCS_Q01;WLE_ESCS_Q02;WLE_ESCS_Q03;WLE_ESCS_Q04
G08;INGLESE Listening;2024-2025;213,637101398218;217,945102939694;215,291265273157;210,945512780971;226,158963077989;209,213997326352;216,589518952594;220,685034517867;230,130591039316
G08;INGLESE Reading;2024-2025;212,438966687605;218,54463689019;216,216322023773;204,221791336733;218,781880622891;208,854894367116;217,298619830856;221,770891297373;231,116113467858
G08;ITALIANO;2024-2025;188,992066695301;197,52613821654;197,149546875222;160,980723638732;179,456165589027;183,23518698551;194,352069448994;200,461315306497;211,500216404042
G08;MATEMATICA;2024-2025;197,727757577873;191,921894141;197,463989066402;173,511038869322;187,471562949571;185,459670233776;195,903464221351;201,364970403166;211,723075500799
G13 - Altri Licei;INGLESE Listening;2024-2025;201,148396535981;203,630582125198; ; ; ; ; ; ; 
G13 - Altri Licei;INGLESE Reading;2024-2025;191,124932988611;195,327473895857; ; ; ; ; ; ; 
G13 - Altri Licei;ITALIANO;2024-2025;175,348531510486;185,20532155069; ; ; ; ; ; ; 
G13 - Altri Licei;MATEMATICA;2024-2025;184,690326495382;180,497559588091; ; ; ; ; ; ; 
G13 - Istituti Professionali;INGLESE Listening;2024-2025;175,41188407838;178,849202145785; ; ; ; ; ; ; 
G13 - Istituti Professionali;INGLESE Reading;2024-2025;171,190354910643;173,691607455304; ; ; ; ; ; ; 
G13 - Istituti Professionali;ITALIANO;2024-2025;150,571951461328;159,484873670002; ; ; ; ; ; ; 
G13 - Istituti Professionali;MATEMATICA;2024-2025;164,675347156735;157,9872765082; ; ; ; ; ; ; 
G13 - Istituti Tecnici;INGLESE Listening;2024-2025;196,161946131074;199,562535604122; ; ; ; ; ; ; 
G13 - Istituti Tecnici;INGLESE Reading;2024-2025;193,154291313366;194,96213456379; ; ; ; ; ; ; 
G13 - Istituti Tecnici;ITALIANO;2024-2025;170,973438085226;177,62739083739; ; ; ; ; ; ; 
G13 - Istituti Tecnici;MATEMATICA;2024-2025;190,027772058113;180,729370054248; ; ; ; ; ; ; 
G13 - Licei Scientifici;MATEMATICA;2024-2025;221,885351909708;216,350309410538; ; ; ; ; ; ; 
G13 - Licei Scientifici Classici e Linguistici;INGLESE Listening;2024-2025;226,337750546769;231,351587304431; ; ; ; ; ; ; 
G13 - Licei Scientifici Classici e Linguistici;INGLESE Reading;2024-2025;217,927137535178;222,155435048526; ; ; ; ; ; ; 
G13 - Licei Scientifici Classici e Linguistici;ITALIANO;2024-2025;200,765000966066;208,539446320511; ; ; ; ; ; ; 
