codice_ente,anno,mese,codice_gestionale,importo_centesimi
000724236,2025,06,1.03.02.05.001,25473
007548350,2025,12,1.03.01.02.012,0
007548441,2025,11,1.09.99.04.001,10900
007548162,2025,05,2.02.01.99.999,78800
007549688,2025,10,1.03.02.02.999,0
007550384,2025,12,1.09.99.04.001,0
007548445,2025,07,1.10.04.01.003,0
007548441,2025,02,1.01.02.01.001,0
007554699,2025,05,7.01.01.02.001,533383
007549179,2025,06,1.03.02.09.008,0
007548474,2025,12,1.03.02.13.999,45000
007548763,2025,06,1.10.04.01.003,0
007548904,2025,09,1.03.02.18.999,0
007549258,2025,12,1.01.01.01.002,0
007548857,2025,03,1.03.01.01.001,0
007548857,2025,09,1.03.02.07.006,216500
007549282,2025,11,2.02.01.03.003,0
007548857,2025,07,1.03.01.05.999,0
007549503,2025,11,1.03.02.09.006,77500
007549688,2025,10,1.02.01.01.001,0
007552349,2025,08,1.03.01.02.007,0
007552743,2025,07,1.10.04.01.003,0
007549179,2025,04,1.03.02.09.008,0
007549308,2025,11,1.10.04.99.999,0
007549282,2025,09,1.03.01.02.005,0
007549308,2025,04,7.01.99.03.001,0
007553107,2025,01,1.01.02.01.001,256742
007550804,2025,12,1.03.02.13.002,2861
007557094,2025,07,1.03.02.02.002,90105
007552360,2025,09,2.02.01.03.003,0
007552470,2025,12,1.03.02.11.999,73200
007550804,2025,09,0.00.00.99.999,0
007553469,2025,11,2.02.01.07.001,0
007557595,2025,11,1.03.01.02.011,1126049
007552081,2025,12,1.03.01.02.001,43270
007552113,2025,07,1.03.01.02.001,0
007552117,2025,05,1.03.01.02.999,39203
007559826,2025,05,1.01.02.01.001,0
007560013,2025,10,1.03.02.13.002,0
007551968,2025,02,1.03.01.05.999,300715
007552122,2025,10,1.03.02.11.002,0
007553323,2025,06,1.01.02.01.001,667647
007552349,2025,09,1.03.02.07.004,0
007553469,2025,09,1.03.02.09.011,0
007553640,2025,04,1.02.01.99.999,20000
007553830,2025,05,1.03.02.16.002,0
007552215,2025,09,1.03.02.17.002,0
007562386,2025,06,1.03.02.02.999,0
007554377,2025,10,1.03.01.02.011,0
007554402,2025,02,1.03.02.16.002,11445
007551632,2025,06,1.03.02.02.999,10000
007552470,2025,04,0.00.00.99.999,0
007552988,2025,11,7.01.99.03.001,0
007553107,2025,12,7.01.99.03.001,0
007553177,2025,10,1.03.02.16.002,1067
007552743,2025,11,2.02.01.07.003,0
007553929,2025,11,1.02.01.01.001,84432
007554561,2025,08,1.03.01.02.001,0
007553285,2025,08,1.03.02.02.999,0
000702315,2025,03,1.03.01.02.001,4144
000702315,2025,11,1.03.02.01.008,62500
000719730,2025,01,0.00.00.99.999,0
000719730,2025,04,1.03.02.11.999,4460286
000715634,2025,11,1.03.02.09.008,499000
000724236,2025,12,1.01.02.01.001,161306
000725065,2025,04,1.03.02.09.003,7480
012516258,2025,12,1.03.01.02.012,0
012515111,2025,07,1.03.02.07.999,0
012515111,2025,08,2.02.01.07.999,0
012508468,2025,10,2.02.01.05.001,0
012508857,2025,05,1.03.02.11.999,1055887
012509147,2025,09,1.03.02.07.006,0
012515504,2025,03,1.03.02.15.999,11024292
012504976,2025,11,1.09.99.04.001,9500
012504976,2025,03,7.01.99.03.001,0
012511814,2025,05,1.03.01.01.001,0
012516766,2025,01,7.01.99.03.001,30000
012516766,2025,11,7.01.99.99.999,11500
012515700,2025,12,1.03.01.02.006,0
012515700,2025,11,1.03.02.07.004,3520
012517321,2025,09,1.03.02.16.002,1067
012516369,2025,11,0.00.00.99.999,0
012508531,2025,07,1.01.01.01.002,0
012508857,2025,11,1.03.02.15.999,610758
012509078,2025,07,1.02.01.01.001,8985
012519739,2025,09,2.02.03.02.002,0
012516268,2025,12,1.03.02.01.008,0
012509719,2025,03,1.04.02.03.001,23000
012511717,2025,10,1.03.02.13.003,0
012511717,2025,09,1.03.02.99.999,0
012522919,2025,11,1.03.02.13.001,21120
012515111,2025,09,1.03.01.02.008,0
012517564,2025,02,1.03.01.02.001,541751
012569231,2025,07,1.03.01.01.001,0
012574453,2025,06,1.03.01.02.007,114185
012539349,2025,12,1.03.01.02.001,0
012548490,2025,12,1.10.04.01.003,0
012748747,2025,04,1.03.02.15.999,786212
012538844,2025,12,2.02.01.04.002,0
012539058,2025,03,1.03.01.01.002,19000
012574453,2025,08,1.03.02.07.006,0
012539472,2025,08,1.09.99.02.001,0
012539220,2025,09,1.03.02.11.999,157500
012539472,2025,12,2.02.01.07.003,0
012540193,2025,09,1.03.02.10.001,0
012748747,2025,08,1.03.02.11.999,371068
012541490,2025,03,1.03.02.11.999,2001712
012541629,2025,08,1.03.01.02.006,3959
012547092,2025,07,2.02.01.05.001,81165
012539349,2025,06,1.03.01.02.006,0
012556764,2025,02,1.03.01.01.001,0
012539557,2025,10,1.01.02.01.001,0
012594739,2025,09,1.10.04.01.003,0
012537807,2025,09,1.04.02.03.001,0
015749590,2025,01,1.02.01.02.001,1900
015459845,2025,03,1.03.02.17.002,500
012558894,2025,12,1.03.02.16.002,1220
016368801,2025,12,1.03.02.02.999,0
012516584,2025,07,1.01.02.01.001,81057
012530788,2025,04,1.03.02.13.999,318231
012530788,2025,07,1.03.02.19.001,0
012530792,2025,08,1.03.01.02.001,0
012531145,2025,12,1.10.04.01.003,0
012530146,2025,06,1.03.01.02.012,0
012530168,2025,03,1.09.99.04.001,0
012530754,2025,03,1.03.02.17.002,0
012530788,2025,01,1.03.01.05.999,379202
012521493,2025,04,1.03.01.02.001,0
012529988,2025,09,1.03.01.02.001,0
012530137,2025,08,1.03.02.11.999,0
012530754,2025,05,1.03.02.09.006,0
012530754,2025,03,7.01.99.03.001,0
