codice_ente,anno,mese,codice_gestionale,importo_centesimi
019172868,2021,04,1.03.01.02.999,19011
011138356,2021,07,1.03.02.11.999,236028
015736489,2021,03,1.03.01.02.999,50096
019072941,2021,05,1.03.02.14.999,201027
007514598,2021,07,0.00.00.99.999,0
018941110,2021,09,1.03.02.04.004,23400
018973496,2021,01,1.03.01.02.999,15135
018911760,2021,04,1.03.01.05.999,38113
012530754,2021,11,1.04.02.05.999,276498
019015206,2021,12,1.03.02.09.005,7660
028834708,2021,09,1.10.03.01.001,31460
000709369,2021,01,1.09.03.01.001,1583600
007554791,2021,05,1.03.02.07.999,2928
007563110,2021,07,0.00.00.99.999,0
019172874,2021,05,0.00.00.99.999,0
023204241,2021,01,7.01.01.02.001,633806
012530754,2021,09,1.03.01.05.999,21244
019172867,2021,08,1.03.02.10.001,244363
019072955,2021,12,1.03.01.05.999,60220
026345691,2021,10,1.01.01.01.002,1362000
007554900,2021,08,1.03.02.10.001,64050
012541490,2021,08,1.03.02.05.006,20034
017384804,2021,10,1.03.02.17.002,1150
007554838,2021,05,1.03.01.05.001,14980
015736032,2021,10,1.03.02.99.999,646000
017384804,2021,11,2.02.01.03.999,246342
019124207,2021,10,1.03.01.05.999,26250
032991391,2021,12,1.03.01.02.999,76455
023204241,2021,03,1.03.02.99.999,127830
018973498,2021,04,1.03.02.11.999,2164558
023392442,2021,05,1.03.02.10.001,144500
012530754,2021,02,1.03.02.05.001,87544
018941099,2021,09,1.03.02.09.006,3776
019124207,2021,05,1.03.02.05.999,828116
019035085,2021,07,1.03.02.14.002,19369
019076394,2021,01,7.01.99.99.999,22300
012541490,2021,02,1.03.01.02.999,139669
019076394,2021,03,0.00.00.99.999,0
015735784,2021,11,1.03.01.05.999,19207
015736489,2021,05,7.01.01.02.001,48948
007553443,2021,10,1.03.02.17.002,200
012541491,2021,05,1.03.01.02.999,110013
015736032,2021,09,1.03.02.14.999,114615
018520029,2021,05,1.03.02.05.006,1576793
007554900,2021,10,1.03.01.05.999,257938
015736032,2021,04,7.01.03.01.001,19700
018911761,2021,09,1.03.02.05.001,94295
018911760,2021,08,1.03.02.05.999,4880
023392442,2021,01,1.03.02.13.001,7076
019172872,2021,08,7.01.99.99.999,1268750
012530754,2021,12,1.03.02.13.001,112240
023392442,2021,02,1.03.02.10.001,3281993
015749590,2021,12,1.03.02.14.999,118216
007514598,2021,03,1.03.02.11.999,5470411
028841383,2021,07,1.03.02.05.006,91265
017384804,2021,08,1.03.02.09.006,1462
018941099,2021,03,1.03.01.02.001,171518
018911760,2021,12,1.03.02.02.999,800
019124213,2021,06,1.03.02.07.006,66612
007576222,2021,02,1.02.01.06.001,512916
011138356,2021,09,1.03.02.05.005,133060
007563110,2021,05,1.09.99.04.001,17650
007544234,2021,04,1.03.02.14.999,274837
018911760,2021,05,1.03.02.99.999,7800
018941099,2021,02,1.03.02.19.005,6100
012512466,2021,10,1.03.01.02.008,269960
015736032,2021,09,1.03.01.02.999,125681
019076390,2021,08,7.01.01.02.001,107263
007554791,2021,03,1.03.02.04.999,80000
