codice_ente,anno,mese,codice_gestionale,importo_centesimi
007545828,2023,12,1.03.02.02.001,9717953
019135813,2023,12,1.03.01.01.001,67704
026328688,2023,04,1.03.02.11.999,1004000
012547556,2023,12,1.03.02.11.002,1022656
007554699,2023,11,1.03.02.07.999,0
012505949,2023,12,1.03.02.05.999,8297
012506104,2023,11,1.03.02.04.004,0
012512293,2023,07,1.02.01.01.001,0
012515682,2023,07,1.03.02.11.002,0
012515504,2023,11,1.03.01.02.006,33182
012530754,2023,08,7.01.99.03.001,0
029401728,2023,11,1.03.01.02.001,4389
028840971,2023,10,1.01.01.01.002,0
019047613,2023,11,1.03.02.01.002,0
012530754,2023,10,1.10.04.01.999,0
007571733,2023,08,2.02.03.99.001,0
029401728,2023,12,1.03.02.02.001,0
012505287,2023,09,2.02.01.03.003,0
023392442,2023,07,1.03.02.05.001,0
007561811,2023,08,1.03.02.10.002,0
011137987,2023,02,1.03.02.99.999,1769055
019124213,2023,12,1.03.02.99.999,691200
015736032,2023,06,0.00.00.99.999,0
015736221,2023,05,1.03.02.14.002,1866249
019165468,2023,12,0.00.00.99.999,0
018520029,2023,01,1.10.03.01.001,262650
019035085,2023,09,1.03.02.14.999,0
018913998,2023,10,7.01.01.02.001,10850
019072945,2023,12,0.00.00.99.999,0
018941110,2023,06,1.03.02.14.999,171064
018973497,2023,05,1.03.02.19.004,0
018973497,2023,06,7.01.01.02.001,342485
007516557,2023,04,1.03.01.02.012,0
029936404,2023,04,1.03.01.02.999,7858
029958887,2023,10,1.03.02.02.005,0
011138356,2023,01,1.03.01.01.001,4000
007514353,2023,03,2.02.01.07.999,40504
028841448,2023,11,1.03.01.02.001,29500
019133198,2023,02,1.03.01.02.001,0
011100688,2023,11,1.03.02.11.999,67800
019076394,2023,11,7.01.03.01.001,0
028834652,2023,12,1.03.02.16.999,0
015749590,2023,12,7.01.03.02.001,0
018973756,2023,04,1.03.02.04.999,0
018990409,2023,09,1.03.01.02.006,0
019172864,2023,06,1.03.02.19.001,0
018973752,2023,03,7.01.01.02.001,689735
019076390,2023,04,1.03.02.07.002,0
019035085,2023,07,1.03.02.99.999,856700
019052729,2023,12,2.02.01.07.005,0
007564937,2023,12,1.03.02.99.999,43024
028841337,2023,10,1.03.02.10.002,50205
012505949,2023,06,1.03.02.02.001,360309
019072941,2023,11,2.02.01.07.999,184220
026345691,2023,07,1.03.02.99.999,149250
025242329,2023,12,7.01.99.03.001,0
026115764,2023,12,2.02.01.03.001,3799
019012837,2023,11,1.03.01.05.999,0
012519666,2023,10,1.03.02.99.999,0
012512466,2023,06,1.03.02.09.008,0
012530137,2023,10,1.03.02.05.999,16200
019138144,2023,07,1.03.01.02.001,0
018911763,2023,06,1.03.02.19.001,0
019135813,2023,12,1.03.02.01.002,45497
019012837,2023,10,1.01.01.02.001,0
019015206,2023,05,1.03.01.05.001,0
019172867,2023,05,1.03.01.01.001,7000
007571733,2023,03,0.00.00.99.999,0
010736473,2023,06,1.03.02.17.002,7500
019012837,2023,07,1.03.02.07.006,0
019172867,2023,07,1.03.02.11.002,96000
019172867,2023,04,1.03.02.04.999,0
023392162,2023,12,1.03.02.11.002,0
007561811,2023,02,1.03.01.01.002,13916
018973497,2023,05,1.03.01.05.999,0
018911763,2023,04,1.03.02.02.999,0
007513111,2023,11,1.03.02.10.001,0
019076390,2023,09,1.03.02.11.002,0
019138134,2023,08,1.03.02.17.002,0
028841336,2023,12,1.03.01.02.007,0
018941112,2023,06,1.03.01.02.001,0
007555901,2023,11,7.01.03.01.001,25548
012547556,2023,11,2.02.01.03.003,5755017
018990409,2023,11,1.03.02.07.002,852136
007513121,2023,03,1.09.99.01.001,1802000
007554900,2023,03,1.03.02.11.999,2358940
019178119,2023,04,2.02.01.05.999,0
019172864,2023,03,1.03.02.17.999,0
019139656,2023,08,1.03.01.02.001,138240
019165468,2023,12,1.03.01.02.005,0
019174761,2023,12,1.01.02.01.001,155303
019174908,2023,01,1.03.02.09.005,177996
019165468,2023,11,1.03.02.17.002,100000
018520029,2023,06,1.03.01.02.001,607700
019000150,2023,12,1.02.01.01.001,0
007544234,2023,05,7.01.99.03.001,0
007549252,2023,08,1.03.02.07.006,0
011303762,2023,05,7.02.99.99.999,0
020925866,2023,10,2.02.01.05.001,171988
019035048,2023,12,1.03.02.16.002,6350
030546933,2023,03,0.00.00.99.999,0
007545092,2023,12,1.09.99.02.001,0
019172864,2023,09,1.03.02.19.003,0
007551231,2023,03,1.09.99.02.001,0
007547270,2023,03,1.03.02.15.999,12276183
028841195,2023,11,1.03.02.09.011,15500
018911761,2023,02,1.03.01.02.001,1398
007545092,2023,10,1.01.01.01.004,0
019076390,2023,06,1.02.01.01.001,0
018992366,2023,06,1.03.01.02.008,0
030862963,2023,09,1.02.01.01.001,0
025242329,2023,11,1.10.04.01.999,0
019072944,2023,12,2.02.01.04.001,0
007576222,2023,04,1.03.02.09.012,0
011100688,2023,09,1.01.01.01.002,0
019072955,2023,06,1.03.02.17.002,0
007553443,2023,06,1.03.02.05.002,0
019111896,2023,02,1.03.01.02.009,0
018911760,2023,01,1.03.02.05.001,47068
007511820,2023,07,1.03.02.07.002,13818
018973496,2023,03,1.03.02.05.005,117445
019076394,2023,08,1.03.01.01.001,0
018941110,2023,12,1.03.01.02.006,0
019172867,2023,08,7.01.03.01.001,0
007549214,2023,07,2.02.01.03.003,0
019052729,2023,06,1.03.02.11.002,0
019133198,2023,12,1.03.02.09.008,0
028838416,2023,08,1.03.02.15.999,0
019133198,2023,10,1.03.02.07.008,35654
019016167,2023,05,1.03.02.07.002,149800
028840971,2023,10,1.10.04.01.003,1150
012520070,2023,11,1.03.02.05.002,0
000709369,2023,08,1.04.02.05.999,0
018973497,2023,02,1.03.02.10.001,180000
023392442,2023,01,1.03.02.05.004,407967
015736221,2023,07,1.03.02.09.006,188312
027479645,2023,12,1.03.02.07.008,44694
007554968,2023,07,1.03.02.11.999,139896
018973496,2023,05,1.03.02.04.999,0
020925866,2023,08,1.03.02.05.005,0
019139707,2023,06,1.03.02.07.008,118683
007571285,2023,12,1.03.01.02.999,392682
018941110,2023,07,1.03.01.02.999,0
007553107,2023,08,7.01.99.03.001,0
007545836,2023,03,2.02.01.04.001,0
012506104,2023,09,1.03.01.02.999,0
019124207,2023,03,1.10.04.01.003,0
012515504,2023,12,1.03.02.09.003,41900
012539724,2023,11,1.03.01.05.999,549259
012541490,2023,11,1.03.02.16.999,0
018520029,2023,10,1.03.02.07.006,0
018990409,2023,03,1.03.02.17.002,0
019035085,2023,11,0.00.00.99.999,0
019048038,2023,03,1.03.02.18.999,0
019111896,2023,12,0.00.00.99.999,0
026331028,2023,11,1.03.02.05.001,3520
029534612,2023,11,1.03.01.05.999,78951
029401728,2023,11,2.02.01.07.999,9439
030862963,2023,05,1.03.01.02.001,21058
019193014,2023,09,1.03.01.02.006,0
018940814,2023,12,1.01.01.01.002,47017
007554984,2023,05,1.03.02.11.002,0
007561811,2023,11,2.02.01.04.001,0
018973498,2023,06,1.03.02.09.005,0
012516594,2023,06,1.03.01.02.001,706
019072955,2023,10,7.01.99.01.001,0
019076390,2023,10,1.03.01.02.999,11855
015459845,2023,12,1.03.02.11.002,200000
018941108,2023,10,1.03.02.07.999,358080
015736489,2023,04,1.03.02.99.999,448542
018520029,2023,02,1.10.99.99.999,4518
018990409,2023,10,1.03.02.07.999,0
018992366,2023,05,1.03.02.07.006,62075
018911763,2023,03,1.03.02.19.005,0
018941099,2023,07,1.03.01.01.001,0
028841195,2023,11,1.03.02.16.002,0
019172868,2023,03,1.03.02.14.999,0
007554984,2023,09,1.03.01.05.999,0
007554791,2023,05,1.03.02.05.001,0
007553433,2023,10,1.02.01.02.001,0
018501988,2023,03,1.09.99.04.001,19220
019133198,2023,03,1.03.02.05.001,6190
019012837,2023,07,1.03.02.11.999,228384
018941099,2023,04,1.03.02.10.001,658200
018941099,2023,06,1.03.02.19.011,118706
019016167,2023,09,1.03.01.05.999,0
017384804,2023,08,7.01.01.02.001,25046
018973496,2023,05,1.03.02.05.005,121470
018520029,2023,11,1.02.01.01.001,11900
018572849,2023,12,1.03.02.02.999,0
018501988,2023,06,1.03.01.02.007,0
019035048,2023,09,1.03.01.02.999,0
018929441,2023,08,1.10.04.01.001,103800
