codice_ente,anno,mese,codice_gestionale,importo_centesimi
023392442,2020,10,7.01.03.01.001,2869
019035085,2020,11,1.03.02.11.002,2184894
019172868,2020,12,7.01.01.02.001,654857
018941099,2020,12,1.02.01.01.001,9775
007553443,2020,12,1.03.01.05.999,319272
011137987,2020,11,1.03.01.02.999,778237
019172867,2020,10,1.02.01.01.001,14535
018941112,2020,10,0.00.00.99.999,0
007544234,2020,10,1.03.02.13.999,520940
007555901,2020,07,1.03.02.05.004,70971
018520029,2020,08,1.03.02.16.999,9596
019035085,2020,11,1.03.02.14.002,132557
019124213,2020,11,1.03.02.02.001,1134
023392442,2020,12,1.03.02.05.004,281478
028841383,2020,11,7.01.01.02.001,615489
007544234,2020,10,1.03.02.05.001,122849
000709369,2020,09,1.03.01.02.001,57096
019076394,2020,07,1.03.02.05.999,74546
018973756,2020,11,0.00.00.99.999,0
012530788,2020,09,1.03.02.07.002,821644
019076390,2020,09,1.03.02.05.001,13953
000709369,2020,08,1.03.01.05.999,632370
018990409,2020,12,1.03.01.02.999,27499
007514353,2020,10,1.03.01.02.006,22808
018941112,2020,08,2.02.03.99.001,1049963
019028636,2020,08,1.03.02.16.999,8290
007553433,2020,09,1.03.01.05.999,48873
019076394,2020,07,1.04.01.02.999,43400
023204241,2020,11,7.01.01.02.001,210300
019015206,2020,08,0.00.00.99.999,0
018973496,2020,08,7.01.01.99.999,3338532
007576222,2020,07,1.10.99.99.999,17080
019138134,2020,12,7.01.03.01.001,11100
015736032,2020,10,1.03.02.19.001,35380
018520029,2020,09,1.03.01.05.999,9862
007554791,2020,08,1.03.02.05.004,82594
018973496,2020,11,1.03.02.05.006,127124
028841383,2020,12,7.01.03.02.001,14176
018941099,2020,12,1.03.01.05.999,502441
018990403,2020,08,1.03.02.17.002,5200
019076394,2020,10,1.03.02.09.003,16470
007563110,2020,12,1.03.02.13.999,537936
011138356,2020,07,1.03.01.02.999,182878
019072945,2020,11,1.03.01.02.005,84546
011137987,2020,12,1.03.02.05.005,58464
007514353,2020,12,7.02.99.99.999,28500
011303762,2020,11,1.03.02.09.004,9699
019172864,2020,12,1.03.02.99.999,215100
012541491,2020,12,7.01.03.01.001,28178
011138356,2020,11,1.03.02.05.005,1621126
019174908,2020,11,1.03.01.02.999,1594682
007563110,2020,12,1.03.02.16.002,5075
007553443,2020,10,1.03.01.02.006,5490
018973756,2020,10,1.03.01.05.999,931712
007554900,2020,09,0.00.00.99.999,0
015736221,2020,11,7.01.01.02.001,114370
007514353,2020,09,1.03.01.02.999,111213
012530788,2020,12,1.03.02.09.004,298900
018990409,2020,09,1.03.02.99.999,10000
018973497,2020,07,1.02.01.01.001,14280
017384804,2020,07,1.03.02.09.006,967
019072955,2020,08,1.03.01.02.004,14735
000717661,2020,10,1.03.02.13.001,315167
019174910,2020,10,1.03.02.04.999,126100
012541490,2020,08,1.03.02.11.999,864749
010736473,2020,10,7.01.01.02.001,646729
019174908,2020,12,1.03.02.11.999,2651220
007554791,2020,12,1.03.01.01.001,35900
018911760,2020,12,1.03.02.16.002,10280
019138144,2020,12,2.02.03.99.001,7320
010736473,2020,12,7.01.99.03.001,64326
007554699,2020,08,1.03.01.02.006,37916
018973496,2020,07,1.04.02.05.999,253950
018941099,2020,08,0.00.00.99.999,0
012530754,2020,09,1.03.02.09.012,1830
019174910,2020,10,7.01.03.01.001,33800
019124207,2020,12,1.03.02.07.006,236643
018990409,2020,07,1.03.02.99.999,169026
018990409,2020,09,1.03.02.02.002,19980
000709369,2020,10,0.00.00.99.999,0
019072955,2020,11,1.09.99.04.001,9400
015735784,2020,10,1.03.02.05.001,132247
019028636,2020,10,2.02.03.99.001,16800
023392442,2020,12,1.09.99.04.001,108590
000709369,2020,11,1.03.01.02.006,157380
019076390,2020,10,1.03.02.16.999,4640
011303762,2020,11,1.03.01.02.001,47507
018941099,2020,12,1.03.02.16.999,990
007554791,2020,12,1.03.02.02.001,924
019172868,2020,12,2.02.01.07.999,121878
019076394,2020,10,1.03.02.13.003,341600
020925866,2020,09,1.03.02.13.001,134322
018973497,2020,12,0.00.00.99.999,0
017384804,2020,09,1.03.02.09.006,1688
000709369,2020,12,1.03.02.02.004,193766
012541490,2020,07,1.03.02.05.006,132546
018941110,2020,07,1.03.01.05.999,20063
007576222,2020,10,1.03.02.11.999,397373
028841383,2020,12,2.02.03.99.001,41979
007555901,2020,11,1.02.01.10.001,73920
019072955,2020,12,1.03.02.01.002,26455
019138144,2020,12,1.03.02.10.001,170800
012530754,2020,08,1.03.02.05.001,48054
007563110,2020,10,1.03.02.10.001,134200
007514353,2020,09,1.03.02.05.005,221612
007553433,2020,09,1.09.99.04.001,156030
019172864,2020,12,2.02.01.06.001,9714
007514598,2020,09,1.03.01.02.001,79056
015735784,2020,11,1.03.01.02.999,607956
010736473,2020,09,1.03.02.19.010,146400
019015206,2020,12,1.04.02.05.999,136350
011137987,2020,10,1.03.02.09.006,38880
019178119,2020,08,1.03.02.05.002,2440
018520029,2020,09,1.03.02.09.003,96380
007553443,2020,09,1.03.02.13.999,409023
017384804,2020,09,1.03.02.10.001,76000
007553433,2020,08,1.03.02.10.002,70740
012530754,2020,10,1.03.02.05.999,3960
018973497,2020,12,1.03.02.13.002,61000
015736032,2020,07,1.03.02.99.999,252880
023392442,2020,12,1.03.02.02.004,140000
007576222,2020,07,1.03.02.99.999,59700
011138356,2020,10,1.03.02.17.002,6600
018973756,2020,12,0.00.00.99.999,0
019172864,2020,10,2.02.01.05.999,14640
007554838,2020,10,1.03.01.02.005,17254
018941108,2020,10,1.03.02.05.001,219600
007553443,2020,11,1.03.02.11.999,121528
018990409,2020,07,1.03.01.05.999,20650
012530788,2020,07,0.00.00.99.999,0
007553433,2020,08,1.03.02.05.999,102478
015736221,2020,12,1.04.01.02.999,21315
019124207,2020,07,1.03.02.07.004,121768
019015206,2020,08,7.01.01.02.001,166257
018941099,2020,12,0.00.00.99.999,0
007544234,2020,12,1.03.02.13.999,520940
019015206,2020,08,1.03.02.07.999,17919
012541491,2020,09,1.03.01.05.999,479882
023392442,2020,12,1.10.04.01.001,125500
007554838,2020,10,1.03.02.05.006,2284
018973497,2020,09,1.03.01.02.001,40016
012530788,2020,12,0.00.00.99.999,0
015735784,2020,12,1.03.02.09.005,2000
011303762,2020,12,1.03.02.11.999,64200
032991391,2020,11,1.03.02.10.001,200000
019047613,2020,10,1.03.02.04.999,80001
015735784,2020,08,1.03.02.10.001,109800
019172864,2020,10,1.03.01.02.999,2008502
007554699,2020,08,1.03.02.05.001,407521
019172868,2020,12,1.03.02.99.999,10000
018913998,2020,09,2.02.01.04.001,137000
018973497,2020,10,1.03.02.10.001,37327
018973498,2020,12,7.01.99.99.999,3265
019035085,2020,12,1.03.01.02.001,104064
011303762,2020,12,1.03.01.02.999,92680
011138356,2020,10,2.02.01.03.999,4843621
018973752,2020,12,1.03.01.01.001,19898
000709369,2020,08,1.03.02.07.008,152251
019028636,2020,08,0.00.00.99.999,0
019172874,2020,11,7.01.99.99.999,38000
011303762,2020,10,2.02.01.07.999,866200
018941099,2020,11,7.01.01.02.001,948345
018911761,2020,07,1.03.01.02.999,24193
019072945,2020,12,1.03.01.02.006,48678
018941112,2020,12,1.03.02.01.002,4305
011138356,2020,12,2.02.01.07.999,5998234
007563110,2020,09,1.03.02.07.006,60390
019047613,2020,09,1.03.02.07.006,39520
019028636,2020,07,1.03.02.10.001,67100
018990409,2020,11,1.03.01.02.006,40626
018911761,2020,11,0.00.00.99.999,0
019172874,2020,10,2.02.01.07.999,974170
019028636,2020,11,2.02.01.07.999,534964
023204241,2020,12,1.03.02.16.002,550
007563110,2020,09,1.03.02.16.002,6035
019172864,2020,12,7.01.03.01.001,79463
019172874,2020,12,0.00.00.99.999,0
018520029,2020,07,1.03.02.17.999,3400
019178119,2020,11,1.03.02.02.999,17460
019172864,2020,10,1.03.02.09.004,206136
023204241,2020,09,1.03.02.13.002,828112
018973497,2020,12,7.01.01.02.001,363404
018520029,2020,12,2.02.03.99.001,641743
011137987,2020,09,1.03.02.07.999,290360
028841383,2020,07,1.03.01.02.999,32818
019111896,2020,12,1.03.01.02.999,1273669
