codice_ente,anno,mese,codice_gestionale,importo_centesimi
032991390,2022,11,1.03.01.02.004,0
019072944,2022,04,1.03.01.01.001,8000
018520029,2022,04,1.03.02.10.001,42000
015735784,2022,07,1.03.01.02.004,0
019124207,2022,07,1.03.02.99.999,0
007543819,2022,10,1.01.01.01.004,109136
007554699,2022,11,1.03.02.17.002,0
019076390,2022,04,1.03.02.11.002,0
019174908,2022,02,7.01.01.02.001,0
019072945,2022,10,1.03.02.07.008,0
012541490,2022,08,1.03.02.07.002,565000
015735784,2022,12,1.03.02.14.999,543672
018990403,2022,12,2.02.01.07.003,531066
007563110,2022,11,1.03.02.09.005,0
017384804,2022,12,7.01.99.03.001,0
018520029,2022,09,1.03.02.05.999,0
019174910,2022,12,7.01.01.02.001,289558
007554900,2022,03,2.02.01.07.999,0
017384804,2022,11,1.03.02.04.999,0
007555901,2022,10,1.02.01.06.001,0
015736221,2022,10,1.02.01.01.001,0
007544234,2022,03,7.01.03.02.001,0
019072941,2022,07,1.04.01.02.999,0
018940817,2022,10,1.03.02.05.999,0
007553433,2022,03,7.01.99.03.001,0
019172868,2022,03,1.03.02.14.999,193226
018941108,2022,12,1.03.02.17.002,0
018911763,2022,03,1.09.99.04.001,0
019111896,2022,07,7.01.99.99.999,10000
019015206,2022,07,1.03.02.04.999,0
018911763,2022,04,1.03.02.17.002,0
007554791,2022,11,2.02.01.04.001,0
019028636,2022,06,2.02.01.07.999,0
018941099,2022,10,1.03.02.17.002,1800
018990403,2022,02,1.03.02.14.002,403854
007514598,2022,09,1.03.01.05.999,0
017384804,2022,06,1.03.02.01.002,0
019172872,2022,09,1.03.02.17.002,0
019172868,2022,12,1.10.05.01.001,1875
019076390,2022,09,1.03.02.05.001,13420
018973752,2022,10,1.03.02.07.008,24400
007514353,2022,12,7.02.01.02.001,0
023204241,2022,09,1.03.02.13.999,0
015736221,2022,04,1.03.02.07.006,0
007553107,2022,09,1.03.02.04.999,210000
019138134,2022,07,1.03.02.09.005,0
018973498,2022,11,7.02.01.01.001,0
018990403,2022,12,1.03.02.05.999,0
000717661,2022,10,7.01.03.01.001,0
007554791,2022,08,1.03.02.02.001,31691
018973500,2022,06,1.03.02.14.002,264036
018940817,2022,12,1.03.01.02.999,142064
019111896,2022,09,1.03.02.11.999,575280
012506020,2022,12,2.02.01.99.002,0
015736221,2022,12,1.03.02.17.999,0
017384804,2022,07,1.03.02.07.002,0
015749590,2022,08,1.10.05.01.001,0
015736221,2022,12,1.03.02.05.999,0
017384804,2022,09,1.03.01.05.999,0
023204241,2022,05,1.02.01.06.001,708901
023204241,2022,07,1.03.02.02.002,0
019111896,2022,06,1.02.01.99.999,0
019138134,2022,12,1.03.02.02.002,44548
019178119,2022,10,1.03.02.07.999,225830
020925866,2022,02,1.03.01.01.001,11000
026345691,2022,08,1.10.03.01.001,40536
007514353,2022,08,1.03.02.07.002,87591
012512466,2022,06,1.03.01.02.006,0
015736032,2022,02,1.03.02.13.999,0
011303762,2022,06,1.03.02.04.999,0
011137987,2022,07,1.03.02.11.002,0
019072945,2022,08,7.02.01.01.001,0
015749590,2022,06,1.03.02.09.011,49000
018520029,2022,11,1.03.01.05.003,0
018520029,2022,12,1.03.02.09.003,0
030571282,2022,08,1.03.02.05.001,278909
019012837,2022,11,1.09.99.01.001,122
011303762,2022,03,7.01.01.02.001,338798
012512466,2022,12,2.02.01.07.999,0
012541491,2022,11,1.03.02.14.999,89412
012541490,2022,07,1.03.02.11.002,286212
015736221,2022,04,1.03.01.05.001,0
012506020,2022,11,1.01.02.01.999,0
012541491,2022,12,1.03.02.99.999,169780
015736032,2022,03,1.03.02.05.001,0
015736032,2022,04,1.03.01.02.006,0
011138356,2022,04,2.02.01.03.999,0
007554791,2022,03,1.03.02.13.002,0
012541491,2022,02,1.09.99.04.001,89230
007554791,2022,05,1.03.02.13.001,13420
011303762,2022,07,1.02.01.01.001,0
011303762,2022,06,1.03.02.99.999,2852978
019172867,2022,09,1.03.02.05.001,112290
015736221,2022,07,1.03.02.09.004,0
015736032,2022,09,1.04.01.02.999,175000
017384804,2022,09,1.03.02.07.002,59400
017384804,2022,07,1.03.02.13.999,0
015749590,2022,11,1.03.02.04.999,0
015736221,2022,10,1.04.02.05.999,0
012541490,2022,02,7.01.03.01.001,0
007554838,2022,10,2.02.01.07.003,1012600
015736032,2022,03,1.03.02.14.999,301840
012530788,2022,10,7.01.99.99.999,0
012530754,2022,11,7.02.04.02.001,0
011303762,2022,04,2.02.01.04.001,0
015735784,2022,02,2.02.01.99.002,633790
018520029,2022,09,7.01.03.01.001,0
015749590,2022,05,1.03.02.17.999,0
007554791,2022,05,1.03.02.07.007,4880
007554838,2022,06,1.03.01.02.999,93407
018911761,2022,02,1.02.01.01.001,0
018911761,2022,09,1.03.01.02.011,0
000717661,2022,03,1.03.02.02.999,0
019172867,2022,04,1.03.02.11.999,1972150
018913998,2022,03,1.03.02.07.999,39600
011303762,2022,05,1.03.02.13.999,54900
012530788,2022,06,7.02.99.99.999,0
019015206,2022,04,1.03.02.11.999,459333
018911761,2022,04,0.00.00.99.999,0
017384804,2022,10,1.03.02.09.006,0
017384804,2022,12,7.01.01.02.001,53362
018911763,2022,10,1.03.02.07.002,190000
018941099,2022,12,1.03.02.05.999,0
018941112,2022,11,1.03.02.14.999,0
018992366,2022,06,1.03.02.09.004,11629
019172867,2022,10,1.03.01.02.004,0
019111896,2022,08,1.02.01.99.999,0
019124207,2022,07,1.03.02.19.001,0
019172872,2022,12,1.03.02.19.010,0
018973752,2022,04,1.03.01.05.999,73200
019174908,2022,12,7.01.03.02.001,0
019174909,2022,06,2.02.01.07.999,0
018990409,2022,10,1.03.02.16.002,0
018992366,2022,08,1.03.02.09.004,95662
019178119,2022,04,7.02.01.01.001,0
012512466,2022,03,1.09.99.01.001,15465
012541490,2022,12,1.03.02.11.999,3638732
011137987,2022,07,1.03.02.07.002,53900
011137987,2022,03,1.03.02.10.002,25600
015749590,2022,06,1.03.02.99.999,904676
012541490,2022,07,1.03.02.02.001,225000
012530788,2022,06,7.01.03.01.001,60000
012530754,2022,04,1.03.01.05.999,76972
012530788,2022,05,1.03.02.17.002,0
019172867,2022,02,7.01.03.01.001,11200
015736221,2022,09,1.03.02.13.999,0
015736221,2022,01,7.01.03.01.001,42736
018911763,2022,06,2.02.01.07.999,0
018911761,2022,09,0.00.00.99.999,0
018913998,2022,11,7.01.03.02.001,0
018940817,2022,09,7.01.99.03.001,0
018990409,2022,12,1.03.01.02.001,100307
019015206,2022,05,0.00.00.99.999,0
019028636,2022,03,1.03.02.10.001,0
018911761,2022,12,2.02.01.04.002,323300
019174908,2022,01,0.00.00.99.999,0
019076390,2022,12,1.03.01.05.001,1514
012530788,2022,10,1.03.01.05.006,0
012530788,2022,08,1.03.02.05.001,0
012530788,2022,01,1.03.02.05.005,58170
012530788,2022,11,1.09.99.04.001,0
015736032,2022,12,1.03.02.19.010,0
019052729,2022,09,1.03.02.05.001,10084
015736032,2022,04,1.03.02.07.999,0
015749590,2022,08,1.03.02.09.011,0
015736221,2022,08,1.03.01.02.999,0
015736489,2022,12,7.01.99.03.001,0
019172874,2022,02,1.02.01.01.001,0
019174910,2022,09,1.03.02.19.009,0
019072955,2022,06,1.03.02.07.006,0
019172872,2022,11,1.02.01.99.999,0
012530754,2022,04,1.03.02.17.002,0
012530788,2022,03,2.02.01.07.004,0
019138134,2022,10,1.03.02.99.999,100800
011137987,2022,09,1.03.02.07.006,327570
018911760,2022,10,1.03.02.14.999,225030
019047613,2022,07,1.02.01.01.001,0
019072941,2022,09,1.03.02.07.006,0
018941108,2022,10,1.03.02.19.001,0
019072955,2022,08,0.00.00.99.999,0
019076390,2022,03,7.01.01.02.001,34075
018973496,2022,07,1.03.02.11.999,1957575
018973496,2022,07,1.03.02.16.002,0
019076394,2022,05,1.03.02.14.999,198713
019076394,2022,11,1.09.99.04.001,333313
018973496,2022,04,1.03.01.05.999,27444
018973756,2022,10,7.01.01.02.001,83490
019133198,2022,08,1.03.02.05.001,0
019171320,2022,12,1.03.01.05.999,941348
019015206,2022,04,1.03.01.02.999,117834
018992366,2022,03,2.02.01.04.001,22950
018990409,2022,09,7.01.01.02.001,17128
019172872,2022,10,1.03.02.09.004,0
018973496,2022,12,1.03.02.13.001,0
018973498,2022,12,1.03.02.04.999,53250
019174909,2022,07,2.02.01.07.999,0
019052729,2022,08,1.03.01.02.012,3835
018992366,2022,11,1.03.02.15.999,223950
019073688,2022,12,1.10.04.01.003,0
019076394,2022,08,7.01.99.99.999,96000
018973752,2022,02,7.01.99.03.001,0
019138144,2022,10,1.03.02.05.999,0
012541491,2022,05,1.02.01.01.001,0
015735784,2022,06,1.03.02.02.999,29120
015735784,2022,08,2.02.01.07.999,357460
015735784,2022,03,7.01.01.02.001,442289
015736221,2022,03,1.03.02.09.004,4514
011138356,2022,08,1.03.01.05.999,0
011138356,2022,08,1.03.02.04.999,0
007552394,2022,09,2.02.01.04.001,890030
032991391,2022,06,1.03.02.07.002,14900
018520029,2022,11,1.03.02.13.001,345666
017384804,2022,10,1.03.02.13.999,0
018941099,2022,06,1.03.02.07.002,240436
011138356,2022,10,1.03.01.01.001,13765
015736032,2022,02,7.01.01.02.001,176189
011303762,2022,03,1.02.01.01.001,3400
018913998,2022,09,1.03.02.05.999,0
019111896,2022,02,1.03.01.02.003,0
019111896,2022,10,1.03.01.02.008,0
017384804,2022,06,1.03.02.19.005,0
018941099,2022,03,1.03.02.14.999,1039939
018941099,2022,10,7.01.01.02.001,220273
018941108,2022,01,1.03.02.05.001,109802
018941099,2022,05,7.01.01.02.001,596612
018941110,2022,10,1.03.02.02.001,24192
018973496,2022,11,1.03.02.02.001,6092
018973496,2022,12,1.03.02.12.999,0
018973756,2022,08,1.03.02.01.002,0
018990403,2022,03,0.00.00.99.999,0
018990403,2022,03,1.03.02.10.001,0
018992366,2022,10,1.03.02.99.999,62800
018911760,2022,07,2.02.01.04.001,0
017384804,2022,02,1.03.02.02.002,28948
019072941,2022,06,2.02.01.07.999,0
018913998,2022,10,1.03.02.02.999,0
019076390,2022,12,1.03.02.10.001,0
019072941,2022,05,1.03.01.02.999,20897
018941099,2022,06,1.03.02.07.008,0
019072955,2022,03,1.03.02.19.001,0
019076394,2022,02,1.03.02.99.999,988000
019076394,2022,04,1.03.02.99.999,3752100
018941108,2022,08,1.09.99.04.001,0
018973756,2022,06,1.03.02.19.005,0
019111896,2022,05,1.03.01.01.001,0
018941110,2022,06,1.03.02.14.999,308565
019124207,2022,12,2.02.01.06.001,0
012506020,2022,12,1.03.02.18.999,142000
018940817,2022,12,1.01.01.01.004,0
018941110,2022,07,1.02.01.01.001,0
018501988,2022,12,1.01.01.01.004,889155
018973497,2022,12,1.03.01.02.014,0
018973496,2022,05,1.03.02.13.999,257524
018990409,2022,08,7.01.01.02.001,307786
018911760,2022,04,1.03.02.17.002,0
019047613,2022,01,1.03.02.10.001,44154
011137987,2022,12,1.03.01.02.008,38240
025242329,2022,04,1.03.01.02.001,0
019076394,2022,04,1.03.02.05.006,2265640
018990409,2022,12,1.03.02.01.002,0
032991391,2022,09,1.03.02.02.001,114863
018911760,2022,06,7.01.03.02.001,0
019139656,2022,11,1.01.01.01.004,135636
000709369,2022,12,1.03.02.07.004,0
007554900,2022,08,1.03.02.05.002,112801
018973497,2022,11,7.01.03.01.001,100238
010736473,2022,11,1.03.01.02.999,366965
007563110,2022,05,1.03.01.05.999,32345
018941108,2022,02,1.03.01.05.999,231068
007514598,2022,02,1.03.02.04.999,0
007514353,2022,07,1.03.02.09.004,0
000709369,2022,06,1.03.02.07.007,0
007544234,2022,05,1.03.02.09.012,0
007544234,2022,04,1.03.02.07.999,48250
007514598,2022,10,1.03.02.10.001,0
007554791,2022,10,2.02.01.03.001,0
007552394,2022,12,1.03.02.07.006,59780
007554791,2022,09,2.02.01.03.999,567300
007563110,2022,03,2.02.01.05.001,549000
007554900,2022,12,1.03.02.10.001,0
000709369,2022,05,1.03.02.13.003,0
007554900,2022,10,0.00.00.99.999,0
007576222,2022,08,7.01.01.02.001,391480
007553433,2022,09,2.02.01.07.999,1894782
007554699,2022,06,1.02.01.06.001,0
007554699,2022,09,2.02.01.07.003,0
007554838,2022,02,7.01.03.01.001,0
026345691,2022,12,1.03.02.09.006,3500
018941112,2022,04,2.02.01.07.999,796172
011303762,2022,12,2.02.01.05.999,38532
023392442,2022,04,1.03.02.13.001,7320
028834708,2022,08,1.03.01.02.001,0
007563110,2022,08,1.03.01.02.009,0
019035085,2022,09,1.03.01.02.001,13664
007514353,2022,09,1.03.02.05.999,1086
019111896,2022,05,2.02.01.07.002,0
007576222,2022,02,1.03.02.02.002,0
007554900,2022,03,7.01.01.02.001,123176
007514598,2022,10,1.03.02.17.002,0
007514353,2022,11,1.03.02.16.002,3519
007514598,2022,04,1.03.02.16.002,0
007514598,2022,06,1.03.01.02.001,55248
019133198,2022,12,1.03.02.17.002,0
007544234,2022,11,1.03.02.07.002,335000
007553433,2022,05,1.03.01.05.999,0
007521212,2022,12,1.03.02.05.999,44353
007553107,2022,11,0.00.00.99.999,0
000717661,2022,08,1.03.02.07.007,0
007514353,2022,01,1.02.01.01.001,16108
019172864,2022,06,1.03.02.99.999,1547925
007554838,2022,04,1.03.02.05.001,122794
007563110,2022,10,1.03.02.17.002,0
007563110,2022,12,1.09.99.04.001,9000
007563110,2022,10,1.03.02.02.001,0
007554791,2022,05,7.01.03.01.001,174255
007563110,2022,04,7.01.03.01.001,0
007555901,2022,05,2.02.01.07.001,3052074
007549252,2022,12,1.03.02.01.002,51368
032991390,2022,03,7.01.03.01.001,123463
019172864,2022,12,1.03.02.09.006,74183
019015206,2022,03,2.02.01.99.001,0
007514353,2022,08,1.03.01.05.999,36380
007514353,2022,05,1.03.02.04.999,25000
018940817,2022,04,1.03.01.05.999,14152
018911761,2022,01,1.03.02.07.008,2804
007514353,2022,05,1.03.01.01.002,0
007544234,2022,06,1.03.02.99.999,341250
019124213,2022,04,1.03.01.05.999,27094
000717661,2022,08,1.03.02.13.999,57336
017384804,2022,11,1.03.01.02.999,1261290
007553443,2022,11,1.03.01.02.008,14030
007544234,2022,04,1.03.02.09.011,92720
007553443,2022,08,0.00.00.99.999,0
007554791,2022,08,7.01.99.99.999,0
007553107,2022,11,1.03.02.05.001,1913
007563110,2022,09,1.03.01.05.999,0
007576222,2022,11,1.03.02.05.006,200692
007563110,2022,07,1.03.01.02.005,0
007554699,2022,07,1.03.01.02.001,0
007554699,2022,12,1.03.02.02.999,108885
007554699,2022,03,1.03.02.16.002,10000
007554791,2022,12,1.10.04.01.003,0
015736032,2022,01,1.03.01.02.004,10000
032991390,2022,12,1.03.02.07.002,38660
018941099,2022,10,7.01.99.03.001,0
007512843,2022,08,1.01.01.01.002,24000
010736473,2022,08,1.03.02.09.005,15689
007514353,2022,10,1.03.01.02.001,2611782
007514598,2022,02,1.03.02.99.999,0
007543819,2022,12,1.03.01.02.006,0
007514598,2022,12,1.03.02.99.999,161280
007553433,2022,09,1.03.02.16.002,2898
007563110,2022,06,1.02.01.01.001,5950
015736032,2022,12,1.03.02.99.999,289400
007554791,2022,07,1.03.01.05.999,215460
012541491,2022,01,1.03.01.02.001,57934
007514353,2022,11,1.03.01.02.007,0
007514353,2022,09,1.03.02.17.002,6200
007514598,2022,02,2.02.01.07.003,0
007514598,2022,09,1.03.02.10.001,0
007552394,2022,10,2.02.01.05.001,59000
007543819,2022,12,1.03.02.07.004,0
007576222,2022,01,7.01.99.99.999,706800
000717661,2022,08,1.03.02.11.002,0
000717661,2022,11,2.02.01.07.999,0
010736473,2022,12,1.10.05.01.001,0
007553443,2022,03,1.03.01.02.004,10248
018973497,2022,04,1.03.01.02.999,0
007554699,2022,05,1.03.02.05.001,0
012530754,2022,05,1.03.02.17.002,0
010736473,2022,06,2.02.03.99.001,7735
026345691,2022,04,1.03.02.04.004,29600
019124213,2022,12,1.03.02.02.001,2330
018973752,2022,04,2.02.01.07.999,24400
019124207,2022,09,1.03.02.19.001,0
012541490,2022,03,1.03.02.05.001,0
007514353,2022,08,1.03.01.02.004,0
019178119,2022,11,1.04.01.02.999,1308033
018940817,2022,05,1.03.01.02.008,5240
007553443,2022,10,1.03.02.19.001,0
032991391,2022,02,1.02.01.01.001,0
019072955,2022,12,1.03.02.11.002,0
012541491,2022,03,1.03.02.17.002,0
018973496,2022,12,1.03.01.05.001,0
007553433,2022,12,1.03.02.09.006,0
018940817,2022,05,1.03.02.10.003,0
019172872,2022,10,1.03.02.17.001,0
018973496,2022,11,1.02.01.02.001,0
011137987,2022,05,7.01.01.02.001,524859
007555901,2022,11,1.03.02.07.008,0
000709369,2022,04,1.03.02.05.006,134526
018973756,2022,10,1.03.02.14.999,174623
018941108,2022,06,1.03.01.02.007,0
019124207,2022,02,1.10.04.01.003,0
018941099,2022,12,2.02.01.05.001,0
028841383,2022,06,1.03.02.05.005,0
023392442,2022,12,1.03.02.05.005,0
012541490,2022,11,7.01.99.99.999,7100
018941108,2022,05,0.00.00.99.999,0
015736489,2022,11,1.03.02.11.002,0
028841383,2022,12,1.03.02.05.005,0
019124213,2022,07,1.03.02.07.002,0
007576222,2022,07,1.03.02.09.006,352255
007554900,2022,03,1.03.02.05.002,0
000709369,2022,10,1.03.01.02.999,36206
019035085,2022,06,1.03.02.09.011,13664
018911760,2022,03,1.03.02.09.010,0
007576222,2022,12,1.03.02.07.999,0
019076394,2022,09,1.02.01.01.001,3910
026345691,2022,06,1.03.01.02.007,351843
023204241,2022,09,7.02.04.01.001,10000
018941108,2022,02,1.02.01.02.001,0
012514711,2022,11,1.03.02.15.999,903755
019076390,2022,04,1.03.01.05.001,0
028841195,2022,11,2.02.01.06.001,24200
