Paesi;Anno;assistenza formale di durata 1-29 ore settimanali;assistenza formale di durata maggiore di 30 ore settimanali;altri tipi di assistenza di durata 1-29 ore settimanali;altri tipi di assistenza di durata maggiore a 30 ore settimanali;bambini accuditi solo dai genitori
Austria;2005;53;16;30;4;21
Austria;2006;55;16;35;2;16
Austria;2007;52;18;32;3;20
Austria;2008;51;20;30;3;19
Austria;2009;58;21;37;4;14
Austria;2010;58;26;37;3;10
Austria;2011;57;28;30;1;11
Belgio;2005;50;48;23;1;2
Belgio;2006;36;62;31;1;1
Belgio;2007;35;65;30;2;n.d
Belgio;2008;25;74;29;0;2
Belgio;2009;30;69;27;0;1
Belgio;2010;36;63;29;2;1
Belgio;2011;32;66;27;1;2
Danimarca;2005;15;79;n.d;0;5
Danimarca;2006;16;80;n.d;n.d;4
Danimarca;2007;15;82;n.d;0;3
Danimarca;2008;13;83;n.d;0;3
Danimarca;2009;12;72;n.d;n.d;16
Danimarca;2010;15;75;n.d;n.d;10
Danimarca;2011;11;87;n.d;n.d;2
Finlandia;2005;25;51;3;2;22
Finlandia;2006;21;56;4;1;21
Finlandia;2007;21;55;5;2;21
Finlandia;2008;20;58;4;1;20
Finlandia;2009;20;57;3;1;20
Finlandia;2010;21;56;1;2;20
Finlandia;2011;20;57;1;1;22
Francia;2005;56;39;25;3;4
Francia;2006;52;42;24;3;5
Francia;2007;51;42;24;3;5
Francia;2008;52;44;22;2;3
Francia;2009;48;47;19;3;4
Francia;2010;47;47;20;3;4
Francia;2011;43;52;23;2;3
Germania;2005;61;26;29;1;10
Germania;2006;64;26;2;1;10
Germania;2007;59;27;20;0;10
Germania;2008;54;36;20;1;8
Germania;2009;48;40;18;1;9
Germania;2010;46;46;15;1;7
Germania;2011;46;44;13;0;8
Grecia;2005;27;34;24;15;21
Grecia;2006;41;20;22;18;18
Grecia;2007;37;28;22;11;23
Grecia;2008;29;26;24;18;21
Grecia;2009;33;25;27;15;17
Grecia;2010;46;23;32;14;13
Grecia;2011;43;32;23;13;13
Irlanda;2005;64;14;29;5;6
Irlanda;2006;80;13;31;3;5
Irlanda;2007;71;15;23;6;11
Irlanda;2008;72;13;25;2;11
Irlanda;2009;74;13;18;3;11
Irlanda;2010;73;17;20;3;8
Irlanda;2011;68;14;19;3;14
Italia;2005;21;70;31;4;7
Italia;2006;24;66;31;5;8
Italia;2007;23;67;32;5;7
Italia;2008;19;72;33;5;7
Italia;2009;20;73;32;4;6
Italia;2010;17;70;32;5;9
Italia;2011;20;75;39;3;4
Lussemburgo;2005;48;11;41;7;23
Lussemburgo;2006;41;16;37;6;20
Lussemburgo;2007;43;23;26;18;13
Lussemburgo;2008;54;23;29;7;17
Lussemburgo;2009;46;26;34;9;20
Lussemburgo;2010;42;37;37;3;14
Lussemburgo;2011;46;27;33;5;12
Paesi Bassi;2005;82;7;52;1;6
Paesi Bassi;2006;82;7;50;2;6
Paesi Bassi;2007;80;11;55;2;4
Paesi Bassi;2008;77;12;56;2;6
Paesi Bassi;2009;75;12;60;2;8
Paesi Bassi;2010;76;15;51;3;6
Paesi Bassi;2011;76;13;53;2;5
Portogallo;2005;12;18;39;14;27
Portogallo;2006;9;66;20;11;12
Portogallo;2007;14;61;16;17;11
Portogallo;2008;9;69;21;19;7
Portogallo;2009;8;73;28;10;9
Portogallo;2010;11;68;26;12;9
Portogallo;2011;7;74;21;11;8
Regno Unito;2005;64;24;33;3;8
Regno Unito;2006;65;24;33;5;8
Regno Unito;2007;63;21;40;7;8
Regno Unito;2008;67;20;39;7;9
Regno Unito;2009;70;21;41;5;5
Regno Unito;2010;67;22;38;4;7
Regno Unito;2011;66;27;38;5;4
Spagna;2005;54;40;13;1;5
Spagna;2006;47;44;12;4;7
Spagna;2007;49;43;16;2;6
Spagna;2008;50;45;11;1;4
Spagna;2009;50;44;9;2;6
Spagna;2010;45;50;13;1;5
Spagna;2011;45;41;9;2;11
Svezia;2005;35;52;2;1;13
Svezia;2006;34;58;3;1;5
Svezia;2007;30;61;2;2;6
Svezia;2008;31;64;2;2;3
Svezia;2009;29;65;3;1;3
Svezia;2010;29;65;2;2;2
Svezia;2011;31;64;3;2;2
Ue15;2005;49;39;26;3;8
Ue15;2006;49;41;20;4;8
Ue15;2007;47;41;25;4;8
Ue15;2008;46;45;24;4;7
Ue15;2009;45;46;23;3;7
Ue15;2010;43;47;23;3;6
Ue15;2011;43;49;23;3;6
Ue27;2005;n.d;n.d;n.d;n.d;n.d
Ue27;2006;n.d;n.d;n.d;n.d;n.d
Ue27;2007;n.d;n.d;n.d;n.d;12
Ue27;2008;n.d;n.d;n.d;n.d;11
Ue27;2009;n.d;n.d;n.d;n.d;10
Ue27;2010;39;45;24;5;11
Ue27;2011;37;46;24;4;11
