Anno;Copertura_temporale;Ente;Azienda_ispezionata;Azienda_irregolare;Azienda_ispezionata_e_irregolare;Lavoratore_irregolare;Lavoratore_totalmente_in_nero;Recupero_contributi_e_premi_evasi
2008;completo;Ministero del Lavoro;188655;92885;49,2;173289;49510;282586718,82
2008;completo;INPS;96375;79237;82,2;68242;52327;1548010000,00
2008;completo;INAIL;29389;25110;85,4;57153;25271;87521864,00
2008;completo;ENPALS;751;611;81,4;8941;241;24393343,66
2008;completo;TOTALE;315170;197843;62,8;307625;127349;1942511926,48
2009;completo;Ministero del Lavoro;175263;73348;41,9;173680;50370;317803872,67
2009;completo;INPS;100591;79953;79,5;73164;60742;1502635000,00
2009;completo;INAIL;27218;21350;78,4;62385;12843;76773786,00
2009;completo;ENPALS;619;493;79,6;7081;521;27507632,32
2009;completo;TOTALE;303691;175144;57,7;316310;124476;1924720290,99
2010;(I°semestre);Ministero del Lavoro;75726;35907;47,4;68542;24493;94324195,00
2010;(I°semestre);INPS;44052;34448;78,2;40797;33657;559985000,00
2010;(I°semestre);INAIL;13481;11603;86,1;26740;5831;28764477,00
2010;(I°semestre);ENPALS;281;200;71,2;5353;348;13529074,00
2010;(I°semestre);TOTALE;133540;82158;61,5;141432;64329;696602746,00
